"id","title","score","category_hits","shell_artifact_signal","paper_mentions","graph_in_degree","graph_out_degree","isabelle_kind","gold_spine","wolfram_status","field_type","recommended_use","source","canonical_equation"
"ID0400","Cosmological Constant and Master Unification Equation","90.75","boundary_limit_singularity;invariant_conservation_closure;topological_holonomy;exact_ratio_reciprocity;friedmann_hubble_cosmology;gyromagnetic_mhd_movement;quantum_probability_operator","no","21","1","23","Definition","einstein","3/5 pass","scalar","use as a boundary/degeneracy stress-test obligation","master","\begin{adjustbox}{max width=\linewidth,center} $\displaystyle \rho_{\Lambda}=\frac{\hbar c}{R^4}\,\frac{\Phi_0}{\Phi_{\mathrm{total}}}\sim H_0^2\approx6\times10^{-10}\,\mathrm{J\,m^{-3}} $ \end{adjustbox}"
"ID0024","TZP Vacuum Energy Density","89.75","boundary_limit_singularity;invariant_conservation_closure;topological_holonomy;spectral_bessel_laplacian;friedmann_hubble_cosmology;gyromagnetic_mhd_movement;quantum_probability_operator","no","5","1","14","Definition","energy_to_matter","4/4 pass","scalar","use as a boundary/degeneracy stress-test obligation","master","\rho_{\mathrm{vac}}^{T} = \frac{1}{u_{T}^{4}} \int_{0}^{\omega_{\mathrm{cut}}} \eta(\omega)\,\hbar\omega\,d\omega || \omega_{\mathrm{cut}}=\omega_{\mathrm{cut}}(S_{\mathrm{HD}})"
"ID1392","Cosmological Constant and Master Unification Equation","77.5","boundary_limit_singularity;invariant_conservation_closure;topological_holonomy;exact_ratio_reciprocity;friedmann_hubble_cosmology;quantum_probability_operator","no","17","2","6","Definition","einstein","1/1 pass","scalar","use as a boundary/degeneracy stress-test obligation","master","\rho_{\Lambda}=\frac{\hbar c}{R^4}\,\frac{\Phi_0}{\Phi_{\mathrm{total}}}\sim H_0^2\approx6\times10^{-10}\,\mathrm{J\,m^{-3}}"
"ID0200","Alfv\'en Wave Dispersion Relation","73.0","invariant_conservation_closure;topological_holonomy;spectral_bessel_laplacian;friedmann_hubble_cosmology;gyromagnetic_mhd_movement;quantum_probability_operator","no","1","0","23","Definition","","","scalar","use in Bessel/hyperspherical spectral certificate","master","v_{\mathrm{A}} = \frac{B}{\sqrt{\mu_0 \rho}} || k_n=\frac{n}{R} || \omega_n^{4} - k_n^{2}v_{\mathrm{A}}^{2}\omega_n^{2} - k_n^{2}v_{\mathrm{A}}^{2}\omega_{\mathrm{gyro}}^{2} =0 || \omega_n^2 = \frac{k_n^2v_{\mathrm{A}}^2}{2} \left[ 1+ \sqrt{ 1+ 4\left( \frac{\omega_{\mathrm{gyro}}}{k_nv_{\mathrm{A}}} \right)^2 } \right] || f_n=\frac{\omega_n}{2\pi}"
"ID0409","The Superconducting Pair Creation Operator","70.5","boundary_limit_singularity;invariant_conservation_closure;topological_holonomy;exact_ratio_reciprocity;quantum_probability_operator","no","4","2","4","Definition","energy_to_matter","1/1 pass","vector","use as a boundary/degeneracy stress-test obligation","master","\begin{adjustbox}{max width=\linewidth,center} $\displaystyle \hat{H}_{\mathrm{SC}}=\Delta\,c_{\uparrow}^{\dagger}c_{\downarrow}^{\dagger}+\overline{\Delta}\,c_{\downarrow}c_{\uparrow} $ \end{adjustbox}"
"ID0023","TZP Potential Term","68.5","boundary_limit_singularity;invariant_conservation_closure;spectral_bessel_laplacian;friedmann_hubble_cosmology;context:quantum_probability_operator","no","2","0","19","Definition","","3/3 pass","scalar","use as a boundary/degeneracy stress-test obligation","master","V_{T}(x) = \lambda \exp\!\left( -\frac{d(x,p)}{u_{T}} \right) || V_{T}(p)=\lambda"
"ID0394","TZP Bridge–Tunnel Energy–Momentum Tensor","68.25","boundary_limit_singularity;topological_holonomy;spectral_bessel_laplacian;exact_ratio_reciprocity;quantum_probability_operator;context:invariant_conservation_closure","no","9","1","1","Definition","einstein","3/3 pass","tensor","use as a boundary/degeneracy stress-test obligation","master","T^{\mathrm{TZP}}_{\mu\nu}=\rho_{\mathrm{vac}}u_{\mu}u_{\nu}+p_{\mathrm{vac}}g_{\mu\nu} || \rho_{\mathrm{vac}}(r)\sim J_{0}(kr)^{-1}"
"ID9176","L Statement: the Obstruction Class for Topological Unification","68.25","boundary_limit_singularity;invariant_conservation_closure;topological_holonomy;gyromagnetic_mhd_movement;quantum_probability_operator","no","3","3","1","Definition","topological_unification","1/1 pass","scalar","use as a boundary/degeneracy stress-test obligation","master","A_\mudxΘ{\mu}+B_{\text{gravitational}}+ C_{\text{electromagnetic}}Aµ= Aµdxµ+Bgravitational"
"ID0020","Trawinistic Winding Number","67.0","boundary_limit_singularity;invariant_conservation_closure;topological_holonomy;spectral_bessel_laplacian","no","5","0","15","Definition","","3/3 pass","scalar","use as a boundary/degeneracy stress-test obligation","master","w = \frac{1}{2\pi} \oint_{\Gamma} \nabla \theta \cdot d\ell || w \in \tfrac{1}{2}\mathbb{Z}"
"ID0019","Trawinistic D'Alembertian","67.0","boundary_limit_singularity;invariant_conservation_closure;exact_ratio_reciprocity;quantum_probability_operator","no","1","0","15","Definition","","3/3 pass","scalar","use as a boundary/degeneracy stress-test obligation","master","\Box_{\mathrm{T}}\phi = g_{\mathrm{reg}}^{ab} \nabla^{\mathrm{T}}_{a} \nabla^{\mathrm{T}}_{b}\phi || g_{\mathrm{reg}}^{ab} = \left(g^{-1}\right)_{\mathrm{reg}}^{ab}"
