id,title,status,candidate_score,classification,category_hits,normalized_candidate,first_error,recommended_action
ID5161,ConstrainedDipole GyroscopicPrecession Gyro Relation,Syntax Error,36,math_rescue_candidate,boundary_limit_singularity;invariant_conservation_closure;spectral_bessel_laplacian;exact_ratio_reciprocity;friedmann_hubble_cosmology;gyromagnetic_mhd_movement;quantum_probability_operator,"{[}ConstrainedDipole(theta,varphi) * GyroscopicPrecession(omega_gyro t){]}."",False,,Gyromagnetic Bessel Interference Operator,""The unified propulsion field is defined by the tensor product of a Bessel-function interference pattern and a gyromagnetic field: F(r,theta,varphi,t) = {[}sum_{n=0}^\infty","{[}ConstrainedDipole(theta,varphi) * GyroscopicPrecession(omega_gyro t){]}."",Fal -> UnexpectedCharacters: No terminal matches '[' in the current parser context, at line 1 col 2

{[}ConstrainedDipole(theta,varphi) * Gyro
 ^
Expected one of: 
	* FUNC_LIM
	* CMD_LANGLE
	* CMD_MATHIT
	* FUNC_ARCCSC
	* L_BRACE
	* GREEK_SYMBOL_WITH_GREEK_SUBSCRIPT
	* FUNC_MAX
	* FUNC_ARCCOT
	* FUNC_ARCSIN
	* FUNC_INT
	* CMD_MATRIX_BEGIN
	* BAR
	* L_FLOOR
	* FUNC_MIN
	* FUNC_CSC
	* FUNC_MATRIX_TRACE
	* FUNC_ARCSEC
	* L_PAREN
	* FUNC_COSH
	* FUNC_ARCTAN
	* FUNC_LG
	* FUNC_ARCOSH
	* __ANON_1
	* SUB
	* CMD_IMAGINARY_UNIT
	* FUNC_LN
	* CMD_INFTY
	* FUNC_SEC
	* FUNC_ARCCOS
	* GREEK_SYMBOL_WITH_PRIMES
	* FUNC_TANH
	* L_CEIL
	* FUNC_EXP
	* CMD_DETERMINANT_BEGIN
	* CMD_OVERLINE
	* FUNC_SIN
	* FUNC_TAN
	* FUNC_COS
	* FUNC_COT
	* FUNC_SINH
	* LATIN_SYMBOL_WITH_LATIN_SUBSCRIPT
	* FUNC_MATRIX_ADJUGATE
	* CMD_BINOM
	* FUNC_ARTANH
	* FUNC_LOG
	* LATIN_SYMBOL_WITH_GREEK_SUBSCRIPT
	* GREEK_SYMBOL_WITH_LATIN_SUBSCRIPT
	* FUNC_DETERMINANT
	* FUNC_ARSINH
	* CMD_FRAC
	* ADD
	* FUNC_SUM
	* SYMBOL
	* FUNC_PROD
	* FUNC_SQRT
",manually normalize and consider as proof-strength edge case
ID3868,Magnetic Flux Laplacian Operator,Syntax Error,31,math_rescue_candidate,invariant_conservation_closure;spectral_bessel_laplacian;exact_ratio_reciprocity;gyromagnetic_mhd_movement;quantum_probability_operator,"\\nabla^2 \\Phi \= 4\\pi G_{eff} \\rho, \ \\rho \= m_0 n || \\nabla^2 \\Phi \= 4\\pi G_{eff} \\rho, \ \\rho \= m_0 n","\\nabla^2 \\Phi \= 4\\pi G_{eff} \\rho, \ \\rho \= m_0 n -> UnexpectedCharacters: No terminal matches '\' in the current parser context, at line 1 col 1

\\nabla^2 \Phi \= 4\pi G_{eff} \rho, \ \
^
Expected one of: 
	* FUNC_SINH
	* LATIN_SYMBOL_WITH_GREEK_SUBSCRIPT
	* CMD_BINOM
	* LATIN_SYMBOL_WITH_LATIN_SUBSCRIPT
	* FUNC_MIN
	* FUNC_DETERMINANT
	* SUB
	* FUNC_SUM
	* CMD_IMAGINARY_UNIT
	* FUNC_MATRIX_TRACE
	* FUNC_CSC
	* FUNC_LOG
	* FUNC_ARCSEC
	* FUNC_ARCOSH
	* CMD_MATHIT
	* GREEK_SYMBOL_WITH_PRIMES
	* FUNC_SEC
	* CMD_OVERLINE
	* FUNC_MATRIX_ADJUGATE
	* FUNC_ARCCOT
	* SYMBOL
	* FUNC_PROD
	* CMD_FRAC
	* GREEK_SYMBOL_WITH_LATIN_SUBSCRIPT
	* FUNC_MAX
	* FUNC_INT
	* FUNC_ARCTAN
	* FUNC_TANH
	* FUNC_COSH
	* FUNC_SIN
	* BAR
	* CMD_DETERMINANT_BEGIN
	* FUNC_LG
	* FUNC_SQRT
	* FUNC_ARSINH
	* FUNC_ARTANH
	* FUNC_ARCCSC
	* ADD
	* FUNC_LN
	* FUNC_TAN
	* CMD_LANGLE
	* FUNC_ARCCOS
	* L_PAREN
	* L_FLOOR
	* __ANON_1
	* CMD_MATRIX_BEGIN
	* FUNC_LIM
	* FUNC_EXP
	* FUNC_COT
	* L_BRACE
	* FUNC_COS
	* CMD_INFTY
	* GREEK_SYMBOL_WITH_GREEK_SUBSCRIPT
	* L_CEIL
	* FUNC_ARCSIN
",manually normalize and consider as proof-strength edge case
ID4143,Magnetic Flux Laplacian Operator,Syntax Error,31,math_rescue_candidate,invariant_conservation_closure;spectral_bessel_laplacian;exact_ratio_reciprocity;gyromagnetic_mhd_movement;quantum_probability_operator,"\\nabla^2 \\Phi = 4\\pi G_{eff} \\rho, \ \\rho = m_0 n || \\nabla^2 \\Phi = 4\\pi G_{eff} \\rho, \ \\rho = m_0 n","\\nabla^2 \\Phi = 4\\pi G_{eff} \\rho, \ \\rho = m_0 n -> UnexpectedCharacters: No terminal matches '\' in the current parser context, at line 1 col 1

\\nabla^2 \Phi = 4\pi G_{eff} \rho, \ \r
^
Expected one of: 
	* L_CEIL
	* FUNC_MATRIX_TRACE
	* FUNC_ARCSEC
	* ADD
	* FUNC_ARCTAN
	* GREEK_SYMBOL_WITH_LATIN_SUBSCRIPT
	* BAR
	* FUNC_MIN
	* FUNC_ARSINH
	* FUNC_TANH
	* FUNC_LIM
	* FUNC_ARCSIN
	* FUNC_INT
	* CMD_IMAGINARY_UNIT
	* FUNC_EXP
	* FUNC_COT
	* L_PAREN
	* FUNC_SIN
	* LATIN_SYMBOL_WITH_LATIN_SUBSCRIPT
	* L_FLOOR
	* FUNC_COSH
	* FUNC_CSC
	* __ANON_1
	* FUNC_SINH
	* FUNC_LOG
	* CMD_INFTY
	* FUNC_ARTANH
	* SYMBOL
	* FUNC_SEC
	* FUNC_ARCCOS
	* CMD_LANGLE
	* GREEK_SYMBOL_WITH_PRIMES
	* CMD_DETERMINANT_BEGIN
	* FUNC_ARCOSH
	* CMD_BINOM
	* FUNC_DETERMINANT
	* FUNC_MATRIX_ADJUGATE
	* L_BRACE
	* CMD_FRAC
	* FUNC_ARCCSC
	* FUNC_SUM
	* LATIN_SYMBOL_WITH_GREEK_SUBSCRIPT
	* FUNC_LN
	* CMD_OVERLINE
	* FUNC_MAX
	* FUNC_ARCCOT
	* FUNC_SQRT
	* FUNC_PROD
	* FUNC_LG
	* SUB
	* GREEK_SYMBOL_WITH_GREEK_SUBSCRIPT
	* CMD_MATHIT
	* FUNC_COS
	* FUNC_TAN
	* CMD_MATRIX_BEGIN
",manually normalize and consider as proof-strength edge case
ID4147,Magnetic Flux Laplacian Operator,Syntax Error,31,math_rescue_candidate,invariant_conservation_closure;spectral_bessel_laplacian;exact_ratio_reciprocity;gyromagnetic_mhd_movement;quantum_probability_operator,"\\\\nabla^2 \\\\Phi \= 4\\\\pi G_{eff} \\\\rho, \\\ \\\\rho \= m_0 n || \\\\nabla^2 \\\\Phi \= 4\\\\pi G_{eff} \\\\rho, \\\ \\\\rho \= m_0 n","\\\\nabla^2 \\\\Phi \= 4\\\\pi G_{eff} \\\\rho, \\\ \\\\rho \= m_0 n -> UnexpectedCharacters: No terminal matches '\' in the current parser context, at line 1 col 1

\\\\nabla^2 \\\Phi \= 4\\\pi G_{eff} \\\
^
Expected one of: 
	* L_CEIL
	* FUNC_MATRIX_TRACE
	* FUNC_ARCSEC
	* ADD
	* FUNC_ARCTAN
	* GREEK_SYMBOL_WITH_LATIN_SUBSCRIPT
	* BAR
	* FUNC_MIN
	* FUNC_ARSINH
	* FUNC_TANH
	* FUNC_LIM
	* FUNC_ARCSIN
	* FUNC_INT
	* CMD_IMAGINARY_UNIT
	* FUNC_EXP
	* FUNC_COT
	* L_PAREN
	* FUNC_SIN
	* LATIN_SYMBOL_WITH_LATIN_SUBSCRIPT
	* L_FLOOR
	* FUNC_COSH
	* FUNC_CSC
	* __ANON_1
	* FUNC_SINH
	* FUNC_LOG
	* CMD_INFTY
	* FUNC_ARTANH
	* SYMBOL
	* FUNC_SEC
	* FUNC_ARCCOS
	* CMD_LANGLE
	* GREEK_SYMBOL_WITH_PRIMES
	* CMD_DETERMINANT_BEGIN
	* FUNC_ARCOSH
	* CMD_BINOM
	* FUNC_DETERMINANT
	* FUNC_MATRIX_ADJUGATE
	* L_BRACE
	* CMD_FRAC
	* FUNC_ARCCSC
	* FUNC_SUM
	* LATIN_SYMBOL_WITH_GREEK_SUBSCRIPT
	* FUNC_LN
	* CMD_OVERLINE
	* FUNC_MAX
	* FUNC_ARCCOT
	* FUNC_SQRT
	* FUNC_PROD
	* FUNC_LG
	* SUB
	* GREEK_SYMBOL_WITH_GREEK_SUBSCRIPT
	* CMD_MATHIT
	* FUNC_COS
	* FUNC_TAN
	* CMD_MATRIX_BEGIN
",manually normalize and consider as proof-strength edge case
ID1920,EID_0365 Equation Source,Syntax Error,30,math_rescue_candidate,topological_holonomy;exact_ratio_reciprocity;friedmann_hubble_cosmology;gyromagnetic_mhd_movement;quantum_probability_operator,"(\* Classical: Density ratio \*) * ""ClassicalEquilibrium"" \-\> (\rho_object/\rho_fluid \== 1), * (\* Phase-space: Elsasser number \*)""PhaseEquilibrium"" \-\> ( * \Lambda \= (B^2/2\mu_0)/(\rho\*\eta\*\omega) \== 1 * ), * (\* Isomorphism \*)""DualityMap"" \-\> ( * \rho_object/\rho_fluid ≅ B^2/(2\mu_0\*\rho\*\eta\*\omega) \= \Lambda * ), * (\* Acceleration formulas \*) ""ClassicalAcceleration"" \-\> ( * a_z \= g \* (1 \- \rho_object/\rho_fluid) * ), * ""PhaseAcceleration"" \-\> ( * a_\omega \= (J\timesB)/I_moment \- \gamma_dissipation \* (1 \- 1/\Lambda) \* \omega * )","(\* Classical: Density ratio \*) * ""ClassicalEquilibrium"" \-\> (\rho_object/\rho -> UnexpectedCharacters: No terminal matches ':' in the current parser context, at line 1 col 14

(\* Classical: Density ratio \*) * ""ClassicalEquilibr
             ^
Expected one of: 
	* L_CEIL
	* FUNC_MATRIX_TRACE
	* FUNC_ARCSEC
	* ADD
	* FUNC_ARCTAN
	* GREEK_SYMBOL_WITH_LATIN_SUBSCRIPT
	* BAR
	* FUNC_MIN
	* FUNC_ARSINH
	* FUNC_TANH
	* FUNC_LIM
	* FUNC_ARCSIN
	* FUNC_INT
	* CMD_IMAGINARY_UNIT
	* FUNC_EXP
	* DIV_SYMBOL
	* BANG
	* FUNC_COT
	* L_PAREN
	* FUNC_SIN
	* LATIN_SYMBOL_WITH_LATIN_SUBSCRIPT
	* L_FLOOR
	* FUNC_COSH
	* FUNC_CSC
	* __ANON_1
	* FUNC_SINH
	* FUNC_LOG
	* CMD_INFTY
	* FUNC_ARTANH
	* R_PAREN
	* CARET
	* SYMBOL
	* FUNC_SEC
	* FUNC_ARCCOS
	* CMD_LANGLE
	* GREEK_SYMBOL_WITH_PRIMES
	* CMD_DETERMINANT_BEGIN
	* FUNC_ARCOSH
	* CMD_BINOM
	* FUNC_DETERMINANT
	* FUNC_MATRIX_ADJUGATE
	* L_BRACE
	* CMD_FRAC
	* FUNC_ARCCSC
	* FUNC_SUM
	* LATIN_SYMBOL_WITH_GREEK_SUBSCRIPT
	* MUL_SYMBOL
	* FUNC_LN
	* CMD_OVERLINE
	* FUNC_MAX
	* FUNC_ARCCOT
	* FUNC_SQRT
	* FUNC_PROD
	* FUNC_LG
	* SUB
	* GREEK_SYMBOL_WITH_GREEK_SUBSCRIPT
	* CMD_MATHIT
	* FUNC_COS
	* FUNC_TAN
	* CMD_MATRIX_BEGIN
",manually normalize and consider as proof-strength edge case
ID2099,EID_0365 Equation Source,Syntax Error,30,math_rescue_candidate,topological_holonomy;exact_ratio_reciprocity;friedmann_hubble_cosmology;gyromagnetic_mhd_movement;quantum_probability_operator,"(\* Classical: Density ratio \*) * ""ClassicalEquilibrium"" \-\> (\rho_object/\rho_fluid \== 1), * (\* Phase-space: Elsasser number \*)""PhaseEquilibrium"" \-\> ( * \Lambda \= (B^2/2\mu_0)/(\rho\*\eta\*\omega) \== 1 * ), * (\* Isomorphism \*)""DualityMap"" \-\> ( * \rho_object/\rho_fluid ≅ B^2/(2\mu_0\*\rho\*\eta\*\omega) \= \Lambda * ), * (\* Accele","(\* Classical: Density ratio \*) * ""ClassicalEquilibrium"" \-\> (\rho_object/\rho -> UnexpectedCharacters: No terminal matches ':' in the current parser context, at line 1 col 14

(\* Classical: Density ratio \*) * ""ClassicalEquilibr
             ^
Expected one of: 
	* FUNC_SINH
	* LATIN_SYMBOL_WITH_GREEK_SUBSCRIPT
	* CMD_BINOM
	* LATIN_SYMBOL_WITH_LATIN_SUBSCRIPT
	* FUNC_MIN
	* FUNC_DETERMINANT
	* SUB
	* FUNC_SUM
	* CMD_IMAGINARY_UNIT
	* CARET
	* FUNC_MATRIX_TRACE
	* FUNC_CSC
	* FUNC_LOG
	* BANG
	* FUNC_ARCSEC
	* FUNC_ARCOSH
	* CMD_MATHIT
	* GREEK_SYMBOL_WITH_PRIMES
	* FUNC_SEC
	* CMD_OVERLINE
	* FUNC_MATRIX_ADJUGATE
	* FUNC_ARCCOT
	* SYMBOL
	* FUNC_PROD
	* CMD_FRAC
	* GREEK_SYMBOL_WITH_LATIN_SUBSCRIPT
	* FUNC_MAX
	* FUNC_INT
	* FUNC_ARCTAN
	* FUNC_TANH
	* FUNC_COSH
	* FUNC_SIN
	* BAR
	* CMD_DETERMINANT_BEGIN
	* FUNC_LG
	* FUNC_SQRT
	* FUNC_ARSINH
	* FUNC_ARTANH
	* FUNC_ARCCSC
	* ADD
	* MUL_SYMBOL
	* DIV_SYMBOL
	* FUNC_LN
	* FUNC_TAN
	* CMD_LANGLE
	* FUNC_ARCCOS
	* L_PAREN
	* L_FLOOR
	* __ANON_1
	* FUNC_LIM
	* CMD_MATRIX_BEGIN
	* FUNC_EXP
	* FUNC_COT
	* L_BRACE
	* R_PAREN
	* FUNC_COS
	* CMD_INFTY
	* GREEK_SYMBOL_WITH_GREEK_SUBSCRIPT
	* L_CEIL
	* FUNC_ARCSIN
",manually normalize and consider as proof-strength edge case
ID9203,"Relation: [sum_n=0ˆ∞J_n+ 1/2(kr)eΘintheta]⊗[ConstrainedDipole(theta, Varphi)…",Syntax Error,30,math_rescue_candidate,invariant_conservation_closure;spectral_bessel_laplacian;exact_ratio_reciprocity;friedmann_hubble_cosmology;gyromagnetic_mhd_movement,"[sum_{n=0}ˆ∞J_{n+ 1/2}(kr)eΘ{intheta}]⊗[ConstrainedDipole(theta, varphi) ∗GyroscopicPrecession(omega_gyrot)]","[sum_{n=0}ˆ∞J_{n+ 1/2}(kr)eΘ{intheta}]⊗[ConstrainedDipole(theta, varphi) ∗Gyrosc -> UnexpectedCharacters: No terminal matches '[' in the current parser context, at line 1 col 1

[sum_{n=0}ˆ∞J_{n+ 1/2}(kr)eΘ{intheta}]⊗[
^
Expected one of: 
	* GREEK_SYMBOL_WITH_PRIMES
	* FUNC_LG
	* CMD_MATRIX_BEGIN
	* FUNC_MATRIX_ADJUGATE
	* BAR
	* FUNC_TAN
	* SYMBOL
	* CMD_INFTY
	* CMD_OVERLINE
	* L_FLOOR
	* SUB
	* CMD_DETERMINANT_BEGIN
	* FUNC_MAX
	* CMD_MATHIT
	* FUNC_ARCCSC
	* FUNC_PROD
	* FUNC_ARCSIN
	* GREEK_SYMBOL_WITH_LATIN_SUBSCRIPT
	* L_PAREN
	* ADD
	* FUNC_ARCSEC
	* LATIN_SYMBOL_WITH_GREEK_SUBSCRIPT
	* CMD_IMAGINARY_UNIT
	* FUNC_ARCCOS
	* FUNC_LN
	* FUNC_ARCOSH
	* FUNC_SQRT
	* FUNC_MIN
	* FUNC_COSH
	* FUNC_ARSINH
	* FUNC_COS
	* FUNC_MATRIX_TRACE
	* FUNC_COT
	* FUNC_ARTANH
	* FUNC_LOG
	* FUNC_SEC
	* FUNC_LIM
	* CMD_LANGLE
	* FUNC_EXP
	* FUNC_CSC
	* FUNC_ARCTAN
	* FUNC_SIN
	* GREEK_SYMBOL_WITH_GREEK_SUBSCRIPT
	* __ANON_1
	* L_BRACE
	* FUNC_ARCCOT
	* L_CEIL
	* LATIN_SYMBOL_WITH_LATIN_SUBSCRIPT
	* FUNC_TANH
	* FUNC_INT
	* FUNC_SUM
	* FUNC_DETERMINANT
	* CMD_BINOM
	* CMD_FRAC
	* FUNC_SINH
",manually normalize and consider as proof-strength edge case
ID3373,Capitaldelta Capacitance Relation,Syntax Error,26,math_rescue_candidate,boundary_limit_singularity;topological_holonomy;spectral_bessel_laplacian;exact_ratio_reciprocity;gyromagnetic_mhd_movement,"\[Omega] - \[Omega]0]^2/(2 \[CapitalDelta]\[Omega]^2)] Y[l, m][g]; psim = (a^\dagger)^nflux/Sqrt[nflux!] |0\rangle; psip = (1/Sqrt[nL! nR!]) ((\[AHat]_L^\dagger)^nL (\[AHat]_R^\dagger)^nR |0,0\rangle + Exp[I \[CurlyPhi]helix] (\[AHat]_R^\dagger)^nL (\[AHat]_L^\dagger)^nR |0,0\rangle); TensorProduct[psig, psim, psip] ]; \end{implementation} \section{Green’s Functions and Boundary Effects} This section collects analytic tools for computing vector potentials and field configurations. We define a modified Green’s function on a half–space with spherical boundary, decompose the vector potential into classical and quantum contributions, and identify the helicity–preserving transformation. \subsecti","\[Omega] - \[Omega]0]^2/(2 \[CapitalDelta]\[Omega]^2)] Y[l, m][g]; psim = (a^\da -> UnexpectedCharacters: No terminal matches '\' in the current parser context, at line 1 col 1

\[Omega] - \[Omega]0]^2/(2 \[CapitalDelt
^
Expected one of: 
	* FUNC_MIN
	* FUNC_COS
	* FUNC_ARCSIN
	* FUNC_DETERMINANT
	* FUNC_SEC
	* FUNC_TAN
	* LATIN_SYMBOL_WITH_GREEK_SUBSCRIPT
	* L_FLOOR
	* GREEK_SYMBOL_WITH_GREEK_SUBSCRIPT
	* FUNC_ARCCOS
	* FUNC_COT
	* CMD_INFTY
	* L_PAREN
	* FUNC_SQRT
	* CMD_DETERMINANT_BEGIN
	* CMD_FRAC
	* FUNC_LN
	* FUNC_ARCTAN
	* FUNC_LG
	* BAR
	* FUNC_ARCSEC
	* L_BRACE
	* SUB
	* __ANON_1
	* CMD_IMAGINARY_UNIT
	* FUNC_COSH
	* CMD_MATHIT
	* LATIN_SYMBOL_WITH_LATIN_SUBSCRIPT
	* FUNC_EXP
	* CMD_BINOM
	* FUNC_ARTANH
	* FUNC_PROD
	* CMD_MATRIX_BEGIN
	* CMD_LANGLE
	* FUNC_ARCCOT
	* FUNC_TANH
	* FUNC_CSC
	* L_CEIL
	* FUNC_ARSINH
	* GREEK_SYMBOL_WITH_LATIN_SUBSCRIPT
	* FUNC_SIN
	* CMD_OVERLINE
	* FUNC_SINH
	* FUNC_INT
	* FUNC_LOG
	* FUNC_ARCOSH
	* FUNC_MAX
	* FUNC_LIM
	* ADD
	* FUNC_MATRIX_ADJUGATE
	* SYMBOL
	* FUNC_MATRIX_TRACE
	* FUNC_ARCCSC
	* GREEK_SYMBOL_WITH_PRIMES
	* FUNC_SUM
",manually normalize and consider as proof-strength edge case
ID3376,Classical Quantum Gyromagnetic Hamiltonian,Syntax Error,26,math_rescue_candidate,topological_holonomy;friedmann_hubble_cosmology;gyromagnetic_mhd_movement;quantum_probability_operator,\times || \times,"\times -> SyntaxError: invalid syntax (<unknown>, line 1)",manually normalize and consider as proof-strength edge case
ID3435,Susceptibility Laplacian Operator,Syntax Error,26,math_rescue_candidate,invariant_conservation_closure;spectral_bessel_laplacian;exact_ratio_reciprocity;quantum_probability_operator,B(\chi) = \frac{\Delta\phi(\chi)}{\phi_c} = \frac{33.34^\circ}{30^\circ} = \frac{10}{9} > 1 || B(\chi) = \frac{\Delta\phi(\chi)}{\phi_c} = \frac{33.34^\circ}{30^\circ} = \frac{10}{9} > 1,"B(\chi) = \frac{\Delta\phi(\chi)}{\phi_c} = \frac{33.34^\circ}{30^\circ} = \frac -> UnexpectedCharacters: No terminal matches '=' in the current parser context, at line 1 col 42

(\chi) = \frac{Delta\phi(\chi)}{\phi_c} = \frac{33.34^*}{30^*} = \frac{10}{9} > 
                                        ^
Expected one of: 
	* FUNC_SINH
	* LATIN_SYMBOL_WITH_GREEK_SUBSCRIPT
	* CMD_BINOM
	* LATIN_SYMBOL_WITH_LATIN_SUBSCRIPT
	* FUNC_MIN
	* FUNC_DETERMINANT
	* SUB
	* FUNC_SUM
	* CMD_IMAGINARY_UNIT
	* CARET
	* FUNC_MATRIX_TRACE
	* FUNC_CSC
	* FUNC_LOG
	* BANG
	* FUNC_ARCSEC
	* FUNC_ARCOSH
	* CMD_MATHIT
	* GREEK_SYMBOL_WITH_PRIMES
	* FUNC_SEC
	* CMD_OVERLINE
	* FUNC_MATRIX_ADJUGATE
	* FUNC_ARCCOT
	* SYMBOL
	* FUNC_PROD
	* CMD_FRAC
	* GREEK_SYMBOL_WITH_LATIN_SUBSCRIPT
	* FUNC_MAX
	* FUNC_INT
	* FUNC_ARCTAN
	* FUNC_TANH
	* FUNC_COSH
	* FUNC_SIN
	* BAR
	* CMD_DETERMINANT_BEGIN
	* FUNC_LG
	* FUNC_SQRT
	* FUNC_ARSINH
	* FUNC_ARTANH
	* FUNC_ARCCSC
	* ADD
	* MUL_SYMBOL
	* DIV_SYMBOL
	* FUNC_LN
	* FUNC_TAN
	* CMD_LANGLE
	* FUNC_ARCCOS
	* L_PAREN
	* L_FLOOR
	* __ANON_1
	* CMD_MATRIX_BEGIN
	* FUNC_LIM
	* FUNC_EXP
	* FUNC_COT
	* L_BRACE
	* FUNC_COS
	* CMD_INFTY
	* GREEK_SYMBOL_WITH_GREEK_SUBSCRIPT
	* L_CEIL
	* FUNC_ARCSIN
",manually normalize and consider as proof-strength edge case
