id,title,status,candidate_score,classification,category_hits,normalized_candidate,recommended_action
ID0594,The Superconducting Pair Creation Operator,Needs cleanup,-53,shell_or_code_artifact,quantum_probability_operator,ErrorActionPreference = 'Stop^{\prime} || env:USERNAME,do not mint as equation; keep in provenance quarantine
ID5326,Always Needsbuildoutputscache Staging Has Files Relation,Syntax Error,-55,shell_or_code_artifact,,{{ always() && needs.build.outputs.cache-staging-has-files == 'true^{\prime} }} steps: - name: Checkout tools branch uses: actions/checkout@de0fac2e4500dabe0009e67214ff5f5447ce83dd # v6.0.2 with: ref:,do not mint as equation; keep in provenance quarantine
ID5372,Stepsmerge or Delegateoutputssecrets Relation,Syntax Error,-55,shell_or_code_artifact,,{{ ! steps.merge_or_delegate.outputs.secrets == '' && ! steps.merge_or_delegate.outputs.mOrD == '' }} name: Check whether user is part of mathlib-reviewers team uses: tspascoal/get-user-teams-membership@57e9f42acd78f4d0f496b3be4368fc5f62696662 # v3.0.0 id: actorTeams with: organization: leanprover-community # optional. Default value,do not mint as equation; keep in provenance quarantine
ID5373,Stepsactorteamsoutputsisteammember Magnetization Relation,Syntax Error,-55,shell_or_code_artifact,,{{ steps.actorTeams.outputs.isTeamMember == 'true^{\prime} }} uses: actions/checkout@de0fac2e4500dabe0009e67214ff5f5447ce83dd # v6.0.2 with: ref: master sparse-checkout: | scripts/get_tlabel.py scripts/maintainer_merge_message.py - name: Determine Zulip topic if:,do not mint as equation; keep in provenance quarantine
ID5375,Stepsactorteamsoutputsisteammember Magnetization Relation,Syntax Error,-55,shell_or_code_artifact,,"{{ steps.actorTeams.outputs.isTeamMember == 'true^{\prime} }} uses: GrantBirki/comment@608e41b19bc973020ec0e189ebfdae935d7fe0cc # v2.1.1 with: # if a comment triggers the action, then `issue.number` is set # if a review or review comment triggers the action, then `pull_request.number` is set issue-number:",do not mint as equation; keep in provenance quarantine
ID3911,Python Propagator Relation,Syntax Error,-59,shell_or_code_artifact,,python = Get-Command python -ErrorAction SilentlyContinue if (-not,do not mint as equation; keep in provenance quarantine
ID3913,Reportsfoldername Curvature Relation,Syntax Error,-59,shell_or_code_artifact,,"ReportsFolderName = """"AzimuthalReports"""" ) # Ensure Python is available if (-not (Get-Command python -ErrorAction SilentlyContinue)) { Write-Error """"Python is not installed or not in PATH. Please install Python and retry."""" exit 1 } # Create reports directory",do not mint as equation; keep in provenance quarantine
ID4646,Env Google CLOUD Project Relation,Needs cleanup,-59,shell_or_code_artifact,,"env:GOOGLE_CLOUD_PROJECT=""your-actual-project-id"" Windows Command Prompt: text set GOOGLE_CLOUD_PROJECT=your-actual-project-id Example with Real Project ID: powershell # If your project ID is ""nasa-automation-2025""",do not mint as equation; keep in provenance quarantine
ID5303,Stepsapp Tokenoutputstoken Name Get Latest Release Tag Relation,Syntax Error,-59,shell_or_code_artifact,,{{ steps.app-token.outputs.token }} - name: Get latest release tag from leanprover/lean4-nightly id: get-latest-release run: | RELEASE_TAG=,do not mint as equation; keep in provenance quarantine
ID5310,Stepsapp Token Outputstoken Name Attempt Automatic PR Relation,Needs cleanup,-59,shell_or_code_artifact,,{{ steps.app-token-2.outputs.token }} - name: Attempt automatic PR creation id: auto_pr if: steps.check_branch.outputs.result == 'false^{\prime} continue-on-error: true env: BUMP_VERSION:,do not mint as equation; keep in provenance quarantine
ID5311,Auto Action Relation,Needs cleanup,-59,shell_or_code_artifact,,"{SHA}"" --auto=yes - name: Fallback to manual instructions if: steps.auto_pr.outcome == 'failure^{\prime} && steps.check_branch.outputs.result == 'false^{\prime} env: BUMP_VERSION:",do not mint as equation; keep in provenance quarantine
ID5313,PR Fi Name Push Changes If Stepspr Relation,Needs cleanup,-59,shell_or_code_artifact,,"PR_NUMBER"" fi - name: Push changes if: steps.pr-info.outputs.pullRequestNumber != '' && steps.pr-info.outputs.targetBranch == 'main^{\prime} env: PR_NUMBER:",do not mint as equation; keep in provenance quarantine
ID5322,Stepsarchiveoutcome Vector Potential Relation,Syntax Error,-59,shell_or_code_artifact,,"{{ steps.archive.outcome == 'success^{\prime} }} shell: bash run: | cd pr-branch lake env ../tools-branch/.lake/build/bin/cache --staging-dir=""../cache-staging"" stage Archive.lean - name: stage Counterexamples cache files if:",do not mint as equation; keep in provenance quarantine
