position,rung,id,depth,title
1,10279,ID10793,0,Getting Closer Eq 01: hyperspherical resonance disharmonic Bessel fold entropy-producing ha...
2,10280,ID10794,1,Getting Closer Eq 02: x^2{d^2y{dx^2 + x{dy{dx + (x^2-n^2)y =0
3,10281,ID10795,2,Getting Closer Eq 03: x^2y''+xy'+(x^2-^2)y=0
4,10282,ID10796,3,Getting Closer Eq 04: y(x)=A J_(x)+B Y_(x)
5,10283,ID10797,4,"Getting Closer Eq 05: (r,,t) = R_(r)Y_{ m()e^{-i t"
6,10284,ID10798,5,Getting Closer Eq 06: r^2R_'' + (d-1)rR_' + (k^2r^2-(+d-2))R_ =0
7,10285,ID10799,6,"Getting Closer Eq 07: x=kr, R_(r)=r^{-(d-2)/2y(x)"
8,10286,ID10800,7,Getting Closer Eq 08: x^2y''+xy'+ (x^2-_d^2)y=0
9,10287,ID10801,8,Getting Closer Eq 09: _d=+{d-2{2
10,10288,ID10802,9,Getting Closer Eq 10: _4=+1
11,10289,ID10803,10,Getting Closer Eq 11: R_(r)={1{rJ_{+1(kr)
12,10290,ID10804,11,Getting Closer Eq 12: J_{+1(kR)=0
13,10291,ID10805,12,"Getting Closer Eq 13: k_{ q={j_{+1,q{R,"
14,10292,ID10806,13,"Getting Closer Eq 14: _{ q=v_s k_{ q = v_s{j_{,q{R"
15,10293,ID10807,14,Getting Closer Eq 15: {F_{1/2: J_(x) J_{-12(x+ x)e^{i
16,10294,ID10808,15,Getting Closer Eq 16: _{ fold = = A J_(kr)e^{-i t A J_{-12((k+ k)r) e^{-i(+)t
17,10295,ID10809,16,"Getting Closer Eq 17: k_{ q={j_{,q{R"
18,10296,ID10810,17,Getting Closer Eq 18: -12
19,10297,ID10811,18,"Getting Closer Eq 19: k_{ q={j_{,q{R"
20,10298,ID10812,19,"Getting Closer Eq 20: k_{-12,q = {j_{-12,q{R"
21,10299,ID10813,20,"Getting Closer Eq 21: E^{(1/2)_{ q = v_s ( {j_{,q-j_{-12,q{R )"
22,10300,ID10814,21,"Getting Closer Eq 22: d=4, =0, =1"
23,10301,ID10815,22,"Getting Closer Eq 23: j_{1,1 3.83170597,"
24,10302,ID10816,23,"Getting Closer Eq 24: J_{1/2(x) { x{{x,"
25,10303,ID10817,24,"Getting Closer Eq 25: j_{1/2,1= 3.14159265"
26,10304,ID10818,25,"Getting Closer Eq 26: _{B,1/2 = {j_{1,1-j_{1/2,1{j_{1,1 0.180106"
27,10305,ID10819,26,"Getting Closer Eq 27: S_{1/2 = k_B ( {_{-12,q{_{,q ),"
28,10306,ID10820,27,Getting Closer Eq 28: _{^{(1/2) = _P^2 ( __ - g_{ ) ( { S_{1/2{k_B )
29,10307,ID10821,28,Getting Closer Eq 29: _P={{ G{c^3
30,10308,ID10822,29,Getting Closer Eq 30: T_{^{ eff = T_{^{ matter + T_{^{ sound + {c^4{8 G_P^2 _{^{(1/2)
31,10309,ID10823,30,Getting Closer Eq 31: matter stress + sound/resonance stress + entropy-fold stress = effect...
32,10310,ID10824,31,Getting Closer Eq 32: E_{Bessel S temporal ordering curvature accumulation
