dep_rung,dep_id,dependent_rung,dependent_id,reason,cut_reason
375,ID0401,374,ID0400,explicit_id_reference,reference points downward_or_sideways_in_current_ladder
465,ID0500,463,ID0498,explicit_id_reference,reference points downward_or_sideways_in_current_ladder
9537,ID0004,1766,ID1820,explicit_id_reference,reference points downward_or_sideways_in_current_ladder
9536,ID0001,1810,ID1868,explicit_id_reference,reference points downward_or_sideways_in_current_ladder
9536,ID0001,1817,ID1877,explicit_id_reference,reference points downward_or_sideways_in_current_ladder
1863,ID0100,1817,ID1877,explicit_id_reference,reference points downward_or_sideways_in_current_ladder
9538,ID1181,7853,ID8489,explicit_id_reference,reference points downward_or_sideways_in_current_ladder
10246,ID1171,7860,ID8497,explicit_id_reference,reference points downward_or_sideways_in_current_ladder
9297,ID0048,8146,ID8787,explicit_id_reference,reference points downward_or_sideways_in_current_ladder
10246,ID1171,8153,ID8793,explicit_id_reference,reference points downward_or_sideways_in_current_ladder
8865,ID0471,8346,ID8989,explicit_id_reference,reference points downward_or_sideways_in_current_ladder
8861,ID0483,8347,ID8990,explicit_id_reference,reference points downward_or_sideways_in_current_ladder
9565,ID0044,8359,ID9002,explicit_id_reference,reference points downward_or_sideways_in_current_ladder
9536,ID0001,8376,ID9016,explicit_id_reference,reference points downward_or_sideways_in_current_ladder
9537,ID0004,8377,ID9017,explicit_id_reference,reference points downward_or_sideways_in_current_ladder
9536,ID0001,8378,ID9018,explicit_id_reference,reference points downward_or_sideways_in_current_ladder
9537,ID0004,8378,ID9018,explicit_id_reference,reference points downward_or_sideways_in_current_ladder
9536,ID0001,8379,ID9019,explicit_id_reference,reference points downward_or_sideways_in_current_ladder
9537,ID0004,8379,ID9019,explicit_id_reference,reference points downward_or_sideways_in_current_ladder
9537,ID0004,8380,ID9020,explicit_id_reference,reference points downward_or_sideways_in_current_ladder
9537,ID0004,8383,ID9023,explicit_id_reference,reference points downward_or_sideways_in_current_ladder
9536,ID0001,8384,ID9024,explicit_id_reference,reference points downward_or_sideways_in_current_ladder
