dep_rung,dep_id,dependent_rung,dependent_id,reason
1,ID0000,918,ID0956,ladder_rests_on
1,ID0000,1524,ID1571,explicit_id_reference;ladder_rests_on
1,ID0000,1749,ID1800,explicit_id_reference;ladder_rests_on
1,ID0000,1812,ID1870,explicit_id_reference;ladder_rests_on
1,ID0000,1833,ID1896,explicit_id_reference;ladder_rests_on
1,ID0000,8374,ID9014,explicit_id_reference
1,ID0000,8375,ID9015,explicit_id_reference
1,ID0000,8376,ID9016,explicit_id_reference
1,ID0000,8399,ID9041,explicit_id_reference
1,ID0000,8412,ID9054,explicit_id_reference
1,ID0000,8413,ID9055,explicit_id_reference
1,ID0000,8502,ID1874,explicit_id_reference
1,ID0000,9542,ID1866,explicit_id_reference;ladder_rests_on
1,ID0000,9544,ID1898,ladder_rests_on
1,ID0000,10112,ID10662,ladder_rests_on
2,ID0002,382,ID0408,explicit_id_reference
2,ID0002,1749,ID1800,explicit_id_reference;ladder_rests_on
2,ID0002,1782,ID1838,explicit_id_reference
2,ID0002,1810,ID1868,explicit_id_reference
2,ID0002,8376,ID9016,explicit_id_reference
2,ID0002,8377,ID9017,explicit_id_reference
2,ID0002,8383,ID9023,explicit_id_reference
2,ID0002,8399,ID9041,explicit_id_reference
2,ID0002,9542,ID1866,explicit_id_reference;ladder_rests_on
3,ID0003,8,ID0009,explicit_id_reference;ladder_rests_on
3,ID0003,1782,ID1838,explicit_id_reference;ladder_rests_on
3,ID0003,1800,ID1856,explicit_id_reference;ladder_rests_on
3,ID0003,1810,ID1868,explicit_id_reference
3,ID0003,8717,ID9351,explicit_id_reference
3,ID0003,9544,ID1898,explicit_id_reference;ladder_rests_on
4,ID0005,1834,ID1897,explicit_id_reference;ladder_rests_on
4,ID0005,8376,ID9016,explicit_id_reference
4,ID0005,8732,ID9366,explicit_id_reference
4,ID0005,8733,ID9367,explicit_id_reference
4,ID0005,9543,ID1888,explicit_id_reference;ladder_rests_on
4,ID0005,9544,ID1898,explicit_id_reference;ladder_rests_on
5,ID0006,1145,ID1187,explicit_id_reference;ladder_rests_on
5,ID0006,1749,ID1800,explicit_id_reference;ladder_rests_on
5,ID0006,1769,ID1825,explicit_id_reference;ladder_rests_on
5,ID0006,1810,ID1868,explicit_id_reference;ladder_rests_on
5,ID0006,1834,ID1897,explicit_id_reference;ladder_rests_on
5,ID0006,3485,ID3961,explicit_id_reference;ladder_rests_on
5,ID0006,3535,ID4011,explicit_id_reference;ladder_rests_on
5,ID0006,8142,ID8783,explicit_id_reference
5,ID0006,8143,ID8784,explicit_id_reference
5,ID0006,8377,ID9017,explicit_id_reference
5,ID0006,8389,ID9029,explicit_id_reference
5,ID0006,8403,ID9045,explicit_id_reference
5,ID0006,8406,ID9048,explicit_id_reference
5,ID0006,8407,ID9049,explicit_id_reference
5,ID0006,8425,ID9067,explicit_id_reference
5,ID0006,8719,ID9353,explicit_id_reference
5,ID0006,8733,ID9367,explicit_id_reference
5,ID0006,9543,ID1888,explicit_id_reference;ladder_rests_on
5,ID0006,9544,ID1898,explicit_id_reference;ladder_rests_on
6,ID0007,1782,ID1838,explicit_id_reference;ladder_rests_on
6,ID0007,1797,ID1853,explicit_id_reference;ladder_rests_on
6,ID0007,1798,ID1854,explicit_id_reference
6,ID0007,1828,ID1891,explicit_id_reference;ladder_rests_on
6,ID0007,1829,ID1892,explicit_id_reference;ladder_rests_on
6,ID0007,1834,ID1897,explicit_id_reference;ladder_rests_on
6,ID0007,4715,ID5205,explicit_id_reference;ladder_rests_on
6,ID0007,8143,ID8784,explicit_id_reference
6,ID0007,8378,ID9018,explicit_id_reference
6,ID0007,8379,ID9019,explicit_id_reference
6,ID0007,8473,ID9114,explicit_id_reference
6,ID0007,8719,ID9353,explicit_id_reference
6,ID0007,9543,ID1888,explicit_id_reference;ladder_rests_on
6,ID0007,9544,ID1898,explicit_id_reference;ladder_rests_on
7,ID0008,1802,ID1858,explicit_id_reference;ladder_rests_on
7,ID0008,1827,ID1890,explicit_id_reference;ladder_rests_on
7,ID0008,1829,ID1892,explicit_id_reference;ladder_rests_on
7,ID0008,1834,ID1897,explicit_id_reference;ladder_rests_on
7,ID0008,8380,ID9020,explicit_id_reference
7,ID0008,9543,ID1888,explicit_id_reference;ladder_rests_on
7,ID0008,9544,ID1898,explicit_id_reference;ladder_rests_on
8,ID0009,1834,ID1897,explicit_id_reference;ladder_rests_on
8,ID0009,2558,ID2640,explicit_id_reference;ladder_rests_on
8,ID0009,3561,ID4038,explicit_id_reference;ladder_rests_on
8,ID0009,3580,ID4057,explicit_id_reference;ladder_rests_on
8,ID0009,7831,ID8466,explicit_id_reference;ladder_rests_on
8,ID0009,8389,ID9029,explicit_id_reference
8,ID0009,8406,ID9048,explicit_id_reference
8,ID0009,8407,ID9049,explicit_id_reference
8,ID0009,8450,ID9090,explicit_id_reference
8,ID0009,8451,ID9091,explicit_id_reference
8,ID0009,8464,ID9104,explicit_id_reference
8,ID0009,8465,ID9105,explicit_id_reference
8,ID0009,8718,ID9352,explicit_id_reference
8,ID0009,9543,ID1888,explicit_id_reference;ladder_rests_on
8,ID0009,9544,ID1898,explicit_id_reference;ladder_rests_on
9,ID0010,1796,ID1852,explicit_id_reference;ladder_rests_on
9,ID0010,1803,ID1859,explicit_id_reference
9,ID0010,1834,ID1897,explicit_id_reference;ladder_rests_on
9,ID0010,2559,ID2641,explicit_id_reference;ladder_rests_on
9,ID0010,3580,ID4057,explicit_id_reference;ladder_rests_on
9,ID0010,3619,ID4099,explicit_id_reference;ladder_rests_on
9,ID0010,8381,ID9021,explicit_id_reference
9,ID0010,8382,ID9022,explicit_id_reference
9,ID0010,9543,ID1888,explicit_id_reference;ladder_rests_on
9,ID0010,9544,ID1898,explicit_id_reference;ladder_rests_on
10,ID0011,1798,ID1854,explicit_id_reference;ladder_rests_on
10,ID0011,2560,ID2642,explicit_id_reference;ladder_rests_on
10,ID0011,8383,ID9023,explicit_id_reference
10,ID0011,8719,ID9353,explicit_id_reference
10,ID0011,9544,ID1898,explicit_id_reference;ladder_rests_on
11,ID0012,1450,ID1495,explicit_id_reference;ladder_rests_on
11,ID0012,1766,ID1820,explicit_id_reference;ladder_rests_on
11,ID0012,1791,ID1847,explicit_id_reference;ladder_rests_on
11,ID0012,1800,ID1856,explicit_id_reference;ladder_rests_on
11,ID0012,1809,ID1867,explicit_id_reference;ladder_rests_on
11,ID0012,2220,ID2296,explicit_id_reference;ladder_rests_on
11,ID0012,3582,ID4059,explicit_id_reference;ladder_rests_on
11,ID0012,3589,ID4067,explicit_id_reference;ladder_rests_on
11,ID0012,5376,ID5976,explicit_id_reference;ladder_rests_on
11,ID0012,8474,ID9115,explicit_id_reference
11,ID0012,8475,ID9116,explicit_id_reference
11,ID0012,8476,ID9117,explicit_id_reference
12,ID0013,2181,ID2255,explicit_id_reference;ladder_rests_on
12,ID0013,8141,ID8782,explicit_id_reference
12,ID0013,8384,ID9024,explicit_id_reference
12,ID0013,8385,ID9025,explicit_id_reference
12,ID0013,8386,ID9026,explicit_id_reference
12,ID0013,8387,ID9027,explicit_id_reference
12,ID0013,10256,ID1863,explicit_id_reference
13,ID0014,2561,ID2643,explicit_id_reference;ladder_rests_on
13,ID0014,3584,ID4061,explicit_id_reference;ladder_rests_on
13,ID0014,8361,ID9004,explicit_id_reference
13,ID0014,8363,ID9006,explicit_id_reference
14,ID0015,23,ID0024,explicit_id_reference;ladder_rests_on
14,ID0015,1753,ID1804,explicit_id_reference;ladder_rests_on
14,ID0015,1762,ID1815,explicit_id_reference
14,ID0015,3584,ID4061,explicit_id_reference;ladder_rests_on
14,ID0015,3590,ID4068,explicit_id_reference;ladder_rests_on
14,ID0015,8144,ID8785,explicit_id_reference
14,ID0015,8145,ID8786,explicit_id_reference
14,ID0015,8388,ID9028,explicit_id_reference
14,ID0015,8404,ID9046,explicit_id_reference
14,ID0015,8405,ID9047,explicit_id_reference
14,ID0015,8406,ID9048,explicit_id_reference
14,ID0015,8407,ID9049,explicit_id_reference
14,ID0015,8434,ID9076,explicit_id_reference
14,ID0015,8450,ID9090,explicit_id_reference
14,ID0015,8451,ID9091,explicit_id_reference
14,ID0015,8452,ID9092,explicit_id_reference
14,ID0015,8453,ID9093,explicit_id_reference
14,ID0015,8467,ID9108,explicit_id_reference
14,ID0015,8468,ID9109,explicit_id_reference
14,ID0015,8469,ID9110,explicit_id_reference
14,ID0015,8470,ID9111,explicit_id_reference;ladder_rests_on
14,ID0015,8736,ID9370,explicit_id_reference
15,ID0016,21,ID0022,explicit_id_reference;ladder_rests_on
15,ID0016,1816,ID1876,explicit_id_reference;ladder_rests_on
15,ID0016,1831,ID1894,explicit_id_reference;ladder_rests_on
15,ID0016,1832,ID1895,explicit_id_reference;ladder_rests_on
15,ID0016,3485,ID3961,explicit_id_reference;ladder_rests_on
15,ID0016,3535,ID4011,explicit_id_reference;ladder_rests_on
15,ID0016,8371,ID9011,explicit_id_reference
15,ID0016,8372,ID9012,explicit_id_reference
15,ID0016,8380,ID9020,explicit_id_reference
15,ID0016,8384,ID9024,explicit_id_reference
15,ID0016,8389,ID9029,explicit_id_reference
15,ID0016,8390,ID9030,explicit_id_reference
15,ID0016,8396,ID9038,explicit_id_reference
15,ID0016,8397,ID9039,explicit_id_reference
15,ID0016,8401,ID9043,explicit_id_reference
15,ID0016,8402,ID9044,explicit_id_reference
15,ID0016,8721,ID9355,explicit_id_reference
15,ID0016,8736,ID9370,explicit_id_reference
16,ID0017,1762,ID1815,explicit_id_reference;ladder_rests_on
16,ID0017,8141,ID8782,explicit_id_reference
16,ID0017,8391,ID9031,explicit_id_reference
16,ID0017,8392,ID9032,explicit_id_reference
16,ID0017,8393,ID9033,explicit_id_reference
16,ID0017,8394,ID9034,explicit_id_reference
16,ID0017,8395,ID9035,explicit_id_reference
16,ID0017,8396,ID9038,explicit_id_reference;ladder_rests_on
16,ID0017,8397,ID9039,explicit_id_reference
16,ID0017,8409,ID9051,explicit_id_reference
16,ID0017,8410,ID9052,explicit_id_reference
16,ID0017,8411,ID9053,explicit_id_reference
16,ID0017,8415,ID9057,explicit_id_reference
16,ID0017,8416,ID9058,explicit_id_reference
16,ID0017,8417,ID9059,explicit_id_reference
16,ID0017,8418,ID9060,explicit_id_reference
16,ID0017,8419,ID9061,explicit_id_reference
16,ID0017,8420,ID9062,explicit_id_reference
16,ID0017,8426,ID9068,explicit_id_reference
16,ID0017,8430,ID9072,explicit_id_reference
16,ID0017,8431,ID9073,explicit_id_reference
16,ID0017,8454,ID9094,explicit_id_reference
16,ID0017,8455,ID9095,explicit_id_reference
16,ID0017,8456,ID9096,explicit_id_reference
16,ID0017,8457,ID9097,explicit_id_reference
16,ID0017,8478,ID9119,explicit_id_reference
16,ID0017,8479,ID9120,explicit_id_reference
16,ID0017,8720,ID9354,explicit_id_reference
16,ID0017,8722,ID9356,explicit_id_reference
16,ID0017,8724,ID9358,explicit_id_reference
16,ID0017,9534,ID9036,explicit_id_reference
16,ID0017,9535,ID9037,explicit_id_reference
17,ID0018,8142,ID8783,explicit_id_reference;ladder_rests_on
17,ID0018,8365,ID9008,explicit_id_reference
17,ID0018,8459,ID9099,explicit_id_reference
17,ID0018,8725,ID9359,explicit_id_reference
17,ID0018,9534,ID9036,explicit_id_reference
17,ID0018,9535,ID9037,explicit_id_reference
18,ID0019,1762,ID1815,explicit_id_reference;ladder_rests_on
18,ID0019,1773,ID1829,explicit_id_reference;ladder_rests_on
18,ID0019,1797,ID1853,explicit_id_reference;ladder_rests_on
18,ID0019,1808,ID1865,explicit_id_reference;ladder_rests_on
18,ID0019,3577,ID4054,explicit_id_reference;ladder_rests_on
18,ID0019,3591,ID4069,explicit_id_reference;ladder_rests_on
18,ID0019,5377,ID5977,explicit_id_reference;ladder_rests_on
18,ID0019,8371,ID9011,explicit_id_reference
18,ID0019,8396,ID9038,explicit_id_reference
18,ID0019,8397,ID9039,explicit_id_reference
18,ID0019,8432,ID9074,explicit_id_reference
18,ID0019,8473,ID9114,explicit_id_reference
18,ID0019,8720,ID9354,explicit_id_reference
18,ID0019,8724,ID9358,explicit_id_reference
18,ID0019,9528,ID1805,explicit_id_reference;ladder_rests_on
