rung,id,in_degree,title
9544,ID1898,10,Visual / Glyph Review Tranche
10356,ID10870,8,Cosmological-constant hierarchy as a radius choice
1816,ID1876,7,EID Cleanup Next Batch
9543,ID1888,7,OO-TZP-00 Visual Provenance Packet
1832,ID1895,6,TZP00 EID Ready Review Batch
1834,ID1897,6,Registry Visual ID Review Queue
8145,ID8786,6,"Relation: G_T(x, X')"
10264,ID6489,6,\{Einstein–Rosen Bridge and Trawin Zero-Point Tunnel:}\
10353,ID10867,6,Hubble constant as enclosure breathing rate
10354,ID10868,6,Λ–H₀ unification: two readouts of the enclosure radius
10355,ID10869,6,Dark-energy length of the enclosure
10357,ID10871,6,Closed breathing-enclosure Friedmann model
1830,ID1893,5,TZP00 All MyAll Wolfram to TZPID Alignment Queue
1831,ID1894,5,TZP 00 EID / Bessel Equation-Support Packet
8765,ID9399,5,Definition of SDAAN
860,ID0896,4,Temporal Harmonic Operator
1813,ID1872,4,Canonical Lineage Conflict Audit
4730,ID5220,4,Relation: η_texttotal [Relocated from [ID 0439]] η_U → T : \| U ⟩ Longmapsto e^iθ_methyl…
4774,ID5264,4,Relocated Stress-Energy Tensor
4775,ID5265,4,Relocated Stress-Energy Tensor
8144,ID8785,4,Relation: V_T(x)
8406,ID9048,4,Relation: ∫ 0ω_cut(ω)ωdω
8407,ID9049,4,Relation: ω_cutω_cutω_cutisahighfrequencycutoffdeterminedbyS_HDS_HDS_HD.
8430,ID9072,4,Relation: 0∇T_a∇Ta+∂∂VT+couplings
8482,ID9123,4,Relation: Σ_TZP∆STeffQ+ΣTZP.
8714,ID9348,4,Definition of ¤Γhor
8715,ID9349,4,Definition of 𝐹
8716,ID9350,4,Definition of ∇2Φ
8724,ID9358,4,Definition of ∇𝜇∇𝜇𝜙 (∇𝜇∇𝜇+𝑚2+𝜉𝑅)𝜙
8728,ID9362,4,Definition of ⟨𝑂micro ⟩ ⟨𝑂macro ⟩
8729,ID9363,4,Definition of ⟨𝑄macro ⟩
8756,ID9390,4,Definition of Y OTZP
8761,ID9395,4,Relation: =Ωdownarrow⊗𝐴uparrow
8764,ID9398,4,Definition of Λ≈··· ΠΛ
8766,ID9400,4,Definition of Φ𝜆𝑛
8783,ID9417,4,Definition of 𝝎vort
8795,ID9429,4,Definition of ¥𝑢
8804,ID9438,4,Definition of Δ𝑆universe
8813,ID9447,4,Definition of Hsystem
8819,ID9453,4,Definition of Φ(𝜌)
8823,ID9457,4,Definition of 𝜔vort
8827,ID9461,4,Definition of Φ
8838,ID9472,4,Definition of 𝐻rot
8844,ID9478,4,Relation: UTZP:=Aatt∪Bbas∪Ccoh≠∅
8845,ID9479,4,Definition of Φ
8847,ID9481,4,Definition of 𝑝𝑎𝑟𝑡𝑖𝑎𝑙𝑟Ω𝑒𝑞0 𝐷𝑒𝑙𝑡𝑎Ω
9550,ID9337,4,Definition of Φ++Φ−
10269,ID4227,4,Density
1348,ID1393,3,The Poynting-Flux Damping Algorithm
1749,ID1800,3,The Canonical Axioms of the Trawin Zero Point
