rung,id,out_degree,title
16,ID0017,32,Trawinistic Connection
180,ID0200,23,Alfv\'en Wave Dispersion Relation
374,ID0400,23,Cosmological Constant and Master Unification Equation
14,ID0015,22,Spectral Density Index (TZP-Weighted)
5,ID0006,19,Trawin Base Unit
22,ID0023,19,TZP Potential Term
278,ID0300,19,Node Density Conversion Constant
15,ID0016,18,Manifold Curvature (TZP Condition)
1,ID0000,15,Existence and Uniqueness of the Trawin Zero Point
8,ID0009,15,Hyper-Dimensional Span
18,ID0019,15,Trawinistic D'Alembertian
19,ID0020,15,Trawinistic Winding Number
6,ID0007,14,Temporal Displacement Factor
23,ID0024,14,TZP Vacuum Energy Density
132,ID0150,13,Stress–Energy Conservation Constraint
11,ID0012,12,Field Coherence Metric
28,ID0029,11,Trawinistic Hamiltonian Density
9,ID0010,10,Stochastic Drift Magnitude
36,ID0040,10,Universality of Elsasser Criticality
994,ID1032,10,Spatial Convolution of Omega
2,ID0002,9,Trawinistic Manifold
24,ID0025,9,Conservation Law: TZP Topological Charge
44,ID0051,9,Zero-Point Fluctuations
55,ID0062,9,Quantum Noise Spectra
375,ID0401,9,Electromagnetic Stress-Energy Tensor
465,ID0500,9,Self-Sustaining Dynamo Ignition
664,ID0700,9,Quantum Rectification Ratchet
764,ID0800,9,SO(3) Times U(1) Configuration Bundle
31,ID0032,8,Action Functional on Trawinistic Manifolds
37,ID0041,8,Topological Helicity Quantisation
145,ID0164,8,Quantum Metric from Hamiltonian
148,ID0167,8,Unified Field Equation (Einstein–Yang–Mills–Quantum)
279,ID0301,8,Fibonacci Sphere Parametrization
378,ID0404,8,The Metric Distortion Gradient
381,ID0407,8,The Update Operator Refresh Rate
997,ID1035,8,Omega over Tau Ratio
999,ID1037,8,Entrainment Gradient
7,ID0008,7,Non-Linearity Constant K_NL
12,ID0013,7,Null Space Projection
43,ID0050,7,Quantum Fields on Curved Manifolds
48,ID0055,7,Boundary-Induced Quantum Effects
53,ID0060,7,Quantum Coherence and Decoherence
142,ID0161,7,Principal Bundle over Lemniscatic Manifold
296,ID0318,7,Constrained Dipole Field Configuration
457,ID0492,7,Unified Hamiltonian SUM H_textTrawin
9537,ID0004,7,Metric Degeneracy Condition
3,ID0003,6,Dimensional Ambiguity at TZP
4,ID0005,6,TZP Stability Under Symmetry-Preserving Diffeomorphisms
17,ID0018,6,Trawinistic Laplacian
32,ID0034,6,Field Equations on a Trawinistic Manifold
