id,paper_keys,source_truth_exists,blocks,passes,status
ID0006,paper07; paper10,yes,3,3,3/3 pass
ID0007,paper10,yes,3,3,3/3 pass
ID0012,paper10,yes,3,3,3/3 pass
ID0024,paper06; paper07,yes,4,4,4/4 pass
ID0037,paper02; paper04,yes,3,3,3/3 pass
ID0038,paper02; paper04,yes,3,3,3/3 pass
ID0039,paper02; paper04,yes,4,4,4/4 pass
ID0040,paper04; paper10,yes,3,3,3/3 pass
ID0044,paper02; paper04,yes,4,4,4/4 pass
ID0045,paper04,yes,5,5,5/5 pass
ID0068,paper03,yes,3,3,3/3 pass
ID0078,paper01,yes,3,3,3/3 pass
ID0085,paper04,yes,3,3,3/3 pass
ID0087,paper02; paper04,yes,3,3,3/3 pass
ID0089,paper02; paper04,yes,4,4,4/4 pass
ID0090,paper02; paper04,yes,3,3,3/3 pass
ID0092,paper04,yes,3,3,3/3 pass
ID0093,paper04,yes,3,3,3/3 pass
ID0099,paper02,yes,3,3,3/3 pass
ID0105,paper02,yes,4,4,4/4 pass
ID0115,paper01; paper02,yes,3,3,3/3 pass
ID0117,paper02,yes,3,3,3/3 pass
ID0120,paper02,yes,3,3,3/3 pass
ID0143,paper01; paper02; paper03; paper04,yes,3,3,3/3 pass
ID0144,paper02; paper04,yes,3,3,3/3 pass
ID0187,paper07; paper08,yes,3,3,3/3 pass
ID0256,paper01,yes,2,2,2/2 pass
ID0285,paper01,yes,4,4,4/4 pass
ID0353,paper01,yes,3,3,3/3 pass
ID0388,paper08,yes,3,3,3/3 pass
ID0395,paper01,yes,5,5,5/5 pass
ID0470,paper01,yes,1,1,1/1 pass
ID0643,paper08,yes,3,3,3/3 pass
ID0800,paper10,yes,3,3,3/3 pass
ID0882,paper03,yes,3,3,3/3 pass
ID1171,paper01; paper02,yes,1,1,1/1 pass
ID1392,paper05; paper07; paper08; paper09,yes,1,1,1/1 pass
ID1837,paper01,yes,1,1,1/1 pass
ID1876,paper10,yes,1,1,1/1 pass
ID1888,paper10,yes,1,1,1/1 pass
ID1895,paper10,yes,1,1,1/1 pass
ID1897,paper10,yes,1,1,1/1 pass
ID1898,paper10,yes,1,1,1/1 pass
ID2222,paper01,yes,1,1,1/1 pass
ID2453,paper07; paper08; paper09,yes,8,8,8/8 pass
ID2462,paper07; paper08; paper09,yes,8,8,8/8 pass
ID5167,paper01,yes,1,1,1/1 pass
ID5773,paper08,yes,1,1,1/1 pass
ID6819,paper01,yes,1,1,1/1 pass
ID7177,paper01,yes,1,1,1/1 pass
ID7207,paper01,yes,1,1,1/1 pass
ID7215,paper05,yes,1,1,1/1 pass
ID7216,paper05; paper06,yes,1,1,1/1 pass
ID7257,paper01; paper06,yes,1,1,1/1 pass
ID7259,paper01,yes,1,1,1/1 pass
ID7311,paper05,yes,1,1,1/1 pass
ID7437,paper01; paper02,yes,1,1,1/1 pass
ID7577,paper05,yes,1,1,1/1 pass
ID7733,paper01,yes,1,1,1/1 pass
ID8480,paper08,yes,1,1,1/1 pass
ID8647,paper03,yes,1,1,1/1 pass
ID8648,paper03,yes,1,1,1/1 pass
ID9176,paper08,yes,1,1,1/1 pass
ID9513,paper02; paper04,yes,1,1,1/1 pass
ID9758,paper04,yes,1,1,1/1 pass
ID9760,paper04,yes,1,1,1/1 pass
ID9761,paper04,yes,1,1,1/1 pass
ID9940,paper04,yes,1,1,1/1 pass
ID10018,paper04,yes,1,1,1/1 pass
ID10130,paper03; paper04,yes,1,1,1/1 pass
ID10131,paper04,yes,1,1,1/1 pass
ID10145,paper04,yes,1,1,1/1 pass
ID10164,paper07,yes,1,1,1/1 pass
ID10264,paper04; paper05,yes,1,1,1/1 pass
ID10272,paper04,yes,1,1,1/1 pass
ID10760,paper04,yes,1,1,1/1 pass
ID10786,paper01; paper02; paper03,yes,1,1,1/1 pass
ID10790,paper01; paper02; paper03,yes,1,1,1/1 pass
ID10791,paper01,yes,1,1,1/1 pass
ID10792,paper01; paper02; paper03,yes,1,1,1/1 pass
ID10793,paper06,yes,1,1,1/1 pass
ID10860,paper01; paper06,yes,1,1,1/1 pass
