file_name,stem,full_path,relative_path,length,title,doi_count,doi_list,id_count,ids,equation_like_count,theorem_env_count,bridge_score,sha256,already_in_peer_review,promotion_priority
TheorumInfinitum_full_with_ToE.tex,TheorumInfinitum_full_with_ToE,D:\Tex\TEX_20260224_182530\TheorumInfinitum_full_with_ToE.tex,TEX_20260224_182530\TheorumInfinitum_full_with_ToE.tex,135745,TheorumInfinitum full with ToE,0,,0,,0,0,349,39eb3477e6e5fa948bcfc97ec73aa674e51a23c31c21639461d23c2a698276e5,no,high_quantum_gr_bridge
theorum_infinitum_full.tex,theorum_infinitum_full,D:\Tex\TEX_20260224_182530\theorum_infinitum_full.tex,TEX_20260224_182530\theorum_infinitum_full.tex,141424,Theorum Infinitum,0,,0,,0,0,316,ff379d732c4e03356a8bb5e54821d5cb6abc8eb0a3bc6359a3b53685c89abc13,no,high_quantum_gr_bridge
Volume_02_Complete.tex,Volume_02_Complete,D:\Tex\TEX_20260224_182530\Volume_02_Complete.tex,TEX_20260224_182530\Volume_02_Complete.tex,49399,Volume 02 Complete,0,,0,,0,0,267,ed66b179af8e3112fca7f1cf2e11c90957918a7137240bdd20f2045ba1ced430,no,high_quantum_gr_bridge
TZPID.tex,TZPID,D:\Tex\TZPID.tex,TZPID.tex,792051,TZPID,0,,401,ID0000; ID0001; ID0002; ID0003; ID0004; ID0005; ID0006; ID0007; ID0008; ID0009; ID0010; ID0011; ID0012; ID0013; ID0014; ID0015; ID0016; ID0017; ID0018; ID0019; ID0020; ID0021; ID0022; ID0023; ID0024; ID0025; ID0026; ID0027; ID0028; ID0029; ID0030; ID0031; ID0032; ID0033; ID0034; ID0035; ID0036; ID0037; ID0038; ID0039; ID0040; ID0041; ID0042; ID0043; ID0044; ID0045; ID0046; ID0047; ID0048; ID0049; ID0050; ID0051; ID0052; ID0053; ID0054; ID0055; ID0056; ID0057; ID0058; ID0059; ID0060; ID0061; ID0062; ID0063; ID0064; ID0065; ID0066; ID0067; ID0068; ID0069; ID0070; ID0071; ID0072; ID0073; ID0074; ID0075; ID0076; ID0077; ID0078; ID0079; ID0080; ID0081; ID0082; ID0083; ID0084; ID0085; ID0086; ID0087; ID0088; ID0089; ID0090; ID0091; ID0092; ID0093; ID0094; ID0095; ID0096; ID0097; ID0098; ID0099; ID0100; ID0101; ID0102; ID0103; ID0104; ID0105; ID0106; ID0107; ID0108; ID0109; ID0110; ID0111; ID0112; ID0113; ID0114; ID0115; ID0116; ID0117; ID0118; ID0119; ID0120; ID0121; ID0122; ID0123; ID0124; ID0125; ID0126; ID0127; ID0128; ID0129; ID0130; ID0131; ID0132; ID0133; ID0134; ID0135; ID0136; ID0137; ID0138; ID0139; ID0140; ID0141; ID0142; ID0143; ID0144; ID0145; ID0146; ID0147; ID0148; ID0149; ID0150; ID0151; ID0152; ID0153; ID0154; ID0155; ID0156; ID0157; ID0158; ID0159; ID0160; ID0161; ID0162; ID0163; ID0164; ID0165; ID0166; ID0167; ID0168; ID0169; ID0170; ID0171; ID0172; ID0173; ID0174; ID0175; ID0176; ID0177; ID0178; ID0179; ID0180; ID0181; ID0182; ID0183; ID0184; ID0185; ID0186; ID0187; ID0188; ID0189; ID0190; ID0191; ID0192; ID0193; ID0194; ID0195; ID0196; ID0197; ID0198; ID0199; ID0200; ID0201; ID0202; ID0203; ID0204; ID0205; ID0206; ID0207; ID0208; ID0209; ID0210; ID0211; ID0212; ID0213; ID0214; ID0215; ID0216; ID0217; ID0218; ID0219; ID0220; ID0221; ID0222; ID0223; ID0224; ID0225; ID0226; ID0227; ID0228; ID0229; ID0230; ID0231; ID0232; ID0233; ID0234; ID0235; ID0236; ID0237; ID0238; ID0239; ID0240; ID0241; ID0242; ID0243; ID0244; ID0245; ID0246; ID0247; ID0248; ID0249; ID0250; ID0251; ID0252; ID0253; ID0254; ID0255; ID0256; ID0257; ID0258; ID0259; ID0260; ID0261; ID0262; ID0263; ID0264; ID0265; ID0266; ID0267; ID0268; ID0269; ID0270; ID0271; ID0272; ID0273; ID0274; ID0275; ID0276; ID0277; ID0278; ID0279; ID0280; ID0281; ID0282; ID0283; ID0284; ID0285; ID0286; ID0287; ID0288; ID0289; ID0290; ID0291; ID0292; ID0293; ID0294; ID0295; ID0296; ID0297; ID0298; ID0299; ID0300; ID0301; ID0302; ID0303; ID0304; ID0305; ID0306; ID0307; ID0308; ID0309; ID0310; ID0311; ID0312; ID0313; ID0314; ID0315; ID0316; ID0317; ID0318; ID0319; ID0320; ID0321; ID0322; ID0323; ID0324; ID0325; ID0326; ID0327; ID0328; ID0329; ID0330; ID0331; ID0332; ID0333; ID0334; ID0335; ID0336; ID0337; ID0338; ID0339; ID0340; ID0341; ID0342; ID0343; ID0344; ID0345; ID0346; ID0347; ID0348; ID0349; ID0350; ID0351; ID0352; ID0353; ID0354; ID0355; ID0356; ID0357; ID0358; ID0359; ID0360; ID0361; ID0362; ID0363; ID0364; ID0365; ID0366; ID0367; ID0368; ID0369; ID0370; ID0371; ID0372; ID0373; ID0374; ID0375; ID0376; ID0377; ID0378; ID0379; ID0380; ID0381; ID0382; ID0383; ID0384; ID0385; ID0386; ID0387; ID0388; ID0389; ID0390; ID0391; ID0392; ID0393; ID0394; ID0395; ID0396; ID0397; ID0398; ID0399; ID0400,104,0,256,d4f3e9df0f41620b153e89e0e6921923489496e83788e4425398d4ab558365d5,no,high_quantum_gr_bridge
1000up.tex,1000up,D:\Tex\1000up.tex,1000up.tex,103591,Trawin Zero Point Opera Omnia,0,,241,ID0850; ID0851; ID0852; ID0853; ID0854; ID0855; ID0856; ID0857; ID0858; ID0859; ID0860; ID0861; ID0862; ID0863; ID0864; ID0865; ID0866; ID0867; ID0868; ID0869; ID0870; ID0871; ID0872; ID0873; ID0874; ID0875; ID0876; ID0877; ID0878; ID0879; ID0880; ID0881; ID0882; ID0883; ID0884; ID0885; ID0886; ID0887; ID0888; ID0889; ID0890; ID0891; ID0892; ID0893; ID0894; ID0895; ID0896; ID0897; ID0898; ID0899; ID0900; ID0901; ID0902; ID0903; ID0904; ID0905; ID0906; ID0907; ID0908; ID0909; ID0910; ID0911; ID0912; ID0913; ID0914; ID0915; ID0916; ID0917; ID0918; ID0919; ID0920; ID0921; ID0922; ID0923; ID0924; ID0925; ID0926; ID0927; ID0928; ID0929; ID0930; ID0961; ID0962; ID0963; ID0964; ID0965; ID0966; ID0967; ID0968; ID0969; ID0970; ID0971; ID0972; ID0973; ID0974; ID0975; ID0976; ID0977; ID0978; ID0979; ID0980; ID0981; ID0982; ID0983; ID0984; ID0985; ID0986; ID0987; ID0988; ID0989; ID0990; ID0991; ID0992; ID0993; ID0994; ID0995; ID0996; ID0997; ID0998; ID0999; ID1000; ID1001; ID1002; ID1003; ID1004; ID1005; ID1006; ID1007; ID1008; ID1009; ID1010; ID1011; ID1012; ID1013; ID1014; ID1015; ID1016; ID1017; ID1018; ID1019; ID1020; ID1021; ID1022; ID1023; ID1024; ID1025; ID1026; ID1027; ID1028; ID1029; ID1030; ID1031; ID1032; ID1033; ID1034; ID1035; ID1036; ID1037; ID1038; ID1039; ID1040; ID1041; ID1042; ID1043; ID1044; ID1045; ID1046; ID1047; ID1048; ID1049; ID1050; ID1051; ID1052; ID1053; ID1054; ID1055; ID1056; ID1057; ID1058; ID1059; ID1060; ID1061; ID1062; ID1063; ID1064; ID1065; ID1066; ID1067; ID1068; ID1069; ID1070; ID1071; ID1072; ID1073; ID1074; ID1075; ID1076; ID1077; ID1078; ID1079; ID1080; ID1081; ID1082; ID1083; ID1084; ID1085; ID1086; ID1087; ID1088; ID1089; ID1090; ID1091; ID1092; ID1093; ID1094; ID1095; ID1096; ID1097; ID1098; ID1099; ID1100; ID1101; ID1102; ID1103; ID1104; ID1105; ID1106; ID1107; ID1108; ID1109; ID1110; ID1111; ID1112; ID1113; ID1114; ID1115; ID1116; ID1117; ID1118; ID1119; ID1120,1,0,249,63b220407928295e4ae623bcfaba19e869c8f7ec3193a0200f4f9e9865c53698,no,high_quantum_gr_bridge
1000up.tex,1000up,D:\Tex\TEX_20260224_182530\1000up.tex,TEX_20260224_182530\1000up.tex,103592,Trawin Zero Point Opera Omnia,0,,241,ID0850; ID0851; ID0852; ID0853; ID0854; ID0855; ID0856; ID0857; ID0858; ID0859; ID0860; ID0861; ID0862; ID0863; ID0864; ID0865; ID0866; ID0867; ID0868; ID0869; ID0870; ID0871; ID0872; ID0873; ID0874; ID0875; ID0876; ID0877; ID0878; ID0879; ID0880; ID0881; ID0882; ID0883; ID0884; ID0885; ID0886; ID0887; ID0888; ID0889; ID0890; ID0891; ID0892; ID0893; ID0894; ID0895; ID0896; ID0897; ID0898; ID0899; ID0900; ID0901; ID0902; ID0903; ID0904; ID0905; ID0906; ID0907; ID0908; ID0909; ID0910; ID0911; ID0912; ID0913; ID0914; ID0915; ID0916; ID0917; ID0918; ID0919; ID0920; ID0921; ID0922; ID0923; ID0924; ID0925; ID0926; ID0927; ID0928; ID0929; ID0930; ID0961; ID0962; ID0963; ID0964; ID0965; ID0966; ID0967; ID0968; ID0969; ID0970; ID0971; ID0972; ID0973; ID0974; ID0975; ID0976; ID0977; ID0978; ID0979; ID0980; ID0981; ID0982; ID0983; ID0984; ID0985; ID0986; ID0987; ID0988; ID0989; ID0990; ID0991; ID0992; ID0993; ID0994; ID0995; ID0996; ID0997; ID0998; ID0999; ID1000; ID1001; ID1002; ID1003; ID1004; ID1005; ID1006; ID1007; ID1008; ID1009; ID1010; ID1011; ID1012; ID1013; ID1014; ID1015; ID1016; ID1017; ID1018; ID1019; ID1020; ID1021; ID1022; ID1023; ID1024; ID1025; ID1026; ID1027; ID1028; ID1029; ID1030; ID1031; ID1032; ID1033; ID1034; ID1035; ID1036; ID1037; ID1038; ID1039; ID1040; ID1041; ID1042; ID1043; ID1044; ID1045; ID1046; ID1047; ID1048; ID1049; ID1050; ID1051; ID1052; ID1053; ID1054; ID1055; ID1056; ID1057; ID1058; ID1059; ID1060; ID1061; ID1062; ID1063; ID1064; ID1065; ID1066; ID1067; ID1068; ID1069; ID1070; ID1071; ID1072; ID1073; ID1074; ID1075; ID1076; ID1077; ID1078; ID1079; ID1080; ID1081; ID1082; ID1083; ID1084; ID1085; ID1086; ID1087; ID1088; ID1089; ID1090; ID1091; ID1092; ID1093; ID1094; ID1095; ID1096; ID1097; ID1098; ID1099; ID1100; ID1101; ID1102; ID1103; ID1104; ID1105; ID1106; ID1107; ID1108; ID1109; ID1110; ID1111; ID1112; ID1113; ID1114; ID1115; ID1116; ID1117; ID1118; ID1119; ID1120,1,0,249,66a8351d4d7b02ff5ff7212195941f3f905b210ddf8aa1eac67b18f7955fa8ae,no,high_quantum_gr_bridge
Pomerium_Internum.tex,Pomerium_Internum,D:\Tex\Pomerium_Internum.tex,Pomerium_Internum.tex,102481,Trawin Zero Point Opera Omnia,0,,241,ID0850; ID0851; ID0852; ID0853; ID0854; ID0855; ID0856; ID0857; ID0858; ID0859; ID0860; ID0861; ID0862; ID0863; ID0864; ID0865; ID0866; ID0867; ID0868; ID0869; ID0870; ID0871; ID0872; ID0873; ID0874; ID0875; ID0876; ID0877; ID0878; ID0879; ID0880; ID0881; ID0882; ID0883; ID0884; ID0885; ID0886; ID0887; ID0888; ID0889; ID0890; ID0891; ID0892; ID0893; ID0894; ID0895; ID0896; ID0897; ID0898; ID0899; ID0900; ID0901; ID0902; ID0903; ID0904; ID0905; ID0906; ID0907; ID0908; ID0909; ID0910; ID0911; ID0912; ID0913; ID0914; ID0915; ID0916; ID0917; ID0918; ID0919; ID0920; ID0921; ID0922; ID0923; ID0924; ID0925; ID0926; ID0927; ID0928; ID0929; ID0930; ID0961; ID0962; ID0963; ID0964; ID0965; ID0966; ID0967; ID0968; ID0969; ID0970; ID0971; ID0972; ID0973; ID0974; ID0975; ID0976; ID0977; ID0978; ID0979; ID0980; ID0981; ID0982; ID0983; ID0984; ID0985; ID0986; ID0987; ID0988; ID0989; ID0990; ID0991; ID0992; ID0993; ID0994; ID0995; ID0996; ID0997; ID0998; ID0999; ID1000; ID1001; ID1002; ID1003; ID1004; ID1005; ID1006; ID1007; ID1008; ID1009; ID1010; ID1011; ID1012; ID1013; ID1014; ID1015; ID1016; ID1017; ID1018; ID1019; ID1020; ID1021; ID1022; ID1023; ID1024; ID1025; ID1026; ID1027; ID1028; ID1029; ID1030; ID1031; ID1032; ID1033; ID1034; ID1035; ID1036; ID1037; ID1038; ID1039; ID1040; ID1041; ID1042; ID1043; ID1044; ID1045; ID1046; ID1047; ID1048; ID1049; ID1050; ID1051; ID1052; ID1053; ID1054; ID1055; ID1056; ID1057; ID1058; ID1059; ID1060; ID1061; ID1062; ID1063; ID1064; ID1065; ID1066; ID1067; ID1068; ID1069; ID1070; ID1071; ID1072; ID1073; ID1074; ID1075; ID1076; ID1077; ID1078; ID1079; ID1080; ID1081; ID1082; ID1083; ID1084; ID1085; ID1086; ID1087; ID1088; ID1089; ID1090; ID1091; ID1092; ID1093; ID1094; ID1095; ID1096; ID1097; ID1098; ID1099; ID1100; ID1101; ID1102; ID1103; ID1104; ID1105; ID1106; ID1107; ID1108; ID1109; ID1110; ID1111; ID1112; ID1113; ID1114; ID1115; ID1116; ID1117; ID1118; ID1119; ID1120,1,0,248,81d0ad26324c0eda310664155985629ac8c8b5ca4f9ad3a0ba59ed14f904ee95,no,high_quantum_gr_bridge
Pomerium_Internum.tex,Pomerium_Internum,D:\Tex\TEX_20260224_182530\Pomerium_Internum.tex,TEX_20260224_182530\Pomerium_Internum.tex,102481,Trawin Zero Point Opera Omnia,0,,241,ID0850; ID0851; ID0852; ID0853; ID0854; ID0855; ID0856; ID0857; ID0858; ID0859; ID0860; ID0861; ID0862; ID0863; ID0864; ID0865; ID0866; ID0867; ID0868; ID0869; ID0870; ID0871; ID0872; ID0873; ID0874; ID0875; ID0876; ID0877; ID0878; ID0879; ID0880; ID0881; ID0882; ID0883; ID0884; ID0885; ID0886; ID0887; ID0888; ID0889; ID0890; ID0891; ID0892; ID0893; ID0894; ID0895; ID0896; ID0897; ID0898; ID0899; ID0900; ID0901; ID0902; ID0903; ID0904; ID0905; ID0906; ID0907; ID0908; ID0909; ID0910; ID0911; ID0912; ID0913; ID0914; ID0915; ID0916; ID0917; ID0918; ID0919; ID0920; ID0921; ID0922; ID0923; ID0924; ID0925; ID0926; ID0927; ID0928; ID0929; ID0930; ID0961; ID0962; ID0963; ID0964; ID0965; ID0966; ID0967; ID0968; ID0969; ID0970; ID0971; ID0972; ID0973; ID0974; ID0975; ID0976; ID0977; ID0978; ID0979; ID0980; ID0981; ID0982; ID0983; ID0984; ID0985; ID0986; ID0987; ID0988; ID0989; ID0990; ID0991; ID0992; ID0993; ID0994; ID0995; ID0996; ID0997; ID0998; ID0999; ID1000; ID1001; ID1002; ID1003; ID1004; ID1005; ID1006; ID1007; ID1008; ID1009; ID1010; ID1011; ID1012; ID1013; ID1014; ID1015; ID1016; ID1017; ID1018; ID1019; ID1020; ID1021; ID1022; ID1023; ID1024; ID1025; ID1026; ID1027; ID1028; ID1029; ID1030; ID1031; ID1032; ID1033; ID1034; ID1035; ID1036; ID1037; ID1038; ID1039; ID1040; ID1041; ID1042; ID1043; ID1044; ID1045; ID1046; ID1047; ID1048; ID1049; ID1050; ID1051; ID1052; ID1053; ID1054; ID1055; ID1056; ID1057; ID1058; ID1059; ID1060; ID1061; ID1062; ID1063; ID1064; ID1065; ID1066; ID1067; ID1068; ID1069; ID1070; ID1071; ID1072; ID1073; ID1074; ID1075; ID1076; ID1077; ID1078; ID1079; ID1080; ID1081; ID1082; ID1083; ID1084; ID1085; ID1086; ID1087; ID1088; ID1089; ID1090; ID1091; ID1092; ID1093; ID1094; ID1095; ID1096; ID1097; ID1098; ID1099; ID1100; ID1101; ID1102; ID1103; ID1104; ID1105; ID1106; ID1107; ID1108; ID1109; ID1110; ID1111; ID1112; ID1113; ID1114; ID1115; ID1116; ID1117; ID1118; ID1119; ID1120,1,0,248,81d0ad26324c0eda310664155985629ac8c8b5ca4f9ad3a0ba59ed14f904ee95,no,high_quantum_gr_bridge
TZPID_before_proof_enrichment.tex,TZPID_before_proof_enrichment,D:\Tex\TZPID_before_proof_enrichment.tex,TZPID_before_proof_enrichment.tex,488145,TZPID before proof enrichment,0,,401,ID0000; ID0001; ID0002; ID0003; ID0004; ID0005; ID0006; ID0007; ID0008; ID0009; ID0010; ID0011; ID0012; ID0013; ID0014; ID0015; ID0016; ID0017; ID0018; ID0019; ID0020; ID0021; ID0022; ID0023; ID0024; ID0025; ID0026; ID0027; ID0028; ID0029; ID0030; ID0031; ID0032; ID0033; ID0034; ID0035; ID0036; ID0037; ID0038; ID0039; ID0040; ID0041; ID0042; ID0043; ID0044; ID0045; ID0046; ID0047; ID0048; ID0049; ID0050; ID0051; ID0052; ID0053; ID0054; ID0055; ID0056; ID0057; ID0058; ID0059; ID0060; ID0061; ID0062; ID0063; ID0064; ID0065; ID0066; ID0067; ID0068; ID0069; ID0070; ID0071; ID0072; ID0073; ID0074; ID0075; ID0076; ID0077; ID0078; ID0079; ID0080; ID0081; ID0082; ID0083; ID0084; ID0085; ID0086; ID0087; ID0088; ID0089; ID0090; ID0091; ID0092; ID0093; ID0094; ID0095; ID0096; ID0097; ID0098; ID0099; ID0100; ID0101; ID0102; ID0103; ID0104; ID0105; ID0106; ID0107; ID0108; ID0109; ID0110; ID0111; ID0112; ID0113; ID0114; ID0115; ID0116; ID0117; ID0118; ID0119; ID0120; ID0121; ID0122; ID0123; ID0124; ID0125; ID0126; ID0127; ID0128; ID0129; ID0130; ID0131; ID0132; ID0133; ID0134; ID0135; ID0136; ID0137; ID0138; ID0139; ID0140; ID0141; ID0142; ID0143; ID0144; ID0145; ID0146; ID0147; ID0148; ID0149; ID0150; ID0151; ID0152; ID0153; ID0154; ID0155; ID0156; ID0157; ID0158; ID0159; ID0160; ID0161; ID0162; ID0163; ID0164; ID0165; ID0166; ID0167; ID0168; ID0169; ID0170; ID0171; ID0172; ID0173; ID0174; ID0175; ID0176; ID0177; ID0178; ID0179; ID0180; ID0181; ID0182; ID0183; ID0184; ID0185; ID0186; ID0187; ID0188; ID0189; ID0190; ID0191; ID0192; ID0193; ID0194; ID0195; ID0196; ID0197; ID0198; ID0199; ID0200; ID0201; ID0202; ID0203; ID0204; ID0205; ID0206; ID0207; ID0208; ID0209; ID0210; ID0211; ID0212; ID0213; ID0214; ID0215; ID0216; ID0217; ID0218; ID0219; ID0220; ID0221; ID0222; ID0223; ID0224; ID0225; ID0226; ID0227; ID0228; ID0229; ID0230; ID0231; ID0232; ID0233; ID0234; ID0235; ID0236; ID0237; ID0238; ID0239; ID0240; ID0241; ID0242; ID0243; ID0244; ID0245; ID0246; ID0247; ID0248; ID0249; ID0250; ID0251; ID0252; ID0253; ID0254; ID0255; ID0256; ID0257; ID0258; ID0259; ID0260; ID0261; ID0262; ID0263; ID0264; ID0265; ID0266; ID0267; ID0268; ID0269; ID0270; ID0271; ID0272; ID0273; ID0274; ID0275; ID0276; ID0277; ID0278; ID0279; ID0280; ID0281; ID0282; ID0283; ID0284; ID0285; ID0286; ID0287; ID0288; ID0289; ID0290; ID0291; ID0292; ID0293; ID0294; ID0295; ID0296; ID0297; ID0298; ID0299; ID0300; ID0301; ID0302; ID0303; ID0304; ID0305; ID0306; ID0307; ID0308; ID0309; ID0310; ID0311; ID0312; ID0313; ID0314; ID0315; ID0316; ID0317; ID0318; ID0319; ID0320; ID0321; ID0322; ID0323; ID0324; ID0325; ID0326; ID0327; ID0328; ID0329; ID0330; ID0331; ID0332; ID0333; ID0334; ID0335; ID0336; ID0337; ID0338; ID0339; ID0340; ID0341; ID0342; ID0343; ID0344; ID0345; ID0346; ID0347; ID0348; ID0349; ID0350; ID0351; ID0352; ID0353; ID0354; ID0355; ID0356; ID0357; ID0358; ID0359; ID0360; ID0361; ID0362; ID0363; ID0364; ID0365; ID0366; ID0367; ID0368; ID0369; ID0370; ID0371; ID0372; ID0373; ID0374; ID0375; ID0376; ID0377; ID0378; ID0379; ID0380; ID0381; ID0382; ID0383; ID0384; ID0385; ID0386; ID0387; ID0388; ID0389; ID0390; ID0391; ID0392; ID0393; ID0394; ID0395; ID0396; ID0397; ID0398; ID0399; ID0400,39,0,246,f67a4087cb59cd9a6a002a3a4cca9b7868480e3d41c9ef6db5a04db39445d96f,no,high_quantum_gr_bridge
TZPID_before_kdp_restore.tex,TZPID_before_kdp_restore,D:\Tex\TZPID_before_kdp_restore.tex,TZPID_before_kdp_restore.tex,416110,TZPID before kdp restore,0,,401,ID0000; ID0001; ID0002; ID0003; ID0004; ID0005; ID0006; ID0007; ID0008; ID0009; ID0010; ID0011; ID0012; ID0013; ID0014; ID0015; ID0016; ID0017; ID0018; ID0019; ID0020; ID0021; ID0022; ID0023; ID0024; ID0025; ID0026; ID0027; ID0028; ID0029; ID0030; ID0031; ID0032; ID0033; ID0034; ID0035; ID0036; ID0037; ID0038; ID0039; ID0040; ID0041; ID0042; ID0043; ID0044; ID0045; ID0046; ID0047; ID0048; ID0049; ID0050; ID0051; ID0052; ID0053; ID0054; ID0055; ID0056; ID0057; ID0058; ID0059; ID0060; ID0061; ID0062; ID0063; ID0064; ID0065; ID0066; ID0067; ID0068; ID0069; ID0070; ID0071; ID0072; ID0073; ID0074; ID0075; ID0076; ID0077; ID0078; ID0079; ID0080; ID0081; ID0082; ID0083; ID0084; ID0085; ID0086; ID0087; ID0088; ID0089; ID0090; ID0091; ID0092; ID0093; ID0094; ID0095; ID0096; ID0097; ID0098; ID0099; ID0100; ID0101; ID0102; ID0103; ID0104; ID0105; ID0106; ID0107; ID0108; ID0109; ID0110; ID0111; ID0112; ID0113; ID0114; ID0115; ID0116; ID0117; ID0118; ID0119; ID0120; ID0121; ID0122; ID0123; ID0124; ID0125; ID0126; ID0127; ID0128; ID0129; ID0130; ID0131; ID0132; ID0133; ID0134; ID0135; ID0136; ID0137; ID0138; ID0139; ID0140; ID0141; ID0142; ID0143; ID0144; ID0145; ID0146; ID0147; ID0148; ID0149; ID0150; ID0151; ID0152; ID0153; ID0154; ID0155; ID0156; ID0157; ID0158; ID0159; ID0160; ID0161; ID0162; ID0163; ID0164; ID0165; ID0166; ID0167; ID0168; ID0169; ID0170; ID0171; ID0172; ID0173; ID0174; ID0175; ID0176; ID0177; ID0178; ID0179; ID0180; ID0181; ID0182; ID0183; ID0184; ID0185; ID0186; ID0187; ID0188; ID0189; ID0190; ID0191; ID0192; ID0193; ID0194; ID0195; ID0196; ID0197; ID0198; ID0199; ID0200; ID0201; ID0202; ID0203; ID0204; ID0205; ID0206; ID0207; ID0208; ID0209; ID0210; ID0211; ID0212; ID0213; ID0214; ID0215; ID0216; ID0217; ID0218; ID0219; ID0220; ID0221; ID0222; ID0223; ID0224; ID0225; ID0226; ID0227; ID0228; ID0229; ID0230; ID0231; ID0232; ID0233; ID0234; ID0235; ID0236; ID0237; ID0238; ID0239; ID0240; ID0241; ID0242; ID0243; ID0244; ID0245; ID0246; ID0247; ID0248; ID0249; ID0250; ID0251; ID0252; ID0253; ID0254; ID0255; ID0256; ID0257; ID0258; ID0259; ID0260; ID0261; ID0262; ID0263; ID0264; ID0265; ID0266; ID0267; ID0268; ID0269; ID0270; ID0271; ID0272; ID0273; ID0274; ID0275; ID0276; ID0277; ID0278; ID0279; ID0280; ID0281; ID0282; ID0283; ID0284; ID0285; ID0286; ID0287; ID0288; ID0289; ID0290; ID0291; ID0292; ID0293; ID0294; ID0295; ID0296; ID0297; ID0298; ID0299; ID0300; ID0301; ID0302; ID0303; ID0304; ID0305; ID0306; ID0307; ID0308; ID0309; ID0310; ID0311; ID0312; ID0313; ID0314; ID0315; ID0316; ID0317; ID0318; ID0319; ID0320; ID0321; ID0322; ID0323; ID0324; ID0325; ID0326; ID0327; ID0328; ID0329; ID0330; ID0331; ID0332; ID0333; ID0334; ID0335; ID0336; ID0337; ID0338; ID0339; ID0340; ID0341; ID0342; ID0343; ID0344; ID0345; ID0346; ID0347; ID0348; ID0349; ID0350; ID0351; ID0352; ID0353; ID0354; ID0355; ID0356; ID0357; ID0358; ID0359; ID0360; ID0361; ID0362; ID0363; ID0364; ID0365; ID0366; ID0367; ID0368; ID0369; ID0370; ID0371; ID0372; ID0373; ID0374; ID0375; ID0376; ID0377; ID0378; ID0379; ID0380; ID0381; ID0382; ID0383; ID0384; ID0385; ID0386; ID0387; ID0388; ID0389; ID0390; ID0391; ID0392; ID0393; ID0394; ID0395; ID0396; ID0397; ID0398; ID0399; ID0400,33,0,242,e48726bf329d54f747c4a1df01b2df3b74c422300a7136eac466ac626f778d59,no,high_quantum_gr_bridge
