file_name,full_path,extension,length,evidence_score,priority,domains,id_count,ids,doi_count,dois,arxiv_count,arxiv_ids,url_count,urls
prooftwo..md,D:\Proofs\prooftwo..md,.md,120239,375,high_external_evidence,bessel_wave; gravity_gr; gyromagnetic; quantum; topology,101,ID0100; ID0101; ID0102; ID0103; ID0104; ID0105; ID0106; ID0107; ID0108; ID0109; ID0110; ID0111; ID0112; ID0113; ID0114; ID0115; ID0116; ID0117; ID0118; ID0119; ID0120; ID0121; ID0122; ID0123; ID0124; ID0125; ID0126; ID0127; ID0128; ID0129; ID0130; ID0131; ID0132; ID0133; ID0134; ID0135; ID0136; ID0137; ID0138; ID0139; ID0140; ID0141; ID0142; ID0143; ID0144; ID0145; ID0146; ID0147; ID0148; ID0149; ID0150; ID0151; ID0152; ID0153; ID0154; ID0155; ID0156; ID0157; ID0158; ID0159; ID0160; ID0161; ID0162; ID0163; ID0164; ID0165; ID0166; ID0167; ID0168; ID0169; ID0170; ID0171; ID0172; ID0173; ID0174; ID0175; ID0176; ID0177; ID0178; ID0179; ID0180; ID0181; ID0182; ID0183; ID0184; ID0185; ID0186; ID0187; ID0188; ID0189; ID0190; ID0191; ID0192; ID0193; ID0194; ID0195; ID0196; ID0197; ID0198; ID0199; ID0200,1,10.1016/j.heliyon.2019.e01130,0,,3,https://pmc.ncbi.nlm.nih.gov/articles/PMC6351390/; https://www.emergentmind.com/topics/kuramoto-model-for-synchronization; https://www.whitman.edu/Documents/Academics/Mathematics/clancy.pdf
tzpid_100_200_proof_support.csv,D:\Proofs\tzpid_100_200_proof_support.csv,.csv,68314,326,high_external_evidence,bessel_wave; gravity_gr; gyromagnetic; quantum; topology,0,,1,10.1016/j.heliyon.2019.e01130,0,,5,https://pmc.ncbi.nlm.nih.gov/articles/PMC6351390/; https://pmc.ncbi.nlm.nih.gov/articles/PMC6351390/#:~:text=Fibonacci%20numbers%20or%20Fibonacci%20sequence; https://www.emergentmind.com/topics/kuramoto-model-for-synchronization; https://www.emergentmind.com/topics/kuramoto-model-for-synchronization#:~:text=1; https://www.whitman.edu/Documents/Academics/Mathematics/clancy.pdf
proof2.csv,D:\Proofs\proof2.csv,.csv,111002,301,high_external_evidence,bessel_wave; cosmology; gravity_gr; gyromagnetic; quantum; topology,101,ID0100; ID0101; ID0102; ID0103; ID0104; ID0105; ID0106; ID0107; ID0108; ID0109; ID0110; ID0111; ID0112; ID0113; ID0114; ID0115; ID0116; ID0117; ID0118; ID0119; ID0120; ID0121; ID0122; ID0123; ID0124; ID0125; ID0126; ID0127; ID0128; ID0129; ID0130; ID0131; ID0132; ID0133; ID0134; ID0135; ID0136; ID0137; ID0138; ID0139; ID0140; ID0141; ID0142; ID0143; ID0144; ID0145; ID0146; ID0147; ID0148; ID0149; ID0150; ID0151; ID0152; ID0153; ID0154; ID0155; ID0156; ID0157; ID0158; ID0159; ID0160; ID0161; ID0162; ID0163; ID0164; ID0165; ID0166; ID0167; ID0168; ID0169; ID0170; ID0171; ID0172; ID0173; ID0174; ID0175; ID0176; ID0177; ID0178; ID0179; ID0180; ID0181; ID0182; ID0183; ID0184; ID0185; ID0186; ID0187; ID0188; ID0189; ID0190; ID0191; ID0192; ID0193; ID0194; ID0195; ID0196; ID0197; ID0198; ID0199; ID0200,0,,1,2410.21171,8,https://arxiv.org/abs/hep-th/0510092#:~:text=the%20entanglement%20of%20the%20interior; https://arxiv.org/html/2410.21171v3#:~:text=propagates%20in%20opposite%20directions%20along; https://en.wikipedia.org/wiki/Mercury_(planet; https://mathinsight.org/applet/kuramoto_order_parameters#:~:text=positive%20real%20axis%20%28i; https://mathworld.wolfram.com/LogarithmicSpiral.html#:~:text=The%20logarithmic%20spiral%20is%20a; https://sites.uni.edu/morgans/lab/planetdata.html#:~:text=Rotation%20Period%2058.8%20; https://www.geeksforgeeks.org/dsa/find-nth-fibonacci-number-using-binets-formula/#:~:text=Binet%E2%80%99s%20Formula%20for%20Fibonacci%20Numbers; https://www.geeksforgeeks.org/dsa/find-nth-fibonacci-number-using-binets-formula/#:~:text=Binet%E2%80%99s%20Formula%20for%20Fibonacci%20Numbers;
proof3.md,D:\Proofs\proof3.md,.md,133009,262,high_external_evidence,bessel_wave; gravity_gr; gyromagnetic; quantum; topology,100,ID0200; ID0201; ID0202; ID0203; ID0204; ID0205; ID0206; ID0207; ID0208; ID0209; ID0210; ID0211; ID0212; ID0213; ID0214; ID0215; ID0216; ID0217; ID0218; ID0219; ID0220; ID0221; ID0222; ID0223; ID0224; ID0225; ID0226; ID0227; ID0228; ID0229; ID0230; ID0231; ID0232; ID0233; ID0234; ID0235; ID0236; ID0237; ID0238; ID0239; ID0240; ID0241; ID0242; ID0243; ID0244; ID0245; ID0246; ID0247; ID0248; ID0249; ID0250; ID0251; ID0252; ID0253; ID0254; ID0255; ID0256; ID0257; ID0258; ID0259; ID0260; ID0261; ID0262; ID0263; ID0264; ID0265; ID0266; ID0267; ID0268; ID0269; ID0270; ID0271; ID0272; ID0273; ID0274; ID0275; ID0276; ID0277; ID0278; ID0279; ID0280; ID0281; ID0282; ID0283; ID0284; ID0285; ID0286; ID0287; ID0288; ID0289; ID0290; ID0291; ID0292; ID0293; ID0294; ID0295; ID0296; ID0297; ID0298; ID0299,0,,0,,0,
ID0300_ID0399_proof_support.csv,D:\Proofs\ID0300_ID0399_proof_support.csv,.csv,113101,203,high_external_evidence,bessel_wave; gravity_gr; gyromagnetic; quantum; topology,0,,16,10.1002/9783527618171; 10.1002/j.1538-7305.1949.tb00917.x; 10.1002/prop.200810541; 10.1007/978-1-4612-9839-7; 10.1007/978-3-642-60158-0; 10.1007/978-3-662-09203-5_2; 10.1017/CBO9780511976667; 10.1017/S0022112069000881; 10.1093/acprof:oso/9780198504006.001.0001; 10.1103/PhysRevLett.59.381; 10.1103/RevModPhys.75.715; 10.1109/TVCG.2019.2952131; 10.1142/1234; 10.1201/9780203739598; 10.1364/AO.21.002669; 10.7208/chicago/9780226870373.001.0001,1,7305.1949,18,https://arxiv.org/abs/hep-th/0203101; https://doi.org/10.1002/9783527618171; https://doi.org/10.1002/j.1538-7305.1949.tb00917.x; https://doi.org/10.1002/prop.200810541; https://doi.org/10.1007/978-1-4612-9839-7; https://doi.org/10.1007/978-3-642-60158-0; https://doi.org/10.1007/978-3-662-09203-5_2; https://doi.org/10.1017/CBO9780511976667; https://doi.org/10.1017/S0022112069000881; https://doi.org/10.1093/acprof:oso/9780198504006.001.0001; https://doi.org/10.1103/PhysRevLett.59.381; https://doi.org/10.1103/RevModPhys.75.715; https://doi.org/10.1109/TVCG.2019.2952131; https://doi.org/10.1142/1234; https://doi.org/10.1201/9780203739598; https://doi.org/10.1364/AO.21.002669; https://doi.org/10.7208/chicago/9780226870373.001.0001; https://mathworld.wolfram.com/PairingFunction.html
proofone.md,D:\Proofs\proofone.md,.md,101612,188,high_external_evidence,bessel_wave; gravity_gr; gyromagnetic; quantum; topology,99,ID0001; ID0002; ID0003; ID0004; ID0005; ID0006; ID0007; ID0008; ID0009; ID0010; ID0011; ID0012; ID0013; ID0014; ID0015; ID0016; ID0017; ID0018; ID0019; ID0020; ID0021; ID0022; ID0023; ID0024; ID0025; ID0026; ID0027; ID0028; ID0029; ID0030; ID0031; ID0032; ID0033; ID0034; ID0035; ID0036; ID0037; ID0038; ID0039; ID0040; ID0041; ID0042; ID0043; ID0044; ID0045; ID0046; ID0047; ID0048; ID0049; ID0050; ID0051; ID0052; ID0053; ID0054; ID0055; ID0056; ID0057; ID0058; ID0059; ID0060; ID0061; ID0062; ID0063; ID0064; ID0065; ID0066; ID0067; ID0068; ID0069; ID0070; ID0071; ID0072; ID0073; ID0074; ID0075; ID0076; ID0077; ID0078; ID0079; ID0080; ID0081; ID0082; ID0083; ID0084; ID0085; ID0086; ID0087; ID0088; ID0089; ID0090; ID0091; ID0092; ID0093; ID0094; ID0095; ID0096; ID0097; ID0098; ID0099,2,10.3389/fphy.2020.589504; 10.3389/fphy.2020.589504/full,0,,21,https://arxiv.org/abs/cond-mat/0208060; https://bec.uac.bj/uploads/publication/506a2bfe350502ec426335c90696d491.pdf; https://case.edu/artsci/math/langer/jlpreprints/fortyeight2010.pdf; https://en.wikipedia.org/wiki/Action_(physics; https://en.wikipedia.org/wiki/Berry_phase; https://en.wikipedia.org/wiki/Brownian_motion; https://en.wikipedia.org/wiki/Coupling_constant; https://en.wikipedia.org/wiki/Green–Kubo_relations; https://en.wikipedia.org/wiki/Quantum_decoherence; https://en.wikipedia.org/wiki/Spectral_density; https://en.wikipedia.org/wiki/Spin_network; https://en.wikipedia.org/wiki/Spinor_bundle; https://en.wikipedia.org/wiki/Topological_degeneracy; https://en.wikipedia.org/wiki/Vacuum_energy; https://en.wikipedia.org/wiki/Winding_number; https://galileoandeinstein.phys.virginia.edu/7010/CM_04_HamiltonsPrinciple.html; https://mathworld.wolfram.com/Levi-CivitaConnection.html; https://ocw.mit.edu/; https://web.ma.utexas.edu/users/jvg632/files/notes/CharacteristicClasses.pdf; https://www.frontiersin.org/journals/physics/articles/10.3389/fphy.2020.589504/full
tzpid_proof_support_0200_0299.csv,D:\Proofs\tzpid_proof_support_0200_0299.csv,.csv,158442,135,high_external_evidence,bessel_wave; gravity_gr; gyromagnetic; quantum; topology,100,ID0200; ID0201; ID0202; ID0203; ID0204; ID0205; ID0206; ID0207; ID0208; ID0209; ID0210; ID0211; ID0212; ID0213; ID0214; ID0215; ID0216; ID0217; ID0218; ID0219; ID0220; ID0221; ID0222; ID0223; ID0224; ID0225; ID0226; ID0227; ID0228; ID0229; ID0230; ID0231; ID0232; ID0233; ID0234; ID0235; ID0236; ID0237; ID0238; ID0239; ID0240; ID0241; ID0242; ID0243; ID0244; ID0245; ID0246; ID0247; ID0248; ID0249; ID0250; ID0251; ID0252; ID0253; ID0254; ID0255; ID0256; ID0257; ID0258; ID0259; ID0260; ID0261; ID0262; ID0263; ID0264; ID0265; ID0266; ID0267; ID0268; ID0269; ID0270; ID0271; ID0272; ID0273; ID0274; ID0275; ID0276; ID0277; ID0278; ID0279; ID0280; ID0281; ID0282; ID0283; ID0284; ID0285; ID0286; ID0287; ID0288; ID0289; ID0290; ID0291; ID0292; ID0293; ID0294; ID0295; ID0296; ID0297; ID0298; ID0299,4,10.3390/e17106872; 10.48550/arXiv.2303.04263; 10.48550/arXiv.gr-qc/9805018; 10.48550/arXiv.math/0410324,1,2303.04263,22,http://...; http://publica-sbi.if.usp.br/PDFs/pd1726.pdf; https://arxiv.org/abs/2303.04263; https://arxiv.org/abs/2303.04263#:~:text=; https://arxiv.org/abs/gr-qc/9805018; https://arxiv.org/abs/math/0410324; https://arxiv.org/abs/math/0410324#:~:text=; https://chartasg.people.charleston.edu/chartas/Teaching_files/phys412_ch4.pdf; https://cpaess.ucar.edu/.../2009_Christensen_planmagdynamo.pdf; https://lweb.cfa.harvard.edu/~namurphy/Lectures/Ay253_2016_03_Conservation_Laws.pdf; https://materia.fisica.unimi.it/manini/berryphase.html; https://materia.fisica.unimi.it/manini/berryphase.html#:~:text=Such%20rotation%20angles%20of%20geometrical; https://pearl-hifi.com/06_Lit_Archive/07_Misc_Downloads/135_Chladni_Patterns_in_Vibrated_Plates.pdf; https://people.ast.cam.ac.uk/~vasily/Lectures/AFD_2021_Reynolds/AFDLecture21_10Mar2021.pdf; https://quantum.phys.cmu.edu/QCQI/qitd114.pdf; https://web.mit.edu/8.334/www/grades/projects/projects14/TrungPhan_8334WP/foundation-5.2.2/formation_3.html; https://web.mit.edu/8.334/www/grades/projects/projects14/TrungPhan_8334WP/foundation-5.2.2/formation_3.html#:~:text=Topological%20defects%2C%20in%20a%20conventional; https://www.math.uci.edu/~vmm/docs/Lemniscate.pdf; https://www.mdpi.com/1099-4300/17/10/6872; https://www.me.psu.edu/cimbala/Learning/Fluid/Dim_anal/dim_anal.htm#:~:text=The%20Buckingham%20Pi%20Technique.
tzpid_proof_support_id0000_0099_redo.csv,D:\Proofs\tzpid_proof_support_id0000_0099_redo.csv,.csv,71630,116,high_external_evidence,bessel_wave; gravity_gr; gyromagnetic; quantum; topology,100,ID0000; ID0001; ID0002; ID0003; ID0004; ID0005; ID0006; ID0007; ID0008; ID0009; ID0010; ID0011; ID0012; ID0013; ID0014; ID0015; ID0016; ID0017; ID0018; ID0019; ID0020; ID0021; ID0022; ID0023; ID0024; ID0025; ID0026; ID0027; ID0028; ID0029; ID0030; ID0031; ID0032; ID0033; ID0034; ID0035; ID0036; ID0037; ID0038; ID0039; ID0040; ID0041; ID0042; ID0043; ID0044; ID0045; ID0046; ID0047; ID0048; ID0049; ID0050; ID0051; ID0052; ID0053; ID0054; ID0055; ID0056; ID0057; ID0058; ID0059; ID0060; ID0061; ID0062; ID0063; ID0064; ID0065; ID0066; ID0067; ID0068; ID0069; ID0070; ID0071; ID0072; ID0073; ID0074; ID0075; ID0076; ID0077; ID0078; ID0079; ID0080; ID0081; ID0082; ID0083; ID0084; ID0085; ID0086; ID0087; ID0088; ID0089; ID0090; ID0091; ID0092; ID0093; ID0094; ID0095; ID0096; ID0097; ID0098; ID0099,2,10.3389/fphy.2020.589504; 10.3389/fphy.2020.589504/full,1,1611.01118,22,https://arxiv.org/abs/1611.01118; https://arxiv.org/abs/cond-mat/0208060; https://bec.uac.bj/uploads/publication/506a2bfe350502ec426335c90696d491.pdf; https://case.edu/artsci/math/langer/jlpreprints/fortyeight2010.pdf; https://en.wikipedia.org/wiki/Action_(physics; https://en.wikipedia.org/wiki/Berry_phase; https://en.wikipedia.org/wiki/Brownian_motion; https://en.wikipedia.org/wiki/Coupling_constant; https://en.wikipedia.org/wiki/Green–Kubo_relations; https://en.wikipedia.org/wiki/Quantum_decoherence; https://en.wikipedia.org/wiki/Spectral_density; https://en.wikipedia.org/wiki/Spin_network; https://en.wikipedia.org/wiki/Spinor_bundle; https://en.wikipedia.org/wiki/Topological_degeneracy; https://en.wikipedia.org/wiki/Vacuum_energy; https://en.wikipedia.org/wiki/Winding_number; https://galileoandeinstein.phys.virginia.edu/7010/CM_04_HamiltonsPrinciple.html; https://mathworld.wolfram.com/Levi-CivitaConnection.html; https://ocw.mit.edu/; https://web.ma.utexas.edu/users/jvg632/files/notes/CharacteristicClasses.pdf
proof4.md,D:\Proofs\proof4.md,.md,125548,91,high_external_evidence,bessel_wave; gravity_gr; gyromagnetic; quantum; topology,100,ID0300; ID0301; ID0302; ID0303; ID0304; ID0305; ID0306; ID0307; ID0308; ID0309; ID0310; ID0311; ID0312; ID0313; ID0314; ID0315; ID0316; ID0317; ID0318; ID0319; ID0320; ID0321; ID0322; ID0323; ID0324; ID0325; ID0326; ID0327; ID0328; ID0329; ID0330; ID0331; ID0332; ID0333; ID0334; ID0335; ID0336; ID0337; ID0338; ID0339; ID0340; ID0341; ID0342; ID0343; ID0344; ID0345; ID0346; ID0347; ID0348; ID0349; ID0350; ID0351; ID0352; ID0353; ID0354; ID0355; ID0356; ID0357; ID0358; ID0359; ID0360; ID0361; ID0362; ID0363; ID0364; ID0365; ID0366; ID0367; ID0368; ID0369; ID0370; ID0371; ID0372; ID0373; ID0374; ID0375; ID0376; ID0377; ID0378; ID0379; ID0380; ID0381; ID0382; ID0383; ID0384; ID0385; ID0386; ID0387; ID0388; ID0389; ID0390; ID0391; ID0392; ID0393; ID0394; ID0395; ID0396; ID0397; ID0398; ID0399,0,,0,,0,
TZPID_PROOF_SEARCH_MASTER_ID1800_ID1899.md,D:\Proofs\tzpid_3000_master_chunks_100\TZPID_PROOF_SEARCH_MASTER_ID1800_ID1899.md,.md,671260,78,high_external_evidence,bessel_wave; cosmology; gravity_gr; gyromagnetic; quantum; topology,176,ID0000; ID0001; ID0002; ID0003; ID0004; ID0005; ID0006; ID0007; ID0008; ID0009; ID0010; ID0011; ID0012; ID0013; ID0015; ID0016; ID0017; ID0019; ID0020; ID0022; ID0023; ID0024; ID0025; ID0041; ID0045; ID0067; ID0087; ID0096; ID0100; ID0101; ID0155; ID0183; ID0200; ID0201; ID0207; ID0212; ID0216; ID0229; ID0230; ID0288; ID0300; ID0301; ID0317; ID0400; ID0401; ID0424; ID0437; ID0471; ID0489; ID0492; ID0498; ID0500; ID0501; ID0522; ID0526; ID0546; ID0600; ID0601; ID0627; ID0700; ID0701; ID0715; ID0800; ID0850; ID0853; ID0855; ID0856; ID0880; ID0901; ID1000; ID1031; ID1039; ID1040; ID1121; ID1122; ID1124; ID1800; ID1801; ID1802; ID1803; ID1804; ID1805; ID1806; ID1807; ID1808; ID1809; ID1810; ID1811; ID1812; ID1813; ID1814; ID1815; ID1816; ID1817; ID1818; ID1819; ID1820; ID1821; ID1822; ID1823; ID1824; ID1825; ID1826; ID1827; ID1828; ID1829; ID1830; ID1831; ID1832; ID1833; ID1834; ID1835; ID1836; ID1837; ID1838; ID1839; ID1840; ID1841; ID1842; ID1843; ID1844; ID1845; ID1846; ID1847; ID1848; ID1849; ID1850; ID1851; ID1852; ID1853; ID1854; ID1855; ID1856; ID1857; ID1858; ID1859; ID1860; ID1861; ID1862; ID1863; ID1864; ID1865; ID1866; ID1867; ID1868; ID1869; ID1870; ID1871; ID1872; ID1873; ID1874; ID1875; ID1876; ID1877; ID1878; ID1879; ID1880; ID1881; ID1882; ID1883; ID1884; ID1885; ID1886; ID1887; ID1888; ID1889; ID1890; ID1891; ID1892; ID1893; ID1894; ID1895; ID1896; ID1897; ID1898; ID1899,0,,0,,0,
