root,file_name,full_path,extension,artifact_kind,length,score,priority,imports_or_modules
D:\Proofs,tzpid_proof_support_0200_0299.csv,D:\Proofs\tzpid_proof_support_0200_0299.csv,.csv,csv_certificate,158442,313,high_simulation_proof,
D:\Proofs,proof3.md,D:\Proofs\proof3.md,.md,notes_or_report,133009,288,high_simulation_proof,
D:\Proofs,proof2.md,D:\Proofs\proof2.md,.md,notes_or_report,55702,273,high_simulation_proof,
D:\Proofs,proofthree.md,D:\Proofs\proofthree.md,.md,notes_or_report,74596,268,high_simulation_proof,
D:\Proofs,proofone.md,D:\Proofs\proofone.md,.md,notes_or_report,101612,257,high_simulation_proof,
D:\Proofs,TZPID_PROOF_SEARCH_MASTER_ID2000_ID2099.md,D:\Proofs\tzpid_3000_master_chunks_100\TZPID_PROOF_SEARCH_MASTER_ID2000_ID2099.md,.md,notes_or_report,419630,247,high_simulation_proof,
D:\Proofs,TZPID_PROOF_SEARCH_MASTER_ID1300_ID1399.md,D:\Proofs\tzpid_3000_master_chunks_100\TZPID_PROOF_SEARCH_MASTER_ID1300_ID1399.md,.md,notes_or_report,594561,246,high_simulation_proof,
D:\Proofs,TZPID_PROOF_SEARCH_MASTER_ID2300_ID2399.md,D:\Proofs\tzpid_3000_master_chunks_100\TZPID_PROOF_SEARCH_MASTER_ID2300_ID2399.md,.md,notes_or_report,438922,246,high_simulation_proof,
D:\Proofs,proof4.md,D:\Proofs\proof4.md,.md,notes_or_report,125548,242,high_simulation_proof,
D:\Proofs,TZPID_PROOF_SEARCH_MASTER_ID2800_ID2899.md,D:\Proofs\tzpid_3000_master_chunks_100\TZPID_PROOF_SEARCH_MASTER_ID2800_ID2899.md,.md,notes_or_report,422403,227,high_simulation_proof,
D:\Proofs,TZPID_PROOF_SEARCH_MASTER_ID0200_ID0299.md,D:\Proofs\tzpid_3000_master_chunks_100\TZPID_PROOF_SEARCH_MASTER_ID0200_ID0299.md,.md,notes_or_report,623746,222,high_simulation_proof,
D:\Proofs,TZPID_PROOF_SEARCH_MASTER_ID2900_ID2999.md,D:\Proofs\tzpid_3000_master_chunks_100\TZPID_PROOF_SEARCH_MASTER_ID2900_ID2999.md,.md,notes_or_report,150719,221,high_simulation_proof,
D:\Proofs,TZPID_PROOF_SEARCH_MASTER_ID2600_ID2699.md,D:\Proofs\tzpid_3000_master_chunks_100\TZPID_PROOF_SEARCH_MASTER_ID2600_ID2699.md,.md,notes_or_report,419211,219,high_simulation_proof,
D:\Proofs,TZPID_PROOF_SEARCH_MASTER_ID2500_ID2599.md,D:\Proofs\tzpid_3000_master_chunks_100\TZPID_PROOF_SEARCH_MASTER_ID2500_ID2599.md,.md,notes_or_report,428585,216,high_simulation_proof,
D:\Proofs,TZPID_PROOF_SEARCH_MASTER_ID2700_ID2799.md,D:\Proofs\tzpid_3000_master_chunks_100\TZPID_PROOF_SEARCH_MASTER_ID2700_ID2799.md,.md,notes_or_report,427125,215,high_simulation_proof,
D:\Proofs,TZPID_PROOF_SEARCH_MASTER_ID2200_ID2299.md,D:\Proofs\tzpid_3000_master_chunks_100\TZPID_PROOF_SEARCH_MASTER_ID2200_ID2299.md,.md,notes_or_report,424856,213,high_simulation_proof,
D:\Proofs,TZPID_PROOF_SEARCH_MASTER_ID2100_ID2199.md,D:\Proofs\tzpid_3000_master_chunks_100\TZPID_PROOF_SEARCH_MASTER_ID2100_ID2199.md,.md,notes_or_report,437147,209,high_simulation_proof,
D:\Proofs,TZPID_PROOF_SEARCH_MASTER_ID2400_ID2499.md,D:\Proofs\tzpid_3000_master_chunks_100\TZPID_PROOF_SEARCH_MASTER_ID2400_ID2499.md,.md,notes_or_report,424867,209,high_simulation_proof,
D:\Proofs,ID0300_ID0399_proof_support.csv,D:\Proofs\ID0300_ID0399_proof_support.csv,.csv,csv_certificate,113101,208,high_simulation_proof,
D:\Proofs,TZPID_PROOF_SEARCH_MASTER_ID0500_ID0599.md,D:\Proofs\tzpid_3000_master_chunks_100\TZPID_PROOF_SEARCH_MASTER_ID0500_ID0599.md,.md,notes_or_report,568263,207,high_simulation_proof,
D:\Proofs,TZPID_PROOF_SEARCH_MASTER_ID1000_ID1099.md,D:\Proofs\tzpid_3000_master_chunks_100\TZPID_PROOF_SEARCH_MASTER_ID1000_ID1099.md,.md,notes_or_report,583064,206,high_simulation_proof,
D:\Proofs,tzpid_100_200_proof_support.csv,D:\Proofs\tzpid_100_200_proof_support.csv,.csv,csv_certificate,68314,205,high_simulation_proof,
D:\Graphs,TZPTDefinitions.txt,D:\Graphs\TZPTDefinitions.txt,.txt,notes_or_report,81914,202,high_simulation_proof,matplotlib.pyplot; numpy; scipy.special
D:\Proofs,TZPID_PROOF_SEARCH_MASTER_ID1100_ID1199.md,D:\Proofs\tzpid_3000_master_chunks_100\TZPID_PROOF_SEARCH_MASTER_ID1100_ID1199.md,.md,notes_or_report,575069,197,high_simulation_proof,
D:\Proofs,TZPID_PROOF_SEARCH_MASTER_ID1200_ID1299.md,D:\Proofs\tzpid_3000_master_chunks_100\TZPID_PROOF_SEARCH_MASTER_ID1200_ID1299.md,.md,notes_or_report,598448,194,high_simulation_proof,
D:\Proofs,TZPID_PROOF_SEARCH_MASTER_ID0400_ID0499.md,D:\Proofs\tzpid_3000_master_chunks_100\TZPID_PROOF_SEARCH_MASTER_ID0400_ID0499.md,.md,notes_or_report,673039,193,high_simulation_proof,
D:\Proofs,prooftwo..md,D:\Proofs\prooftwo..md,.md,notes_or_report,120239,191,high_simulation_proof,Coherence; Hamiltonian; Hypersphere
D:\Proofs,TZPID_PROOF_SEARCH_MASTER_ID0700_ID0799.md,D:\Proofs\tzpid_3000_master_chunks_100\TZPID_PROOF_SEARCH_MASTER_ID0700_ID0799.md,.md,notes_or_report,568456,190,high_simulation_proof,
D:\Proofs,TZPID_PROOF_SEARCH_MASTER_ID1500_ID1599.md,D:\Proofs\tzpid_3000_master_chunks_100\TZPID_PROOF_SEARCH_MASTER_ID1500_ID1599.md,.md,notes_or_report,574139,187,high_simulation_proof,
D:\Proofs,TZPID_PROOF_SEARCH_MASTER_ID1900_ID1999.md,D:\Proofs\tzpid_3000_master_chunks_100\TZPID_PROOF_SEARCH_MASTER_ID1900_ID1999.md,.md,notes_or_report,574213,175,high_simulation_proof,
