source_group,isabelle_carrier,source_path,candidate_kind,candidate_index,line,section,candidate_hash,math_role,candidate_text,nearby_ids,exact_or_near_master_ids,matched_master_ids,matched_master_titles,keyword_suggested_ids,promotion_status
Trawin-Enlil Protocol,Trawin_Enlil_Protocol_Source,D:\TZPIDProof\peer_review\tex\companion24_trawin_enlil_protocol.tex,equation_environment,1,55,The registry chain,90f088ee85f791ba,map_or_limit_relation,\begin{gathered} \text{ID0449} \to \text{ID3584} \to \text{ID5092} \to \text{ID1871} \\ \to \text{ID6489} \to \text{ID9859} \to \text{ID3708}. \end{gathered},ID0449; ID1871; ID3584; ID3708; ID5092; ID6489; ID9859,,ID0449; ID1871; ID3584; ID3708; ID5092; ID6489; ID9859,Industrial Ip \& Merl-50 Compliance | Academic First Derivation Bridge Sidecar | Magnetic Helicity Relation | Quantum Density Evolution Equation | Coupled Hamiltonian | \{Einstein–Rosen Bridge and Trawin Zero-Point Tunnel:}\ | Stress–Energy Tensor Relation,,id_backed_equation_context_review
Trawin-Enlil Protocol,Trawin_Enlil_Protocol_Source,D:\Tex\trawin_enlil_protocol.tex,inline_math,1,32,,43840987aaa52a85,symbolic_expression,\theta_{\text{wake}} \approx 42.99^\circ,,,,,,supporting_math_review
Trawin-Enlil Protocol,Trawin_Enlil_Protocol_Source,D:\Tex\trawin_enlil_protocol.tex,inline_math,2,32,,79934aaacb101261,symbolic_expression,\theta_{\text{exp}} \approx 37.30^\circ,,,,,,supporting_math_review
Trawin-Enlil Protocol,Trawin_Enlil_Protocol_Source,D:\Tex\trawin_enlil_protocol.tex,inline_math,3,32,,9d879e63ca02281b,symbolic_expression,e \approx 0.045,,,,,,supporting_math_review
Trawin-Enlil Protocol,Trawin_Enlil_Protocol_Source,D:\Tex\trawin_enlil_protocol.tex,inline_math,4,32,,08ee30457465113f,bound_or_threshold,R^2 > 0.99,,,,,,supporting_math_review
Trawin-Enlil Protocol,Trawin_Enlil_Protocol_Source,D:\Tex\trawin_enlil_protocol.tex,inline_math,5,45,The Geometric Signature,0ba7a3e43e0acc30,definition_or_identity,N=2225,,,,,,supporting_math_review
Trawin-Enlil Protocol,Trawin_Enlil_Protocol_Source,D:\Tex\trawin_enlil_protocol.tex,equation_environment,6,49,The Golden Complement,5f1d600636f83aa3,definition_or_identity,\Delta \theta_{\text{wake}} = 42.99^\circ,,ID3678; ID3693,ID3678; ID3693,Wake Spectral Gap Laplacian Operator | TrawinData Golden Complement Initialization Relation,,existing_master_equation_exact_or_near_match
Trawin-Enlil Protocol,Trawin_Enlil_Protocol_Source,D:\Tex\trawin_enlil_protocol.tex,inline_math,7,52,The Golden Complement,6797b1464a4481cd,definition_or_identity,180^\circ - 137.5^\circ = 42.5^\circ,,ID3682,ID3682,Definition of 180^circ - 137.5^circ,,existing_master_equation_exact_or_near_match
Trawin-Enlil Protocol,Trawin_Enlil_Protocol_Source,D:\Tex\trawin_enlil_protocol.tex,equation_environment,8,56,The Pentagonal Step,d5820a18e2a5b930,definition_or_identity,\Delta \theta_{\text{exp}} = 37.30^\circ,,ID1058; ID3679; ID3694,ID1058; ID3679; ID3694,Definition of Δ θ_exp | Spectral Gap Laplacian Operator | Suggesting System Initializes at Point Relation,,existing_master_equation_exact_or_near_match
Trawin-Enlil Protocol,Trawin_Enlil_Protocol_Source,D:\Tex\trawin_enlil_protocol.tex,inline_math,9,59,The Pentagonal Step,1ab0cd0d16fd7ef8,symbolic_expression,36^\circ,,,,,,supporting_math_review
Trawin-Enlil Protocol,Trawin_Enlil_Protocol_Source,D:\Tex\trawin_enlil_protocol.tex,equation_environment,10,66,Bessel-Filter Validation,05947ebd0f5ea698,ratio_or_fractional_relation,K(r) = J_0\left( \frac{2\pi k \cdot e \cdot r}{N} \right),,ID3680,ID3680,Kinetic Term Relation,,existing_master_equation_exact_or_near_match
Trawin-Enlil Protocol,Trawin_Enlil_Protocol_Source,D:\Tex\trawin_enlil_protocol.tex,inline_math,11,69,Bessel-Filter Validation,7dda6219eb984785,symbolic_expression,"e$ is the orbital eccentricity parameter. \subsection{Results} As shown in \textbf{Fig.~\ref{fig:shadow}}, the application of this filter at a critical eccentricity of",,,,,,supporting_math_review
Trawin-Enlil Protocol,Trawin_Enlil_Protocol_Source,D:\Tex\trawin_enlil_protocol.tex,inline_math,12,76,Results,692b908c8e58f0df,definition_or_identity,e=0.045,,,,,,supporting_math_review
Trawin-Enlil Protocol,Trawin_Enlil_Protocol_Source,D:\Tex\trawin_enlil_protocol.tex,inline_math,13,80,Results,61c7823fb251ecd0,symbolic_expression,P \approx 0.175,,,,,,supporting_math_review
Trawin-Enlil Protocol,Trawin_Enlil_Protocol_Source,D:\Tex\trawin_enlil_protocol.tex,inline_math,14,84,Gyromagnetic Genesis,27e71698dfeb4b79,definition_or_identity,"N=10,000",,,,,,supporting_math_review
Trawin-Enlil Protocol,Trawin_Enlil_Protocol_Source,D:\Tex\trawin_enlil_protocol.tex,inline_math,15,84,Gyromagnetic Genesis,c668a2abbf913011,definition_or_identity,". The simulation yields a correlation coefficient of: \begin{equation} \rho(B, J) = 0.9969 \end{equation} This confirms that in a geometry tuned to the Enlil angles, \textbf{Coherence generates Spin}. The torque",,ID3681; ID3684,ID3681; ID3684,Density | Simulation Yields Correlation Coefficient Relation,,existing_master_equation_exact_or_near_match
Trawin-Enlil Protocol,Trawin_Enlil_Protocol_Source,D:\Tex\trawin_enlil_protocol.tex,inline_math,16,100,Temporal Harmonics,9f5a4692dab9ada0,symbolic_expression,\approx 2.88:1,,,,,,supporting_math_review
Trawin-Enlil Protocol,Trawin_Enlil_Protocol_Source,D:\Tex\trawin_enlil_protocol.tex,inline_math,17,113,Formalization of the Sieve,c50bbdae061f14ef,symbolic_expression,\Psi_{\text{noise}},,,,,,supporting_math_review
Trawin-Enlil Protocol,Trawin_Enlil_Protocol_Source,D:\Tex\trawin_enlil_protocol.tex,inline_math,18,115,Formalization of the Sieve,6b1ed1dd4ea436f0,symbolic_expression,K_e,,,,,,supporting_math_review
Trawin-Enlil Protocol,Trawin_Enlil_Protocol_Source,D:\Tex\trawin_enlil_protocol.tex,equation_environment,19,116,Formalization of the Sieve,fbc8f48ea6772fa6,definition_or_identity,\Psi_{\text{matter}} = \text{SOS}(\Psi_{\text{noise}}) = \mathcal{F}^{-1} \left[ \mathcal{F}(\Psi_{\text{noise}}) \cdot J_0(k \cdot e) \right],,,,,,supporting_math_review
Trawin-Enlil Protocol,Trawin_Enlil_Protocol_Source,D:\Tex\trawin_enlil_protocol.tex,inline_math,20,119,Formalization of the Sieve,9d879e63ca02281b,symbolic_expression,e \approx 0.045,,,,,,supporting_math_review
Topological Unification of QM and GR,Topological_Unification_QM_GR_Source,D:\TZPIDProof\peer_review\tex\companion27_topological_unification.tex,inline_math,1,36,Introduction,db8e84427c2e1e02,symbolic_expression,\infty,ID0469; ID4218; ID4226; ID4227; ID8493; ID9523; ID9525,,ID0469; ID4218; ID4226; ID4227; ID8493; ID9523; ID9525,"Wess-Zumino-Witten Topological Action | Critical Quantum Magnetic Flux Relation | Quantum Gravity Relation | Density | UNIVERSAL AVALANCHE SCALING Canonical Statutory Formula: P(s) ∝ s^-τ, τ ≈ 3/2 | Relation: Δ G/G ≈ 10^-10 | Relation: Λ → 1 Pm 0.5",,id_backed_equation_context_review
Topological Unification of QM and GR,Topological_Unification_QM_GR_Source,D:\TZPIDProof\peer_review\tex\companion27_topological_unification.tex,inline_math,2,36,Introduction,63fdf15b210c9628,symbolic_expression,\mathbf{Quantum}_\infty,ID0469; ID4218; ID4226; ID4227; ID8493; ID9523; ID9525,ID0962; ID10884; ID11184; ID11185; ID11190; ID3320; ID3321; ID4226; ID4227; ID5468; ID5471; ID5477,ID0469; ID0962; ID10884; ID11184; ID11185; ID11190; ID3320; ID3321; ID4218; ID4226; ID4227; ID5468; ID5471; ID5477; ID8493; ID9523; ID9525,"Wess-Zumino-Witten Topological Action | Tesseract Hierarchical Partitioning | Phone2 Category Type Theory Lim Hbar To 0 Left Langle Hat O Text Quantum Right R | Phone2 CMBEmergenceTheorem — Quantum Geometry Module | Phone2 CMBEmergenceTheorem — Quantum Metric Module G Ij | Phone2 CMBEmergenceTheorem — Unified Geometry Riemannianmetric Quantum Metric + | Blob Magnetic Helicity Definition | Magnetic Flux Relation | Critical Quantum Magnetic Flux Relation | Quantum Gravity Relation | Density | Blob Magnetic Field | Quantum Index MAIN Relation | Function Source Addr Target Addr Module Path Relation | UNIVERSAL AVALANCHE SCALING Canonical Statutory Formula: P(s) ∝ s^-τ, τ ≈ 3/2 | Relation: Δ G/G ≈ 10^-10 | Relation: Λ → 1 Pm 0.5",ID4226; ID4227; ID0158; ID6084; ID9178; ID9829; ID0020; ID0223; ID0283; ID10931,existing_master_equation_exact_or_near_match
Topological Unification of QM and GR,Topological_Unification_QM_GR_Source,D:\TZPIDProof\peer_review\tex\companion27_topological_unification.tex,inline_math,3,36,Introduction,9235037028466383,symbolic_expression,\mathbf{Gravity}_\infty,ID0469; ID4218; ID4226; ID4227; ID8493; ID9523; ID9525,ID4226; ID4227; ID9525,ID0469; ID4218; ID4226; ID4227; ID8493; ID9523; ID9525,"Wess-Zumino-Witten Topological Action | Critical Quantum Magnetic Flux Relation | Quantum Gravity Relation | Density | UNIVERSAL AVALANCHE SCALING Canonical Statutory Formula: P(s) ∝ s^-τ, τ ≈ 3/2 | Relation: Δ G/G ≈ 10^-10 | Relation: Λ → 1 Pm 0.5",ID4226; ID4227; ID0158; ID6084; ID9178; ID0157; ID0223; ID3321; ID3322; ID3361,existing_master_equation_exact_or_near_match
Topological Unification of QM and GR,Topological_Unification_QM_GR_Source,D:\TZPIDProof\peer_review\tex\companion27_topological_unification.tex,inline_math,4,36,Introduction,b00834a0799fc8a4,map_or_limit_relation,F: \mathbf{Quantum}_\infty \to \mathbf{Gravity}_\infty,ID0469; ID4218; ID4226; ID4227; ID8493; ID9523; ID9525,ID4226; ID4227,ID0469; ID4218; ID4226; ID4227; ID8493; ID9523; ID9525,"Wess-Zumino-Witten Topological Action | Critical Quantum Magnetic Flux Relation | Quantum Gravity Relation | Density | UNIVERSAL AVALANCHE SCALING Canonical Statutory Formula: P(s) ∝ s^-τ, τ ≈ 3/2 | Relation: Δ G/G ≈ 10^-10 | Relation: Λ → 1 Pm 0.5",ID4226; ID4227; ID0158; ID6084; ID9178; ID9829; ID0020; ID0223; ID0283; ID10931,existing_master_equation_exact_or_near_match
Topological Unification of QM and GR,Topological_Unification_QM_GR_Source,D:\TZPIDProof\peer_review\tex\companion27_topological_unification.tex,inline_math,5,36,Introduction,c333643fb09969c4,map_or_limit_relation,\eta: \mathrm{id} \Rightarrow F \circ G,ID0469; ID4218; ID4226; ID4227; ID8493; ID9523; ID9525,,ID0469; ID4218; ID4226; ID4227; ID8493; ID9523; ID9525,"Wess-Zumino-Witten Topological Action | Critical Quantum Magnetic Flux Relation | Quantum Gravity Relation | Density | UNIVERSAL AVALANCHE SCALING Canonical Statutory Formula: P(s) ∝ s^-τ, τ ≈ 3/2 | Relation: Δ G/G ≈ 10^-10 | Relation: Λ → 1 Pm 0.5",,id_backed_equation_context_review
Topological Unification of QM and GR,Topological_Unification_QM_GR_Source,D:\TZPIDProof\peer_review\tex\companion27_topological_unification.tex,inline_math,6,36,Introduction,bcde0062880da1e9,series_or_spectral_expansion,\rho_{\mathrm{vac}}(r) \sim \sum_n (-1)^n \Gamma(n + \cdots),ID0469; ID4218; ID4226; ID4227; ID8493; ID9523; ID9525,,ID0469; ID4218; ID4226; ID4227; ID8493; ID9523; ID9525,"Wess-Zumino-Witten Topological Action | Critical Quantum Magnetic Flux Relation | Quantum Gravity Relation | Density | UNIVERSAL AVALANCHE SCALING Canonical Statutory Formula: P(s) ∝ s^-τ, τ ≈ 3/2 | Relation: Δ G/G ≈ 10^-10 | Relation: Λ → 1 Pm 0.5",ID4214; ID9529; ID11136; ID3878; ID7870; ID0026; ID0050; ID0068; ID0101; ID0178,id_backed_equation_context_review
