"atomic_index","parent_queue_index","local_atom_index","proposed_id","source_file","line_number","domain_family","semantic_kind","semantic_context","duplicate_status","readiness","wolfram_status","atomic_equation","wolfram_form_hint","formation_method","formation_inputs","formation_note","source_tag","mint_status","minted_id","mint_batch"
"1","2","1","PHONE2_NEXT+0001","https---orcid.txt","44","geometry_topology","","","possible_master_duplicate","review","needs_wolfram_translation","H_M = \int_V A \cdot B \, dV,\quad L = \frac{1}{4\pi}\oint\!\oint\frac{(dr_1\times dr_2)\cdot(r_1 - r_2)}{|r_1 - r_2|^3}","H_M = Integrate_V A cdot B  dV,quad L = (1)/(4Pi)oint!oint((dr_1times dr_2)cdot(r_1 - r_2))/(|r_1 - r_2|^3)","Phone2 atomic equation extraction","https---orcid.txt","Atomized from Phone2 parent queue row 2; staged only.","PHONE2","unminted","",""
"2","2","2","PHONE2_NEXT+0002","https---orcid.txt","44","geometry_topology","","","possible_master_duplicate","review","needs_wolfram_translation","B_r,\ B_\theta,\ B_\phi \text{ in terms of } A_r,\ A_\theta,\ A_\phi","B_r, B_theta, B_phi text{ in terms of } A_r, A_theta, A_phi","Phone2 atomic equation extraction","https---orcid.txt","Atomized from Phone2 parent queue row 2; staged only.","PHONE2","unminted","",""
"3","2","3","PHONE2_NEXT+0003","https---orcid.txt","44","geometry_topology","","","new_or_nonexact","id_ready","needs_wolfram_translation","B_{\text{boundary}}(\theta,\phi,t) = B_{\text{amp}}\cdot \text{Sign}[\sin(n_\theta\theta)\sin(n_\phi\phi)]e^{i\omega t}\hat{r}","B_{text{boundary}}(theta,phi,t) = B_{text{amp}}cdot text{Sign}[Sin(n_thetatheta)Sin(n_phiphi)]e^{iomega t}hat{r}","Phone2 atomic equation extraction","https---orcid.txt","Atomized from Phone2 parent queue row 2; staged only.","PHONE2","unminted","",""
"4","2","4","PHONE2_NEXT+0004","https---orcid.txt","44","field_topology_mhd","","","possible_master_duplicate","review","needs_wolfram_translation","\nabla^2 \Phi_M = \rho_M = \nabla \cdot M","nabla^2 Phi_M = rho_M = nabla cdot M","Phone2 atomic equation extraction","https---orcid.txt","Atomized from Phone2 parent queue row 2; staged only.","PHONE2","unminted","",""
"5","2","5","PHONE2_NEXT+0005","https---orcid.txt","44","field_topology_mhd","","","possible_master_duplicate","review","needs_wolfram_translation","\nabla^2 A = -\mu_0 J_M = -\mu_0 \nabla \times M","nabla^2 A = -mu_0 J_M = -mu_0 nabla times M","Phone2 atomic equation extraction","https---orcid.txt","Atomized from Phone2 parent queue row 2; staged only.","PHONE2","unminted","",""
"6","2","6","PHONE2_NEXT+0006","https---orcid.txt","44","geometry_topology","","","new_or_nonexact","id_ready","needs_wolfram_translation","u_m = \frac{1}{2\mu_0} B^2,\quad U_{\text{total}} = \int_0^R\","u_m = (1)/(2mu_0) B^2,quad U_{text{total}} = Integrate_0^R","Phone2 atomic equation extraction","https---orcid.txt","Atomized from Phone2 parent queue row 2; staged only.","PHONE2","unminted","",""
"7","2","7","PHONE2_NEXT+0007","https---orcid.txt","44","geometry_topology","","","new_or_nonexact","id_ready","needs_wolfram_translation","→ Allows **analytic energy tracking** under deformation","-> Allows **analytic energy tracking** under deformation","Phone2 atomic equation extraction","https---orcid.txt","Atomized from Phone2 parent queue row 2; staged only.","PHONE2","unminted","",""
"8","2","8","PHONE2_NEXT+0008","https---orcid.txt","44","field_topology_mhd","","","new_or_nonexact","id_ready","needs_wolfram_translation","→ **Helicity conservation** implies **knot-stable field structure** under evolution","-> **Helicity conservation** implies **knot-stable field structure** under evolution","Phone2 atomic equation extraction","https---orcid.txt","Atomized from Phone2 parent queue row 2; staged only.","PHONE2","unminted","",""
"9","2","9","PHONE2_NEXT+0009","https---orcid.txt","44","geometry_topology","","","new_or_nonexact","id_ready","needs_wolfram_translation","Boundary Conditions Spherical field decomposition: Boundary oscillations tessellated as alternating domains: → Creates **multi-mode oscillatory cages** with tunable harmonics","Boundary Conditions Spherical field decomposition: Boundary oscillations tessellated as alternating domains: -> Creates **multi-mode oscillatory cages** with tunable harmonics","Phone2 atomic equation extraction","https---orcid.txt","Atomized from Phone2 parent queue row 2; staged only.","PHONE2","unminted","",""
"10","3","1","PHONE2_NEXT+0010","https---orcid.txt","1","quantum_entanglement","","","new_or_nonexact","id_ready","needs_wolfram_translation","\chi(\omega) = \frac{\partial M}{\partial H}\Big|_\omega,\quad \omega^2 \chi(\omega) = \omega_0^2 + i\gamma\omega - k^2 v_A^2 where 𝑣 𝐴 = 𝐵 / 𝜇 0 𝜌 v A =B/ μ 0 ρ (Alfvén speed) dynamic_tensor","chi(omega) = (partial M)/(partial H)Big|_omega,quad omega^2 chi(omega) = omega_0^2 + igammaomega - k^2 v_A^2 where 𝑣 𝐴 = 𝐵 / 𝜇 0 𝜌 v A =B/ mu 0 ρ (Alfvén speed) dynamic_tensor","Phone2 atomic equation extraction","https---orcid.txt","Atomized from Phone2 parent queue row 3; staged only.","PHONE2","unminted","",""
