batch,batch_position,atomic_index,proposed_id,source_file,line_number,domain_family,readiness,duplicate_status,wolfram_status
1,1,22,PHONE2_NEXT+0022,_KleisliCategoryNon-DeterministicComputationMonads.txt,160,category_type_theory,id_ready,new_or_nonexact,file_has_parse_clean_wolfram
1,2,26,PHONE2_NEXT+0026,AntipodalEntanglementProtocol.txt,298,category_type_theory,id_ready,new_or_nonexact,file_has_parse_clean_wolfram
1,3,39,PHONE2_NEXT+0039,_KleisliCategoryNon-DeterministicComputationMonads.txt,163,category_type_theory,id_ready,new_or_nonexact,file_has_parse_clean_wolfram
1,4,50,PHONE2_NEXT+0050,BYOB-IFP Protocol- Hyper-Rigorous Patent Formalization via Higher-Order Type-Theoretic.txt,22,category_type_theory,id_ready,new_or_nonexact,file_has_parse_clean_wolfram
1,5,53,PHONE2_NEXT+0053,Quantum-Neural Cartographic Functor.txt,502,category_type_theory,id_ready,new_or_nonexact,file_has_parse_clean_wolfram
1,6,77,PHONE2_NEXT+0077,_KleisliCategoryNon-DeterministicComputationMonads.txt,369,category_type_theory,id_ready,new_or_nonexact,file_has_parse_clean_wolfram
1,7,78,PHONE2_NEXT+0078,_KleisliCategoryNon-DeterministicComputationMonads.txt,397,category_type_theory,id_ready,new_or_nonexact,file_has_parse_clean_wolfram
1,8,87,PHONE2_NEXT+0087,Quantum-Neural Cartographic Functor.txt,151,category_type_theory,id_ready,new_or_nonexact,file_has_parse_clean_wolfram
1,9,88,PHONE2_NEXT+0088,Quantum-Neural Cartographic Functor.txt,171,category_type_theory,id_ready,new_or_nonexact,file_has_parse_clean_wolfram
1,10,89,PHONE2_NEXT+0089,Quantum-Neural Cartographic Functor.txt,191,category_type_theory,id_ready,new_or_nonexact,file_has_parse_clean_wolfram
1,11,90,PHONE2_NEXT+0090,Quantum-Neural Cartographic Functor.txt,219,category_type_theory,id_ready,new_or_nonexact,file_has_parse_clean_wolfram
1,12,91,PHONE2_NEXT+0091,Quantum-Neural Cartographic Functor.txt,640,category_type_theory,id_ready,new_or_nonexact,file_has_parse_clean_wolfram
1,13,92,PHONE2_NEXT+0092,Quantum-Neural Cartographic Functor.txt,654,category_type_theory,id_ready,new_or_nonexact,file_has_parse_clean_wolfram
1,14,107,PHONE2_NEXT+0107,_KleisliCategoryNon-DeterministicComputationMonads.txt,177,category_type_theory,id_ready,new_or_nonexact,file_has_parse_clean_wolfram
