minted_id,atomic_index,proposed_id,source_file,line_number,domain_family,wolfram_status
ID10872,22,PHONE2_NEXT+0022,_KleisliCategoryNon-DeterministicComputationMonads.txt,160,category_type_theory,file_has_parse_clean_wolfram
ID10873,26,PHONE2_NEXT+0026,AntipodalEntanglementProtocol.txt,298,category_type_theory,file_has_parse_clean_wolfram
ID10874,39,PHONE2_NEXT+0039,_KleisliCategoryNon-DeterministicComputationMonads.txt,163,category_type_theory,file_has_parse_clean_wolfram
ID10875,50,PHONE2_NEXT+0050,BYOB-IFP Protocol- Hyper-Rigorous Patent Formalization via Higher-Order Type-Theoretic.txt,22,category_type_theory,file_has_parse_clean_wolfram
ID10876,53,PHONE2_NEXT+0053,Quantum-Neural Cartographic Functor.txt,502,category_type_theory,file_has_parse_clean_wolfram
ID10877,77,PHONE2_NEXT+0077,_KleisliCategoryNon-DeterministicComputationMonads.txt,369,category_type_theory,file_has_parse_clean_wolfram
ID10878,78,PHONE2_NEXT+0078,_KleisliCategoryNon-DeterministicComputationMonads.txt,397,category_type_theory,file_has_parse_clean_wolfram
ID10879,87,PHONE2_NEXT+0087,Quantum-Neural Cartographic Functor.txt,151,category_type_theory,file_has_parse_clean_wolfram
ID10880,88,PHONE2_NEXT+0088,Quantum-Neural Cartographic Functor.txt,171,category_type_theory,file_has_parse_clean_wolfram
ID10881,89,PHONE2_NEXT+0089,Quantum-Neural Cartographic Functor.txt,191,category_type_theory,file_has_parse_clean_wolfram
ID10882,90,PHONE2_NEXT+0090,Quantum-Neural Cartographic Functor.txt,219,category_type_theory,file_has_parse_clean_wolfram
ID10883,91,PHONE2_NEXT+0091,Quantum-Neural Cartographic Functor.txt,640,category_type_theory,file_has_parse_clean_wolfram
ID10884,92,PHONE2_NEXT+0092,Quantum-Neural Cartographic Functor.txt,654,category_type_theory,file_has_parse_clean_wolfram
ID10885,107,PHONE2_NEXT+0107,_KleisliCategoryNon-DeterministicComputationMonads.txt,177,category_type_theory,file_has_parse_clean_wolfram
ID10886,108,PHONE2_NEXT+0108,_KleisliCategoryNon-DeterministicComputationMonads.txt,416,category_type_theory,file_has_parse_clean_wolfram
