source_file,bytes,lines,last_write_time
_KleisliCategoryNon-DeterministicComputationMonads.txt,18839,645,1781157934.4062061
_Markdown.txt,1984,59,1781158036.3091252
AntipodalEntanglement.txt,17511,546,1781157950.8018222
AntipodalEntanglementProtocol.txt,21327,746,1781157915.076157
bbmap2.txt,21276,605,1781157839.1625266
BBmaping.txt,11059,338,1781157814.8049784
BlobMapping -= Module-.txt,536,18,1781157757.1838644
BYOB-IFP Protocol- Hyper-Rigorous Patent Formalization via Higher-Order Type-Theoretic.txt,17011,563,1781157876.1934564
completeme.txt,7395,239,1781157899.797027
DAANSspherewithBYOBIFPProtocol.txt,6445,204,1781157794.3839512
https---orcid.txt,2837,45,1781157521.6699219
latext.txt,9365,265,1781157542.211228
Quantum-Neural Cartographic Functor.txt,21824,668,1781157859.2369561
quantum_communication_schematic.txt,7176,187,1781157974.669586
QuantumP.txt,5557,192,1781158011.8754418
TopologicalSingularity.txt,886,41,1781157700.8515878
UnificationComparison.txt,46437,1209,1781157636.1771789
UnifiedFieldOptimizer.txt,30717,771,1781157733.221285
UnifiedFieldTopology- Comprehensive Theory of Everything.txt,14301,443,1781157594.752616
univision.txt,13245,371,1781157574.741019
