source_file,equation_candidates,semantic_candidates,wolfram_candidates,wolfram_parse_ok,wolfram_parse_error,promotion_priority
BYOB-IFP Protocol- Hyper-Rigorous Patent Formalization via Higher-Order Type-Theoretic.txt,170,22,20,7,13,high
AntipodalEntanglement.txt,115,21,24,6,18,high
UnifiedFieldTopology- Comprehensive Theory of Everything.txt,117,11,15,7,8,high
AntipodalEntanglementProtocol.txt,267,23,21,1,20,high
univision.txt,44,29,4,0,4,high
bbmap2.txt,187,8,12,6,6,high
BBmaping.txt,93,9,12,6,6,high
Quantum-Neural Cartographic Functor.txt,177,8,14,3,11,medium
DAANSspherewithBYOBIFPProtocol.txt,55,6,12,4,8,medium
UnificationComparison.txt,387,11,5,0,5,high
UnifiedFieldOptimizer.txt,327,11,10,0,10,high
latext.txt,40,13,6,1,5,high
_KleisliCategoryNon-DeterministicComputationMonads.txt,214,9,22,1,21,medium
QuantumP.txt,52,3,10,3,7,medium
completeme.txt,7,10,2,0,2,high
quantum_communication_schematic.txt,45,7,1,0,1,low
_Markdown.txt,11,0,2,1,1,low
BlobMapping -= Module-.txt,7,1,2,0,2,low
TopologicalSingularity.txt,16,0,2,0,2,low
https---orcid.txt,10,0,0,0,0,low
