batch,batch_position,queue_index,proposed_id,source_file,line_number,readiness,domain_family,duplicate_status,wolfram_status
1,1,5,NEXT+0005,https---orcid.txt,1,id_ready,field_topology_mhd,new_or_nonexact,needs_wolfram_translation
1,2,6,NEXT+0006,latext.txt,127,id_ready,field_topology_mhd,new_or_nonexact,file_has_parse_clean_wolfram
1,3,7,NEXT+0007,AntipodalEntanglementProtocol.txt,132,id_ready,quantum_entanglement,new_or_nonexact,file_has_parse_clean_wolfram
1,4,8,NEXT+0008,AntipodalEntanglementProtocol.txt,169,id_ready,quantum_entanglement,new_or_nonexact,file_has_parse_clean_wolfram
1,5,9,NEXT+0009,UnificationComparison.txt,661,id_ready,general_math,new_or_nonexact,needs_wolfram_translation
1,6,10,NEXT+0010,UnifiedFieldOptimizer.txt,391,id_ready,optimization_computation,new_or_nonexact,needs_wolfram_translation
1,7,11,NEXT+0011,_KleisliCategoryNon-DeterministicComputationMonads.txt,160,id_ready,category_type_theory,new_or_nonexact,file_has_parse_clean_wolfram
1,8,12,NEXT+0012,univision.txt,105,id_ready,signal_wave,new_or_nonexact,needs_wolfram_translation
1,9,13,NEXT+0013,AntipodalEntanglement.txt,215,id_ready,quantum_entanglement,new_or_nonexact,file_has_parse_clean_wolfram
1,10,14,NEXT+0014,AntipodalEntanglementProtocol.txt,208,id_ready,quantum_entanglement,new_or_nonexact,file_has_parse_clean_wolfram
1,11,15,NEXT+0015,AntipodalEntanglementProtocol.txt,298,id_ready,category_type_theory,new_or_nonexact,file_has_parse_clean_wolfram
1,12,16,NEXT+0016,AntipodalEntanglementProtocol.txt,331,id_ready,quantum_entanglement,new_or_nonexact,file_has_parse_clean_wolfram
1,13,17,NEXT+0017,AntipodalEntanglementProtocol.txt,341,id_ready,quantum_entanglement,new_or_nonexact,file_has_parse_clean_wolfram
1,14,18,NEXT+0018,BYOB-IFP Protocol- Hyper-Rigorous Patent Formalization via Higher-Order Type-Theoretic.txt,46,id_ready,protocol_systems,new_or_nonexact,file_has_parse_clean_wolfram
1,15,19,NEXT+0019,QuantumP.txt,60,id_ready,quantum_entanglement,new_or_nonexact,file_has_parse_clean_wolfram
1,16,20,NEXT+0020,UnificationComparison.txt,651,id_ready,general_math,new_or_nonexact,needs_wolfram_translation
1,17,22,NEXT+0022,UnifiedFieldOptimizer.txt,231,id_ready,optimization_computation,new_or_nonexact,needs_wolfram_translation
1,18,26,NEXT+0026,UnifiedFieldTopology- Comprehensive Theory of Everything.txt,154,id_ready,field_topology_mhd,new_or_nonexact,file_has_parse_clean_wolfram
1,19,27,NEXT+0027,_KleisliCategoryNon-DeterministicComputationMonads.txt,163,id_ready,category_type_theory,new_or_nonexact,file_has_parse_clean_wolfram
1,20,30,NEXT+0030,univision.txt,57,id_ready,category_type_theory,new_or_nonexact,needs_wolfram_translation
1,21,31,NEXT+0031,univision.txt,114,id_ready,general_math,new_or_nonexact,needs_wolfram_translation
1,22,3,NEXT+0003,https---orcid.txt,1,id_ready,quantum_entanglement,possible_master_duplicate,needs_wolfram_translation
1,23,4,NEXT+0004,UnifiedFieldOptimizer.txt,504,id_ready,optimization_computation,possible_master_duplicate,needs_wolfram_translation
1,24,21,NEXT+0021,UnifiedFieldOptimizer.txt,225,id_ready,field_topology_mhd,possible_master_duplicate,needs_wolfram_translation
1,25,23,NEXT+0023,UnifiedFieldOptimizer.txt,239,id_ready,optimization_computation,possible_master_duplicate,needs_wolfram_translation
1,26,24,NEXT+0024,UnifiedFieldOptimizer.txt,433,id_ready,field_topology_mhd,possible_master_duplicate,needs_wolfram_translation
1,27,25,NEXT+0025,UnifiedFieldOptimizer.txt,500,id_ready,optimization_computation,possible_master_duplicate,needs_wolfram_translation
1,28,28,NEXT+0028,https---orcid.txt,44,id_ready,general_math,possible_master_duplicate,needs_wolfram_translation
1,29,29,NEXT+0029,quantum_communication_schematic.txt,14,id_ready,quantum_entanglement,possible_master_duplicate,needs_wolfram_translation
1,30,1,NEXT+0001,UnifiedFieldTopology- Comprehensive Theory of Everything.txt,6,quarantine,geometry_topology,new_or_nonexact,file_has_parse_clean_wolfram
1,31,2,NEXT+0002,https---orcid.txt,44,review,field_topology_mhd,new_or_nonexact,needs_wolfram_translation
1,32,32,NEXT+0032,AntipodalEntanglementProtocol.txt,137,review,quantum_entanglement,new_or_nonexact,file_has_parse_clean_wolfram
1,33,33,NEXT+0033,AntipodalEntanglementProtocol.txt,193,review,quantum_entanglement,new_or_nonexact,file_has_parse_clean_wolfram
