"id","title","uuid","loc_class","arxiv_class","RTEID","poloidal_theta_rad","toroidal_phi_rad","rteid_source","PiID","TZPi","PiPE_position"
"ID0000","Existence and Uniqueness of the Trawin Zero Point","edc24d0a-7288-5934-8c8f-05e6333380a6","","","RTE:P0.0000:T0.0000","0.0000","0.0000","computed","1415926535897","6","7"
"ID0001","Tzp Trawin Zero Point","73321d3f-caa4-5712-bcd8-267d3d7e73ad","","","RTE:P0.0000:T0.0000","0.0000","0.0000","manifest","4159265358979","5","8"
"ID0002","Trawinistic Manifold","9e677344-caa2-5920-bb58-a7932d9f1d14","","","RTE:P3.8832:T0.0064","3.8832","0.0064","manifest","1592653589793","3","9"
"ID0003","Dimensional Ambiguity at TZP","f5f9715a-3ac7-559c-a109-4c47042303f3","","","RTE:P11.6497:T0.0192","11.6497","0.0192","manifest","5926535897932","5","10"
"ID0004","Metric Degeneracy Condition","4677ae0d-3496-572c-a69f-8ee2c05ea69a","","","RTE:P15.5329:T0.0256","15.5329","0.0256","manifest","9265358979323","8","11"
"ID0005","TZP Stability Under Symmetry-Preserving Diffeomorphisms","a358dfec-884d-58f0-b3d3-a7cccf1baf40","","","RTE:P19.4161:T0.0320","19.4161","0.0320","manifest","2653589793238","9","12"
"ID0006","Trawin Base Unit","744765da-078b-5ea9-9fa4-3b64360c2969","","","RTE:P23.2993:T0.0384","23.2993","0.0384","manifest","6535897932384","7","13"
"ID0007","Temporal Displacement Factor","79af348c-4fcf-5f82-b585-f48f4326b3c3","","","RTE:P27.1826:T0.0448","27.1826","0.0448","manifest","5358979323846","9","14"
"ID0008","Non-Linearity Constant K_NL","9e40ddae-727e-5aa3-8c06-19198be44786","","","RTE:P31.0658:T0.0512","31.0658","0.0512","manifest","3589793238462","3","15"
"ID0009","Hyper-Dimensional Span","10d00b66-ffcf-5948-945f-34443de537a2","","","RTE:P34.9490:T0.0576","34.9490","0.0576","manifest","5897932384626","2","16"
"ID0010","Stochastic Drift Magnitude","612817ab-6377-5429-9c27-fe2d003262b2","","","RTE:P38.8322:T0.0640","38.8322","0.0640","manifest","8979323846264","3","17"
"ID0011","Causal Loop Invariant","b63b387a-822c-58b3-9bf9-73350cb197fa","","","RTE:P42.7154:T0.0704","42.7154","0.0704","manifest","9793238462643","8","18"
