backfill_priority,atomic_index,source_file,line_number,domain_family,anchor_id,anchor_title,anchor_source_file,anchor_line_number,mapping_method,line_distance,candidate_equation,wolfram_form_hint,mint_status
174,110,latext.txt,102,field_topology_mhd,PHONE2_ANCHOR_001,Parker-GW Resonance Condition,latext.txt,100,nearest_prior_same_source,2,\nabla^2 h_{\mu\nu} \cdot \Psi_{\text{solar}} = \lambda_n \Psi_{\text{solar}},nabla^2 h_{munu} cdot Psi_{text{solar}} = lambda_n Psi_{text{solar}},unminted
174,977,latext.txt,106,signal_wave,PHONE2_ANCHOR_001,Parker-GW Resonance Condition,latext.txt,100,nearest_prior_same_source,6,\lambda_n = -\left(\frac{n\pi}{L}\right)^2 + i\frac{\Omega_{\text{sun}}}{v_{sw}},lambda_n = -((nPi)/(L))^2 + ifrac{Omega_{text{sun}}}{v_{sw}},unminted
173,79,latext.txt,194,general_math,PHONE2_ANCHOR_002,Modulation Signatures,latext.txt,190,nearest_prior_same_source,4,"\delta A_{\text{GW}} = \epsilon \left|\int \Psi_{\text{solar}} \cdot h_{\mu\nu} \, d^3x\right| \sim 10^{-24} \text{ strain}",delta A_{text{GW}} = epsilon |Integrate Psi_{text{solar}} cdot h_{munu}  d^3x| sim 10^{-24} text{ strain},unminted
173,80,latext.txt,200,general_math,PHONE2_ANCHOR_002,Modulation Signatures,latext.txt,190,nearest_prior_same_source,10,\Delta\phi_{\text{GW}} = \frac{2\pi n_{\text{wind}}}{c} \int_{\text{path}} B_{\text{solar}} \cdot dl \sim 10^{-6} \text{ rad},Deltaphi_{text{GW}} = frac{2Pi n_{text{wind}}}{c} Integrate_{text{path}} B_{text{solar}} cdot dl sim 10^{-6} text{ rad},unminted
173,982,latext.txt,206,signal_wave,PHONE2_ANCHOR_002,Modulation Signatures,latext.txt,190,nearest_prior_same_source,16,"f_{\text{sideband}} = f_{\text{GW}} \pm n\Omega_{\odot}/(2\pi), \quad n \in \mathbb{Z}","f_{text{sideband}} = f_{text{GW}} pm nOmega_{odot}/(2Pi), quad n in mathbb{Z}",unminted
173,2281,latext.txt,218,optimization_computation,PHONE2_ANCHOR_002,Modulation Signatures,latext.txt,190,nearest_prior_same_source,28,ComputationalComplexity := Module[,ComputationalComplexity := Module[,unminted
173,983,latext.txt,221,general_math,PHONE2_ANCHOR_002,Modulation Signatures,latext.txt,190,nearest_prior_same_source,31,spatialGrid = N^3,spatialGrid = N^3,unminted
173,2282,latext.txt,222,general_math,PHONE2_ANCHOR_002,Modulation Signatures,latext.txt,190,nearest_prior_same_source,32,temporalSteps = T/dt,temporalSteps = T/dt,unminted
173,984,latext.txt,223,signal_wave,PHONE2_ANCHOR_002,Modulation Signatures,latext.txt,190,nearest_prior_same_source,33,"spectralModes = Product[2*l[i] + 1, {i, 1, maxL}]","spectralModes = Product[2*l[i] + 1, {i, 1, maxL}]",unminted
172,1002,univision.txt,127,signal_wave,PHONE2_ANCHOR_003,Elsasser Universality,univision.txt,125,nearest_prior_same_source,2,\Lambda := \frac{B^2}{\mu_0 \rho \eta \omega} \to 1 \pm 0,Lambda := (B^2)/(mu_0 rho eta omega) to 1 pm 0,unminted
172,2299,univision.txt,135,optimization_computation,PHONE2_ANCHOR_003,Elsasser Universality,univision.txt,125,nearest_prior_same_source,10,ElsasserConvergence[system_] := Module[,ElsasserConvergence[system_] := Module[,unminted
