minted_id,atomic_index,anchor_id,anchor_title,source_file,line_number,candidate_equation
ID11122,110,PHONE2_ANCHOR_001,Parker-GW Resonance Condition,latext.txt,102,\nabla^2 h_{\mu\nu} \cdot \Psi_{\text{solar}} = \lambda_n \Psi_{\text{solar}}
ID11123,977,PHONE2_ANCHOR_001,Parker-GW Resonance Condition,latext.txt,106,\lambda_n = -\left(\frac{n\pi}{L}\right)^2 + i\frac{\Omega_{\text{sun}}}{v_{sw}}
ID11124,79,PHONE2_ANCHOR_002,Modulation Signatures,latext.txt,194,"\delta A_{\text{GW}} = \epsilon \left|\int \Psi_{\text{solar}} \cdot h_{\mu\nu} \, d^3x\right| \sim 10^{-24} \text{ strain}"
ID11125,80,PHONE2_ANCHOR_002,Modulation Signatures,latext.txt,200,\Delta\phi_{\text{GW}} = \frac{2\pi n_{\text{wind}}}{c} \int_{\text{path}} B_{\text{solar}} \cdot dl \sim 10^{-6} \text{ rad}
ID11126,982,PHONE2_ANCHOR_002,Modulation Signatures,latext.txt,206,"f_{\text{sideband}} = f_{\text{GW}} \pm n\Omega_{\odot}/(2\pi), \quad n \in \mathbb{Z}"
ID11127,2281,PHONE2_ANCHOR_002,Modulation Signatures,latext.txt,218,ComputationalComplexity := Module[
ID11128,983,PHONE2_ANCHOR_002,Modulation Signatures,latext.txt,221,spatialGrid = N^3
ID11129,2282,PHONE2_ANCHOR_002,Modulation Signatures,latext.txt,222,temporalSteps = T/dt
ID11130,984,PHONE2_ANCHOR_002,Modulation Signatures,latext.txt,223,"spectralModes = Product[2*l[i] + 1, {i, 1, maxL}]"
ID11131,1002,PHONE2_ANCHOR_003,Elsasser Universality,univision.txt,127,\Lambda := \frac{B^2}{\mu_0 \rho \eta \omega} \to 1 \pm 0
ID11132,2299,PHONE2_ANCHOR_003,Elsasser Universality,univision.txt,135,ElsasserConvergence[system_] := Module[
ID11133,2300,PHONE2_ANCHOR_003,Elsasser Universality,univision.txt,138,"Lambda = Function[{field, density, viscosity, rotation},"
ID11134,1004,PHONE2_ANCHOR_004,Topological Field Constraint,univision.txt,195,U(d) = \frac{3\mu_0\mu^2}{2\pi d^4} + U_{\text{constraint}}(d)
ID11135,82,PHONE2_ANCHOR_004,Topological Field Constraint,univision.txt,203,"\vec{B}_{\text{torus}} = \nabla \times \vec{A}_\phi, \quad \vec{A} = \frac{\mu_0 I}{2\pi r}\hat{\phi}"
