equation_id,equation_title,equation_source_file,equation_line_number,equation_domain_family,wolfram_status,anchor_id,anchor_title,anchor_semantic_kind,anchor_domain_family,anchor_source_file,anchor_line_number,mapping_method,line_distance
ID10872,Phone2 Category Type Theory Sum X I C C 1 NumCores 1 I,_KleisliCategoryNon-DeterministicComputationMonads.txt,160,category_type_theory,wolfram_equation_parse_verified,PHONE2_ANCHOR_053,ParallelCorrectnessProof,Proof,category_type_theory,_KleisliCategoryNon-DeterministicComputationMonads.txt,435,nearest_same_source,275
ID10873,Phone2 Category Type Theory Morphisms Cobordisms M 1 M 2 W D+1 W M 1 M 2,AntipodalEntanglementProtocol.txt,298,category_type_theory,wolfram_rescue_equation_parse_verified,PHONE2_ANCHOR_017,ConvergenceTheorem,Theorem,category_type_theory,AntipodalEntanglementProtocol.txt,246,nearest_prior_same_source,52
ID10874,Phone2 Category Type Theory Sum X I C I 1 NumThreads ThreadsPerCore C,_KleisliCategoryNon-DeterministicComputationMonads.txt,163,category_type_theory,wolfram_equation_parse_verified,PHONE2_ANCHOR_053,ParallelCorrectnessProof,Proof,category_type_theory,_KleisliCategoryNon-DeterministicComputationMonads.txt,435,nearest_same_source,272
ID10875,Phone2 Category Type Theory SheafCondition F Presheaf F U Lim V Cover U F V,BYOB-IFP Protocol- Hyper-Rigorous Patent Formalization via Higher-Order Type-Theoretic.txt,22,category_type_theory,wolfram_rescue_equation_parse_verified,PHONE2_ANCHOR_033,Theorem 1 (Precomputed Probability Matrix Convergence),Theorem,computation_protocol,BYOB-IFP Protocol- Hyper-Rigorous Patent Formalization via Higher-Order Type-Theoretic.txt,40,nearest_same_source,18
ID10876,Phone2 Category Type Theory F 2 Sum,Quantum-Neural Cartographic Functor.txt,502,category_type_theory,wolfram_cleanup_fragment_carrier_verified,PHONE2_ANCHOR_011,Theorem 1 (Fundamental Homeomorphism),Theorem,category_type_theory,AntipodalEntanglement.txt,114,top_same_domain,-1
ID10877,Phone2 Category Type Theory Φ Load Sum Load I 2 I 1 P Minimize Variance,_KleisliCategoryNon-DeterministicComputationMonads.txt,369,category_type_theory,wolfram_equation_parse_verified,PHONE2_ANCHOR_053,ParallelCorrectnessProof,Proof,category_type_theory,_KleisliCategoryNon-DeterministicComputationMonads.txt,435,nearest_same_source,66
ID10878,Phone2 Category Type Theory P M T - M 0 Λ 2 Exp -λ / 2 Sum C I I,_KleisliCategoryNon-DeterministicComputationMonads.txt,397,category_type_theory,wolfram_symbolic_carrier_verified,PHONE2_ANCHOR_053,ParallelCorrectnessProof,Proof,category_type_theory,_KleisliCategoryNon-DeterministicComputationMonads.txt,435,nearest_same_source,38
ID10879,Phone2 Category Type Theory 1/2 Sum,Quantum-Neural Cartographic Functor.txt,151,category_type_theory,wolfram_cleanup_fragment_carrier_verified,PHONE2_ANCHOR_011,Theorem 1 (Fundamental Homeomorphism),Theorem,category_type_theory,AntipodalEntanglement.txt,114,top_same_domain,-1
ID10880,Phone2 Category Type Theory Sum riemannTensor K I K J K 1 3,Quantum-Neural Cartographic Functor.txt,171,category_type_theory,wolfram_equation_parse_verified,PHONE2_ANCHOR_011,Theorem 1 (Fundamental Homeomorphism),Theorem,category_type_theory,AntipodalEntanglement.txt,114,top_same_domain,-1
ID10881,Phone2 Category Type Theory G/ Τ -2 ricciTensor G +,Quantum-Neural Cartographic Functor.txt,191,category_type_theory,wolfram_cleanup_fragment_carrier_verified,PHONE2_ANCHOR_011,Theorem 1 (Fundamental Homeomorphism),Theorem,category_type_theory,AntipodalEntanglement.txt,114,top_same_domain,-1
ID10882,Phone2 Category Type Theory /2 Sum,Quantum-Neural Cartographic Functor.txt,219,category_type_theory,wolfram_cleanup_fragment_carrier_verified,PHONE2_ANCHOR_011,Theorem 1 (Fundamental Homeomorphism),Theorem,category_type_theory,AntipodalEntanglement.txt,114,top_same_domain,-1
ID10883,Phone2 Category Type Theory EntanglementRange Quantity 5 Millimeters,Quantum-Neural Cartographic Functor.txt,640,category_type_theory,wolfram_equation_parse_verified,PHONE2_ANCHOR_011,Theorem 1 (Fundamental Homeomorphism),Theorem,category_type_theory,AntipodalEntanglement.txt,114,top_same_domain,-1
ID10884,Phone2 Category Type Theory Lim Hbar To 0 Left Langle Hat O Text Quantum Right R,Quantum-Neural Cartographic Functor.txt,654,category_type_theory,wolfram_equation_parse_verified,PHONE2_ANCHOR_011,Theorem 1 (Fundamental Homeomorphism),Theorem,category_type_theory,AntipodalEntanglement.txt,114,top_same_domain,-1
