index,name,path,length,status,message
1,_KleisliCategoryNon_DeterministicComputationMonads_block_01.wls,D:\TZPIDProof\phone2_intake\theorem_toe\wolfram\_KleisliCategoryNon_DeterministicComputationMonads_block_01.wls,2666,parse_error,ToExpression failed
2,_KleisliCategoryNon_DeterministicComputationMonads_block_02.wls,D:\TZPIDProof\phone2_intake\theorem_toe\wolfram\_KleisliCategoryNon_DeterministicComputationMonads_block_02.wls,2926,parse_error,ToExpression failed
3,_KleisliCategoryNon_DeterministicComputationMonads_block_03.wls,D:\TZPIDProof\phone2_intake\theorem_toe\wolfram\_KleisliCategoryNon_DeterministicComputationMonads_block_03.wls,3701,parse_error,ToExpression failed
4,_KleisliCategoryNon_DeterministicComputationMonads_block_04.wls,D:\TZPIDProof\phone2_intake\theorem_toe\wolfram\_KleisliCategoryNon_DeterministicComputationMonads_block_04.wls,2082,parse_error,ToExpression failed
5,_KleisliCategoryNon_DeterministicComputationMonads_block_05.wls,D:\TZPIDProof\phone2_intake\theorem_toe\wolfram\_KleisliCategoryNon_DeterministicComputationMonads_block_05.wls,2780,parse_error,ToExpression failed
6,_KleisliCategoryNon_DeterministicComputationMonads_block_06.wls,D:\TZPIDProof\phone2_intake\theorem_toe\wolfram\_KleisliCategoryNon_DeterministicComputationMonads_block_06.wls,2244,parse_ok,parsed under HoldComplete
7,_Markdown_block_01.wls,D:\TZPIDProof\phone2_intake\theorem_toe\wolfram\_Markdown_block_01.wls,298,parse_ok,parsed under HoldComplete
8,AntipodalEntanglement_block_01.wls,D:\TZPIDProof\phone2_intake\theorem_toe\wolfram\AntipodalEntanglement_block_01.wls,575,parse_ok,parsed under HoldComplete
9,AntipodalEntanglement_block_02.wls,D:\TZPIDProof\phone2_intake\theorem_toe\wolfram\AntipodalEntanglement_block_02.wls,583,parse_error,ToExpression failed
10,AntipodalEntanglement_block_03.wls,D:\TZPIDProof\phone2_intake\theorem_toe\wolfram\AntipodalEntanglement_block_03.wls,602,parse_error,ToExpression failed
11,AntipodalEntanglement_block_04.wls,D:\TZPIDProof\phone2_intake\theorem_toe\wolfram\AntipodalEntanglement_block_04.wls,292,parse_error,ToExpression failed
12,AntipodalEntanglement_block_05.wls,D:\TZPIDProof\phone2_intake\theorem_toe\wolfram\AntipodalEntanglement_block_05.wls,1275,parse_ok,parsed under HoldComplete
13,AntipodalEntanglement_block_06.wls,D:\TZPIDProof\phone2_intake\theorem_toe\wolfram\AntipodalEntanglement_block_06.wls,888,parse_error,ToExpression failed
14,AntipodalEntanglement_block_07.wls,D:\TZPIDProof\phone2_intake\theorem_toe\wolfram\AntipodalEntanglement_block_07.wls,1262,parse_ok,parsed under HoldComplete
15,AntipodalEntanglement_block_08.wls,D:\TZPIDProof\phone2_intake\theorem_toe\wolfram\AntipodalEntanglement_block_08.wls,1455,parse_ok,parsed under HoldComplete
16,AntipodalEntanglement_block_09.wls,D:\TZPIDProof\phone2_intake\theorem_toe\wolfram\AntipodalEntanglement_block_09.wls,744,parse_ok,parsed under HoldComplete
17,AntipodalEntanglement_block_10.wls,D:\TZPIDProof\phone2_intake\theorem_toe\wolfram\AntipodalEntanglement_block_10.wls,722,parse_ok,parsed under HoldComplete
