id,title,status,message,held_head,free_symbol_count,wolfram_candidate,canonical_equation
ID10872,Phone2 Category Type Theory Sum X I C C 1 NumCores 1 I,wolfram_equation_parse_verified,ToExpression parsed under HoldComplete,HoldComplete,3,"Sum[x[i,c], {c, 1, NumCores}] == 1","Sum[x[i,c], {c, 1, NumCores}] == 1, ∀i,"
ID10873,Phone2 Category Type Theory Morphisms Cobordisms M 1 M 2 W D+1 W M 1 M 2,wolfram_parse_error,ToExpression failed,,not_parsed,"Morphisms -> Cobordisms[(M$1, M$2) -> W^{d+1}: dW == M$1 + M̄_2]","Morphisms → Cobordisms[(M_1, M_2) ↦ W^{d+1}: ∂W = M_1 ⊔ M̄_2]"
ID10874,Phone2 Category Type Theory Sum X I C I 1 NumThreads ThreadsPerCore C,wolfram_equation_parse_verified,ToExpression parsed under HoldComplete,HoldComplete,4,"Sum[x[i,c], {i, 1, NumThreads}] <= ThreadsPerCore","Sum[x[i,c], {i, 1, NumThreads}] <= ThreadsPerCore, ∀c,"
ID10875,Phone2 Category Type Theory SheafCondition F Presheaf F U Lim V Cover U F V,wolfram_parse_error,ToExpression failed,,not_parsed,"SheafCondition -> : Presheaf, F(U) == lim_{V∈Cover(U)} F(V)","SheafCondition → ∀F: Presheaf, F(U) ≅ lim_{V∈Cover(U)} F(V)"
ID10876,Phone2 Category Type Theory F 2 Sum,wolfram_needs_cleanup,likely_incomplete_brackets,,not_parsed,F == 2 Sum[,F = 2 Sum[
ID10877,Phone2 Category Type Theory Φ Load Sum Load I 2 I 1 P Minimize Variance,wolfram_equation_parse_verified,ToExpression parsed under HoldComplete,HoldComplete,3,"Phi[load_] := Sum[load[i]^2, {i, 1, p}]","Φ[load_] := Sum[load[i]^2, {i, 1, p}], (* Minimize variance *)"
ID10878,Phone2 Category Type Theory P M T - M 0 Λ 2 Exp -λ / 2 Sum C I I,wolfram_parse_error,ToExpression failed,,not_parsed,"P[|M$T - M$0| > lambda] <= 2*Exp[-lambda^2/(2*Sum[c$i^2, {i}])]","P[|M_T - M_0| > λ] <= 2*Exp[-λ²/(2*Sum[c_i², {i}])],"
ID10879,Phone2 Category Type Theory 1/2 Sum,wolfram_needs_cleanup,likely_incomplete_brackets,,not_parsed,1/2 Sum[,1/2 Sum[
ID10880,Phone2 Category Type Theory Sum riemannTensor K I K J K 1 3,wolfram_equation_parse_verified,ToExpression parsed under HoldComplete,HoldComplete,4,"Sum[riemannTensor[[k, i, k, j]], {k, 1, 3}]","Sum[riemannTensor[[k, i, k, j]], {k, 1, 3}],"
ID10881,Phone2 Category Type Theory G/ Τ -2 ricciTensor G +,wolfram_needs_cleanup,likely_fragment,,not_parsed,dg/dtau == -2 * ricciTensor[g] +,∂g/∂τ = -2 * ricciTensor[g] +
ID10882,Phone2 Category Type Theory /2 Sum,wolfram_needs_cleanup,likely_incomplete_brackets,,not_parsed,hbar/2 Sum[,ħ/2 Sum[
ID10883,Phone2 Category Type Theory EntanglementRange Quantity 5 Millimeters,wolfram_equation_parse_verified,ToExpression parsed under HoldComplete,HoldComplete,0,"""EntanglementRange"" -> Quantity[5, ""Millimeters""]","""EntanglementRange"" → Quantity[5, ""Millimeters""],"
ID10884,Phone2 Category Type Theory Lim Hbar To 0 Left Langle Hat O Text Quantum Right R,wolfram_equation_parse_verified,ToExpression parsed under HoldComplete,HoldComplete,5,Limit OHat_{quantum} _{psi} == O_{classical}^{DAANSsphere},\lim_{\hbar \to 0} \left\langle \hat{O}_{\text{quantum}} \right\rangle_{\psi} = O_{\text{classical}}^{\text{DAANSsphere}}
ID10885,Phone2 Category Type Theory TimeLimit 100ms,wolfram_equation_parse_verified,ToExpression parsed under HoldComplete,HoldComplete,2,TimeLimit -> 100ms,TimeLimit → 100ms
