id,title,status,message,wolfram_candidate,canonical_equation
ID10873,Phone2 Category Type Theory Morphisms Cobordisms M 1 M 2 W D+1 W M 1 M 2,wolfram_parse_error,ToExpression failed,"Morphisms -> Cobordisms[(M$1, M$2) -> W^{d+1}: dW == M$1 + M̄_2]","Morphisms → Cobordisms[(M_1, M_2) ↦ W^{d+1}: ∂W = M_1 ⊔ M̄_2]"
ID10875,Phone2 Category Type Theory SheafCondition F Presheaf F U Lim V Cover U F V,wolfram_parse_error,ToExpression failed,"SheafCondition -> : Presheaf, F(U) == lim_{V∈Cover(U)} F(V)","SheafCondition → ∀F: Presheaf, F(U) ≅ lim_{V∈Cover(U)} F(V)"
ID10878,Phone2 Category Type Theory P M T - M 0 Λ 2 Exp -λ / 2 Sum C I I,wolfram_parse_error,ToExpression failed,"P[|M$T - M$0| > lambda] <= 2*Exp[-lambda^2/(2*Sum[c$i^2, {i}])]","P[|M_T - M_0| > λ] <= 2*Exp[-λ²/(2*Sum[c_i², {i}])],"
ID10894,Phone2 Category Type Theory Init I Threads Queue I,wolfram_parse_error,ToExpression failed,Init == ∈ Threads: queue[i] = ⟨⟩,"Init == ∀ i ∈ Threads: queue[i] = ⟨⟩,"
ID10895,Phone2 Category Type Theory Next I J Threads Task Tasks,wolfram_parse_error,ToExpression failed,"Next == j ∈ Threads, task ∈ Tasks:","Next == ∃ i,j ∈ Threads, task ∈ Tasks:"
ID10901,Phone2 Category Type Theory Objects Thread I I 1,wolfram_parse_error,ToExpression failed,Objects -> {Thread[i] | i ∈ {1,Objects → {Thread[i] | i ∈ {1
ID10903,Phone2 Category Type Theory F T C Cores T T T C,wolfram_parse_error,ToExpression failed,f[T] == {c ∈ Cores | ∈ T: t ⊆ c},"f[T] = {c ∈ Cores | ∃t ∈ T: t ⊆ c},"
ID10907,Phone2 Category Type Theory InterferenceFreedom I J Statement S J In C J,wolfram_parse_error,ToExpression failed,"InterferenceFreedom := ≠ j, s$j in C$j:","InterferenceFreedom := ∀ i ≠ j, ∀ statement s_j in C_j:"
ID10954,Phone2 Category Type Theory IntraSocket Latency 10ns,wolfram_parse_error,ToExpression failed,IntraSocket -> Latency[~10ns],"IntraSocket → Latency[~10ns],"
ID10955,Phone2 Category Type Theory InterSocket Latency 100ns,wolfram_parse_error,ToExpression failed,InterSocket -> Latency[~100ns],"InterSocket → Latency[~100ns],"
ID10956,Phone2 Category Type Theory RemoteMemory Latency 300ns,wolfram_parse_error,ToExpression failed,RemoteMemory -> Latency[~300ns],RemoteMemory → Latency[~300ns]
ID10957,Phone2 Category Type Theory X I C X J C Compatible C C I J CommunicatingPairs,wolfram_parse_error,ToExpression failed,"x[i,c] * x[j,c'] <= Compatible[c,c'], ∀(i,j) ∈ CommunicatingPairs","x[i,c] * x[j,c'] <= Compatible[c,c'], ∀(i,j) ∈ CommunicatingPairs"
ID10971,Phone2 Category Type Theory Tree 2 L+1 K + 2 L,wolfram_parse_error,ToExpression failed,tree[[2^(l+1)*k + 2^l]] ==,tree[[2^(l+1)*k + 2^l]] =
ID10979,Phone2 Category Type Theory C I Max E Φ Ball I Bin J - E Φ Ball I Bin K,wolfram_parse_error,ToExpression failed,c$i == Max[|E[Phi | ball i -> bin j] - E[Phi | ball i -> bin k]|],c_i = Max[|E[Φ | ball i → bin j] - E[Φ | ball i → bin k]|]
ID10984,Phone2 Category Type Theory InvariantPreservation I S I In C I,wolfram_parse_error,ToExpression failed,InvariantPreservation := _i in C$i:,"InvariantPreservation := ∀ i, ∀ s_i in C_i:"
ID10998,Phone2 Category Type Theory N K K Morphisms IteratedTransformations,wolfram_parse_error,ToExpression failed,"n == k_, k$Morphisms[IteratedTransformations]","n == k_, k_Morphisms[IteratedTransformations]"
ID10999,Phone2 Category Type Theory Morphisms Hom Thread I Thread J WorkPacket Τ Ij,wolfram_parse_error,ToExpression failed,"Morphisms -> Hom(Thread[i], Thread[j]) == WorkPacket[tau$ij]","Morphisms → Hom(Thread[i], Thread[j]) = WorkPacket[τ_ij],"
ID11000,Phone2 Category Type Theory Composition Async Hom J K Hom I J Hom I K,wolfram_parse_error,ToExpression failed,"Composition -> @*_async: Hom(j,k) CircleTimes$CirclePlus Hom(i,j) -> Hom(i,k)","Composition → ∘_async: Hom(j,k) ⊗_⊕ Hom(i,j) → Hom(i,k)"
ID11003,Phone2 Category Type Theory B Bottom,wolfram_parse_error,ToExpression failed,{b == bottom,{b = bottom
ID11004,Phone2 Category Type Theory Get T Top,wolfram_parse_error,ToExpression failed,"get[], t == top","get[], t = top"
