dep_rung,dep_id,dependent_rung,dependent_id
3,ID0003,8,ID0009
15,ID0016,21,ID0022
14,ID0015,23,ID0024
28,ID0029,29,ID0030
31,ID0032,32,ID0034
31,ID0032,33,ID0033
32,ID0034,33,ID0033
42,ID0049,44,ID0051
132,ID0150,134,ID0153
188,ID0208,189,ID0209
215,ID0235,222,ID0242
210,ID0230,234,ID0256
262,ID0285,263,ID0245
330,ID0353,369,ID0395
378,ID0404,396,ID0425
369,ID0395,438,ID0470
335,ID0358,439,ID0472
426,ID0456,449,ID0484
327,ID0350,911,ID0948
1,ID0000,918,ID0956
180,ID0200,922,ID0960
327,ID0350,1013,ID1052
962,ID1000,1142,ID1184
5,ID0006,1145,ID1187
20,ID0021,1146,ID1188
29,ID0030,1147,ID1189
35,ID0036,1148,ID1190
39,ID0043,1150,ID1192
962,ID1000,1151,ID1194
209,ID0229,1188,ID1231
566,ID0601,1189,ID1232
664,ID0700,1189,ID1232
67,ID0074,1196,ID1239
374,ID0400,1347,ID1392
375,ID0401,1348,ID1393
379,ID0405,1348,ID1393
380,ID0406,1348,ID1393
378,ID0404,1350,ID1395
390,ID0418,1350,ID1395
394,ID0423,1351,ID1396
398,ID0427,1353,ID1398
400,ID0430,1355,ID1400
1412,ID1457,1413,ID1176
11,ID0012,1450,ID1495
22,ID0023,1451,ID1496
24,ID0025,1452,ID1497
34,ID0035,1454,ID1499
43,ID0050,1457,ID1504
1,ID0000,1524,ID1571
375,ID0401,1525,ID1572
465,ID0500,1525,ID1572
55,ID0062,1529,ID1576
256,ID0279,1536,ID1583
866,ID0902,1543,ID1590
887,ID0924,1544,ID1591
1036,ID1075,1551,ID1600
422,ID0452,1642,ID1691
429,ID0459,1646,ID1695
1571,ID1620,1726,ID1776
1,ID0000,1749,ID1800
2,ID0002,1749,ID1800
5,ID0006,1749,ID1800
814,ID0850,1750,ID1801
820,ID0856,1751,ID1802
14,ID0015,1753,ID1804
23,ID0024,1753,ID1804
210,ID0230,1758,ID1811
820,ID0856,1760,ID1813
16,ID0017,1762,ID1815
18,ID0019,1762,ID1815
22,ID0023,1763,ID1817
819,ID0855,1765,ID1819
11,ID0012,1766,ID1820
22,ID0023,1766,ID1820
5,ID0006,1769,ID1825
817,ID0853,1771,ID1827
18,ID0019,1773,ID1829
816,ID0852,1774,ID1830
817,ID0853,1774,ID1830
814,ID0850,1776,ID1832
19,ID0020,1777,ID1833
19,ID0020,1778,ID1834
23,ID0024,1780,ID1836
263,ID0245,1781,ID1837
3,ID0003,1782,ID1838
6,ID0007,1782,ID1838
24,ID0025,1784,ID1840
1083,ID1122,1786,ID1842
1082,ID1121,1787,ID1843
1085,ID1124,1788,ID1844
24,ID0025,1789,ID1845
487,ID0522,1789,ID1845
11,ID0012,1791,ID1847
1001,ID1039,1792,ID1848
1002,ID1040,1792,ID1848
295,ID0317,1793,ID1849
844,ID0880,1793,ID1849
817,ID0853,1794,ID1850
9,ID0010,1796,ID1852
6,ID0007,1797,ID1853
18,ID0019,1797,ID1853
10,ID0011,1798,ID1854
3,ID0003,1800,ID1856
11,ID0012,1800,ID1856
196,ID0216,1801,ID1857
7,ID0008,1802,ID1858
22,ID0023,1804,ID1860
21,ID0022,1805,ID1861
23,ID0024,1805,ID1861
18,ID0019,1808,ID1865
22,ID0023,1808,ID1865
11,ID0012,1809,ID1867
5,ID0006,1810,ID1868
1,ID0000,1812,ID1870
86,ID0096,1813,ID1872
566,ID0601,1813,ID1872
764,ID0800,1813,ID1872
164,ID0183,1815,ID1875
15,ID0016,1816,ID1876
60,ID0067,1816,ID1876
211,ID0231,1816,ID1876
266,ID0288,1816,ID1876
419,ID0449,1816,ID1876
457,ID0492,1816,ID1876
511,ID0546,1816,ID1876
407,ID0437,1821,ID1881
209,ID0229,1824,ID1885
136,ID0155,1825,ID1886
566,ID0601,1825,ID1886
664,ID0700,1825,ID1886
665,ID0701,1826,ID1889
7,ID0008,1827,ID1890
6,ID0007,1828,ID1891
6,ID0007,1829,ID1892
7,ID0008,1829,ID1892
37,ID0041,1830,ID1893
187,ID0207,1830,ID1893
457,ID0492,1830,ID1893
463,ID0498,1830,ID1893
491,ID0526,1830,ID1893
15,ID0016,1831,ID1894
60,ID0067,1831,ID1894
266,ID0288,1831,ID1894
457,ID0492,1831,ID1894
511,ID0546,1831,ID1894
15,ID0016,1832,ID1895
60,ID0067,1832,ID1895
192,ID0212,1832,ID1895
266,ID0288,1832,ID1895
457,ID0492,1832,ID1895
511,ID0546,1832,ID1895
1,ID0000,1833,ID1896
4,ID0005,1834,ID1897
5,ID0006,1834,ID1897
6,ID0007,1834,ID1897
7,ID0008,1834,ID1897
8,ID0009,1834,ID1897
9,ID0010,1834,ID1897
55,ID0062,1838,ID1902
67,ID0074,1840,ID1904
172,ID0192,1848,ID1912
256,ID0279,1852,ID1916
457,ID0492,1858,ID1923
517,ID0552,1862,ID1927
1862,ID1927,1863,ID0100
33,ID0033,1865,ID1929
866,ID0902,1868,ID1932
885,ID0922,1870,ID1934
939,ID0977,1876,ID1941
950,ID0988,1878,ID1943
1006,ID1044,1887,ID1954
1036,ID1075,1890,ID1958
401,ID0431,2004,ID2073
414,ID0444,2005,ID2074
416,ID0446,2006,ID2075
426,ID0456,2008,ID2077
436,ID0467,2009,ID2078
441,ID0474,2010,ID2079
378,ID0404,2043,ID2113
396,ID0425,2043,ID2113
1090,ID1129,2067,ID2137
1092,ID1131,2069,ID2139
439,ID0472,2138,ID2210
462,ID0497,2140,ID2212
12,ID0013,2181,ID2255
457,ID0492,2196,ID2271
438,ID0470,2207,ID2283
1086,ID1125,2213,ID2289
11,ID0012,2220,ID2296
34,ID0035,2221,ID2297
665,ID0701,2232,ID2310
764,ID0800,2232,ID2310
1094,ID1133,2241,ID2319
115,ID0131,2275,ID2354
458,ID0493,2276,ID2355
459,ID0494,2277,ID2356
1084,ID1123,2388,ID2467
1085,ID1124,2389,ID2468
1087,ID1126,2390,ID2469
1088,ID1127,2391,ID2470
1089,ID1128,2392,ID2471
1091,ID1130,2394,ID2473
1093,ID1132,2395,ID2474
1094,ID1133,2396,ID2475
1095,ID1134,2397,ID2476
1096,ID1135,2398,ID2477
1097,ID1136,2399,ID2478
1099,ID1138,2400,ID2479
1107,ID1146,2404,ID2483
1108,ID1147,2405,ID2484
1112,ID1151,2406,ID2485
1113,ID1152,2407,ID2486
1114,ID1153,2408,ID2487
1115,ID1154,2409,ID2488
1116,ID1155,2410,ID2489
1119,ID1158,2413,ID2492
1120,ID1159,2414,ID2493
1121,ID1160,2415,ID2494
1123,ID1162,2416,ID2495
1141,ID1183,2424,ID2503
1143,ID1185,2425,ID2504
8,ID0009,2558,ID2640
9,ID0010,2559,ID2641
10,ID0011,2560,ID2642
13,ID0014,2561,ID2643
36,ID0040,2562,ID2645
36,ID0040,2564,ID2647
36,ID0040,2565,ID2648
37,ID0041,2566,ID2649
40,ID0046,2567,ID2650
41,ID0047,2568,ID2651
42,ID0049,2569,ID2653
1690,ID1740,2610,ID2696
566,ID0601,2624,ID2710
764,ID0800,2624,ID2710
665,ID0701,2627,ID2713
764,ID0800,2627,ID2713
939,ID0977,2628,ID2714
665,ID0701,2659,ID2745
764,ID0800,2659,ID2745
1084,ID1123,2715,ID2801
1089,ID1128,2716,ID2802
1093,ID1132,2718,ID2804
1108,ID1147,2720,ID2806
1119,ID1158,2721,ID2807
1123,ID1162,2722,ID2808
1141,ID1183,2727,ID2814
36,ID0040,2770,ID2861
36,ID0040,2771,ID2862
566,ID0601,2785,ID2881
764,ID0800,2785,ID2881
1141,ID1183,2793,ID2889
36,ID0040,2801,ID2898
36,ID0040,2802,ID2899
1083,ID1122,2974,ID3440
419,ID0449,3115,ID3584
3145,ID3614,3146,ID3365
3146,ID3365,3147,ID1917
3147,ID1917,3148,ID1952
3148,ID1952,3149,ID1953
310,ID0333,3207,ID3672
3207,ID3672,3208,ID0330
95,ID0109,3233,ID3699
96,ID0110,3235,ID3701
97,ID0111,3235,ID3701
99,ID0113,3236,ID3702
5,ID0006,3485,ID3961
15,ID0016,3485,ID3961
79,ID0086,3485,ID3961
5,ID0006,3535,ID4011
15,ID0016,3535,ID4011
