rung,id,title,out_degree
5,ID0006,Trawin Base Unit,9
11,ID0012,Field Coherence Metric,9
6,ID0007,Temporal Displacement Factor,8
18,ID0019,Trawinistic D'Alembertian,8
22,ID0023,TZP Potential Term,8
8,ID0009,Hyper-Dimensional Span,7
9,ID0010,Stochastic Drift Magnitude,7
36,ID0040,Universality of Elsasser Criticality,7
764,ID0800,SO(3) Times U(1) Configuration Bundle,7
1,ID0000,Existence and Uniqueness of the Trawin Zero Point,6
7,ID0008,Non-Linearity Constant K_NL,6
15,ID0016,Manifold Curvature (TZP Condition),6
375,ID0401,Electromagnetic Stress-Energy Tensor,6
457,ID0492,Unified Hamiltonian SUM H_textTrawin,6
994,ID1032,Spatial Convolution of Omega,6
9536,ID0001,Tzp Trawin Zero Point,6
9537,ID0004,Metric Degeneracy Condition,6
9565,ID0044,(μ ∝ M R^2Ω) Universal Scaling Law,6
14,ID0015,Spectral Density Index (TZP-Weighted),5
23,ID0024,TZP Vacuum Energy Density,5
566,ID0601,The Superconducting Pair Creation Operator,5
665,ID0701,Extended Phase Space for Magneto-Acoustic–Kaluza–Klein Systems,5
997,ID1035,Omega over Tau Ratio,5
999,ID1037,Entrainment Gradient,5
1001,ID1039,Fractal Harmonic Operator,5
10237,ID0105,Master Synchronization Functional,5
3,ID0003,Dimensional Ambiguity at TZP,4
24,ID0025,Conservation Law: TZP Topological Charge,4
37,ID0041,Topological Helicity Quantisation,4
92,ID0106,Phase-Coherence Matrix,4
95,ID0109,Fibonacci Sequence,4
99,ID0113,Helical Spacetime Embedding Axiom,4
210,ID0230,Bessel Interference Pattern of Emergent Matter,4
384,ID0411,The Photon-Neural Coupling Operator,4
456,ID0491,Integrated Information Phi_TZP Scaling,4
458,ID0493,Experimental Deviation Tolerance,4
1000,ID1038,Temporal Harmonic Integral,4
1274,ID1319,Time-Dependent Schrödinger / Gross–Pitaevskii Equation,4
1275,ID1320,Directional Gravity Negation Stage,4
9605,ID0409,The Superconducting Pair Creation Operator,4
4,ID0005,TZP Stability Under Symmetry-Preserving Diffeomorphisms,3
10,ID0011,Causal Loop Invariant,3
28,ID0029,Trawinistic Hamiltonian Density,3
42,ID0049,Zero-Point Fluctuations,3
60,ID0067,Topological Quantum States,3
96,ID0110,Fibonacci Manifold,3
97,ID0111,Resonant Holographic Spiral,3
266,ID0288,Topologically Trapped Dark Matter Analogue,3
371,ID0397,TZP Operator for Extraction and Collapse,3
378,ID0404,The Metric Distortion Gradient,3
