source_root,file,theory,line,kind,subtype,name,operator_like,excerpt
D:\TZPIDProof\tzpid_proof\isabelle_tzpid,D:\TZPIDProof\tzpid_proof\isabelle_tzpid\TZPID_AA_Spines_Computational_Checks.thy,TZPID_AA_Spines_Computational_Checks,1,theory,theory,TZPID_AA_Spines_Computational_Checks,no,theory TZPID_AA_Spines_Computational_Checks
D:\TZPIDProof\tzpid_proof\isabelle_tzpid,D:\TZPIDProof\tzpid_proof\isabelle_tzpid\TZPID_AA_Spines_Computational_Checks.thy,TZPID_AA_Spines_Computational_Checks,22,datatype,datatype,aa_wolfram_check,no,datatype aa_wolfram_check =
D:\TZPIDProof\tzpid_proof\isabelle_tzpid,D:\TZPIDProof\tzpid_proof\isabelle_tzpid\TZPID_AA_Spines_Computational_Checks.thy,TZPID_AA_Spines_Computational_Checks,36,definition,constant_or_definition,aa_spines_wolfram_results_sha1,no,definition aa_spines_wolfram_results_sha1 :: string where
D:\TZPIDProof\tzpid_proof\isabelle_tzpid,D:\TZPIDProof\tzpid_proof\isabelle_tzpid\TZPID_AA_Spines_Computational_Checks.thy,TZPID_AA_Spines_Computational_Checks,39,definition,constant_or_definition,aa_module_library_summary_sha1,no,definition aa_module_library_summary_sha1 :: string where
D:\TZPIDProof\tzpid_proof\isabelle_tzpid,D:\TZPIDProof\tzpid_proof\isabelle_tzpid\TZPID_AA_Spines_Computational_Checks.thy,TZPID_AA_Spines_Computational_Checks,42,definition,constant_or_definition,aa_wolfram_check_status,no,"definition aa_wolfram_check_status :: ""aa_wolfram_check => string"" where"
D:\TZPIDProof\tzpid_proof\isabelle_tzpid,D:\TZPIDProof\tzpid_proof\isabelle_tzpid\TZPID_AA_Spines_Computational_Checks.thy,TZPID_AA_Spines_Computational_Checks,45,definition,constant_or_definition,aa_wolfram_check_registry_id,no,"definition aa_wolfram_check_registry_id :: ""aa_wolfram_check => string"" where"
D:\TZPIDProof\tzpid_proof\isabelle_tzpid,D:\TZPIDProof\tzpid_proof\isabelle_tzpid\TZPID_AA_Spines_Computational_Checks.thy,TZPID_AA_Spines_Computational_Checks,48,definition,constant_or_definition,aa_wolfram_check_spine,no,"definition aa_wolfram_check_spine :: ""aa_wolfram_check => string"" where"
D:\TZPIDProof\tzpid_proof\isabelle_tzpid,D:\TZPIDProof\tzpid_proof\isabelle_tzpid\TZPID_AA_Spines_Computational_Checks.thy,TZPID_AA_Spines_Computational_Checks,51,definition,constant_or_definition,aa_wolfram_check_notes,no,"definition aa_wolfram_check_notes :: ""aa_wolfram_check => string"" where"
D:\TZPIDProof\tzpid_proof\isabelle_tzpid,D:\TZPIDProof\tzpid_proof\isabelle_tzpid\TZPID_AA_Spines_Computational_Checks.thy,TZPID_AA_Spines_Computational_Checks,54,definition,constant_or_definition,aa_wolfram_verified_check,no,"definition aa_wolfram_verified_check :: ""aa_wolfram_check => bool"" where"
D:\TZPIDProof\tzpid_proof\isabelle_tzpid,D:\TZPIDProof\tzpid_proof\isabelle_tzpid\TZPID_AA_Spines_Computational_Checks.thy,TZPID_AA_Spines_Computational_Checks,57,definition,constant_or_definition,aa_module_library_rows,no,definition aa_module_library_rows :: nat where
