source_root,file,theory,line,kind,subtype,name,operator_like,excerpt
D:\TZPIDProof\tzpid_proof\isabelle_tzpid,D:\TZPIDProof\tzpid_proof\isabelle_tzpid\TZPID_AA_Spines_Focus.thy,TZPID_AA_Spines_Focus,164,locale,hypothesis_context,TZPID_AA_Spines_Focus,no,locale TZPID_AA_Spines_Focus = TZPID_Proof_Obligations +
D:\TZPIDProof\tzpid_proof\isabelle_tzpid,D:\TZPIDProof\tzpid_proof\isabelle_tzpid\TZPID_AA_Spines_Focus.thy,TZPID_AA_Spines_Focus,165,assumes,hypothesis_or_assumption,assumes@165,no,"assumes vortex_connection_registered: ""aa_equation_registered vortex_connection"""
D:\TZPIDProof\tzpid_proof\isabelle_tzpid,D:\TZPIDProof\tzpid_proof\isabelle_tzpid\TZPID_Axioms.thy,TZPID_Axioms,30,locale,hypothesis_context,TZPID_Axiom_System,no,locale TZPID_Axiom_System =
D:\TZPIDProof\tzpid_proof\isabelle_tzpid,D:\TZPIDProof\tzpid_proof\isabelle_tzpid\TZPID_Axioms.thy,TZPID_Axioms,31,assumes,hypothesis_or_assumption,assumes@31,no,"assumes a11_holds: ""a11"""
D:\TZPIDProof\tzpid_proof\isabelle_tzpid,D:\TZPIDProof\tzpid_proof\isabelle_tzpid\TZPID_Bessel_External_Certificates.thy,TZPID_Bessel_External_Certificates,67,assumes,hypothesis_or_assumption,assumes@67,no,"assumes intervals: ""certified_bessel_zero_intervals full_zero half_zero"""
D:\TZPIDProof\tzpid_proof\isabelle_tzpid,D:\TZPIDProof\tzpid_proof\isabelle_tzpid\TZPID_Bessel_External_Certificates.thy,TZPID_Bessel_External_Certificates,109,assumes,hypothesis_or_assumption,assumes@109,no,"assumes intervals: ""certified_bessel_zero_intervals full_zero half_zero"""
D:\TZPIDProof\tzpid_proof\isabelle_tzpid,D:\TZPIDProof\tzpid_proof\isabelle_tzpid\TZPID_Bessel_External_Certificates.thy,TZPID_Bessel_External_Certificates,222,assumes,hypothesis_or_assumption,assumes@222,no,"assumes admissible: ""boundary_drop_admissible full_zero half_zero"""
D:\TZPIDProof\tzpid_proof\isabelle_tzpid,D:\TZPIDProof\tzpid_proof\isabelle_tzpid\TZPID_Bessel_External_Certificates.thy,TZPID_Bessel_External_Certificates,247,assumes,hypothesis_or_assumption,assumes@247,no,"assumes admissible: ""boundary_drop_admissible full_zero half_zero"""
D:\TZPIDProof\tzpid_proof\isabelle_tzpid,D:\TZPIDProof\tzpid_proof\isabelle_tzpid\TZPID_Bessel_External_Certificates.thy,TZPID_Bessel_External_Certificates,268,assumes,hypothesis_or_assumption,assumes@268,no,"assumes admissible: ""boundary_drop_admissible full_zero half_zero"""
D:\TZPIDProof\tzpid_proof\isabelle_tzpid,D:\TZPIDProof\tzpid_proof\isabelle_tzpid\TZPID_Bessel_External_Certificates.thy,TZPID_Bessel_External_Certificates,306,assumes,hypothesis_or_assumption,assumes@306,no,"assumes intervals: ""certified_bessel_zero_intervals full_zero half_zero"""
D:\TZPIDProof\tzpid_proof\isabelle_tzpid,D:\TZPIDProof\tzpid_proof\isabelle_tzpid\TZPID_Core.thy,TZPID_Core,101,locale,hypothesis_context,TZPID_Core_Spine,no,locale TZPID_Core_Spine =
D:\TZPIDProof\tzpid_proof\isabelle_tzpid,D:\TZPIDProof\tzpid_proof\isabelle_tzpid\TZPID_Core.thy,TZPID_Core,102,assumes,hypothesis_or_assumption,assumes@102,no,"assumes tzp_unique: ""unique_tzp TZP"""
D:\TZPIDProof\tzpid_proof\isabelle_tzpid,D:\TZPIDProof\tzpid_proof\isabelle_tzpid\TZPID_Core.thy,TZPID_Core,781,locale,hypothesis_context,TZPID_Core_Candidate_Inventory,no,locale TZPID_Core_Candidate_Inventory =
D:\TZPIDProof\tzpid_proof\isabelle_tzpid,D:\TZPIDProof\tzpid_proof\isabelle_tzpid\TZPID_Core.thy,TZPID_Core,782,assumes,hypothesis_or_assumption,assumes@782,no,"assumes cand_001_axiom_axiom_i_helical_spacetime_structure_registered: ""registered_axiom cand_001_axiom_axiom_i_helical_spacetime_structure"""
D:\TZPIDProof\tzpid_proof\isabelle_tzpid,D:\TZPIDProof\tzpid_proof\isabelle_tzpid\TZPID_Dynamics_Scaling_Model.thy,TZPID_Dynamics_Scaling_Model,93,assumes,hypothesis_or_assumption,assumes@93,no,"assumes ""length \<noteq> 0"""
D:\TZPIDProof\tzpid_proof\isabelle_tzpid,D:\TZPIDProof\tzpid_proof\isabelle_tzpid\TZPID_Dynamics_Scaling_Model.thy,TZPID_Dynamics_Scaling_Model,107,assumes,hypothesis_or_assumption,assumes@107,no,"assumes ""inertia \<noteq> 0"""
