source_root,file,theory,line,kind,subtype,name,operator_like,excerpt
D:\TZPIDProof\tzpid_proof\isabelle_tzpid,D:\TZPIDProof\tzpid_proof\isabelle_tzpid\TZPID_AA_Spines_Computational_Checks.thy,TZPID_AA_Spines_Computational_Checks,78,lemma,proof_statement,aa_vortex_curvature_identity_passed,no,lemma aa_vortex_curvature_identity_passed:
D:\TZPIDProof\tzpid_proof\isabelle_tzpid,D:\TZPIDProof\tzpid_proof\isabelle_tzpid\TZPID_AA_Spines_Computational_Checks.thy,TZPID_AA_Spines_Computational_Checks,82,lemma,proof_statement,aa_vortex_alfven_positive_passed,no,lemma aa_vortex_alfven_positive_passed:
D:\TZPIDProof\tzpid_proof\isabelle_tzpid,D:\TZPIDProof\tzpid_proof\isabelle_tzpid\TZPID_AA_Spines_Computational_Checks.thy,TZPID_AA_Spines_Computational_Checks,86,lemma,proof_statement,aa_vortex_mach_ratio_passed,no,lemma aa_vortex_mach_ratio_passed:
D:\TZPIDProof\tzpid_proof\isabelle_tzpid,D:\TZPIDProof\tzpid_proof\isabelle_tzpid\TZPID_AA_Spines_Computational_Checks.thy,TZPID_AA_Spines_Computational_Checks,90,lemma,proof_statement,aa_dna_entropy_floor_passed,no,lemma aa_dna_entropy_floor_passed:
D:\TZPIDProof\tzpid_proof\isabelle_tzpid,D:\TZPIDProof\tzpid_proof\isabelle_tzpid\TZPID_AA_Spines_Computational_Checks.thy,TZPID_AA_Spines_Computational_Checks,94,lemma,proof_statement,aa_dna_unitary_identity_passed,no,lemma aa_dna_unitary_identity_passed:
D:\TZPIDProof\tzpid_proof\isabelle_tzpid,D:\TZPIDProof\tzpid_proof\isabelle_tzpid\TZPID_AA_Spines_Computational_Checks.thy,TZPID_AA_Spines_Computational_Checks,98,lemma,proof_statement,aa_dna_helix_length_passed,no,lemma aa_dna_helix_length_passed:
D:\TZPIDProof\tzpid_proof\isabelle_tzpid,D:\TZPIDProof\tzpid_proof\isabelle_tzpid\TZPID_AA_Spines_Computational_Checks.thy,TZPID_AA_Spines_Computational_Checks,102,lemma,proof_statement,aa_neutrino_enhancement_square_passed,no,lemma aa_neutrino_enhancement_square_passed:
D:\TZPIDProof\tzpid_proof\isabelle_tzpid,D:\TZPIDProof\tzpid_proof\isabelle_tzpid\TZPID_AA_Spines_Computational_Checks.thy,TZPID_AA_Spines_Computational_Checks,106,lemma,proof_statement,aa_neutrino_capture_rate_positive_passed,no,lemma aa_neutrino_capture_rate_positive_passed:
D:\TZPIDProof\tzpid_proof\isabelle_tzpid,D:\TZPIDProof\tzpid_proof\isabelle_tzpid\TZPID_AA_Spines_Computational_Checks.thy,TZPID_AA_Spines_Computational_Checks,110,lemma,proof_statement,aa_neutrino_information_log_passed,no,lemma aa_neutrino_information_log_passed:
D:\TZPIDProof\tzpid_proof\isabelle_tzpid,D:\TZPIDProof\tzpid_proof\isabelle_tzpid\TZPID_AA_Spines_Computational_Checks.thy,TZPID_AA_Spines_Computational_Checks,114,lemma,proof_statement,aa_qi_kernel_normalization_passed,no,lemma aa_qi_kernel_normalization_passed:
D:\TZPIDProof\tzpid_proof\isabelle_tzpid,D:\TZPIDProof\tzpid_proof\isabelle_tzpid\TZPID_AA_Spines_Computational_Checks.thy,TZPID_AA_Spines_Computational_Checks,118,lemma,proof_statement,aa_qi_phase_shift_units_passed,no,lemma aa_qi_phase_shift_units_passed:
D:\TZPIDProof\tzpid_proof\isabelle_tzpid,D:\TZPIDProof\tzpid_proof\isabelle_tzpid\TZPID_AA_Spines_Computational_Checks.thy,TZPID_AA_Spines_Computational_Checks,122,lemma,proof_statement,aa_qi_decoherence_positive_passed,no,lemma aa_qi_decoherence_positive_passed:
D:\TZPIDProof\tzpid_proof\isabelle_tzpid,D:\TZPIDProof\tzpid_proof\isabelle_tzpid\TZPID_AA_Spines_Computational_Checks.thy,TZPID_AA_Spines_Computational_Checks,127,lemma,proof_statement,aa_module_library_partition,no,lemma aa_module_library_partition:
D:\TZPIDProof\tzpid_proof\isabelle_tzpid,D:\TZPIDProof\tzpid_proof\isabelle_tzpid\TZPID_AA_Spines_Computational_Checks.thy,TZPID_AA_Spines_Computational_Checks,134,theorem,axiom_contract,aa_vortex_core_spine_has_wolfram_certificate,no,theorem aa_vortex_core_spine_has_wolfram_certificate:
D:\TZPIDProof\tzpid_proof\isabelle_tzpid,D:\TZPIDProof\tzpid_proof\isabelle_tzpid\TZPID_AA_Spines_Computational_Checks.thy,TZPID_AA_Spines_Computational_Checks,145,theorem,proof_statement,aa_dna_tzpqvs_spine_has_wolfram_certificate,no,theorem aa_dna_tzpqvs_spine_has_wolfram_certificate:
D:\TZPIDProof\tzpid_proof\isabelle_tzpid,D:\TZPIDProof\tzpid_proof\isabelle_tzpid\TZPID_AA_Spines_Computational_Checks.thy,TZPID_AA_Spines_Computational_Checks,155,theorem,proof_statement,aa_neutrino_piezo_spine_has_wolfram_certificate,no,theorem aa_neutrino_piezo_spine_has_wolfram_certificate:
