source_root,file,theory,line,kind,subtype,name,operator_like,excerpt
D:\TZPIDProof\tzpid_proof\isabelle_tzpid,D:\TZPIDProof\tzpid_proof\isabelle_tzpid\TZPID_AA_Spines_Computational_Checks.thy,TZPID_AA_Spines_Computational_Checks,1,theory,theory,TZPID_AA_Spines_Computational_Checks,no,theory TZPID_AA_Spines_Computational_Checks
D:\TZPIDProof\tzpid_proof\isabelle_tzpid,D:\TZPIDProof\tzpid_proof\isabelle_tzpid\TZPID_AA_Spines_Focus.thy,TZPID_AA_Spines_Focus,1,theory,theory,TZPID_AA_Spines_Focus,no,theory TZPID_AA_Spines_Focus
D:\TZPIDProof\tzpid_proof\isabelle_tzpid,D:\TZPIDProof\tzpid_proof\isabelle_tzpid\TZPID_Axioms.thy,TZPID_Axioms,1,theory,theory,TZPID_Axioms,no,theory TZPID_Axioms
D:\TZPIDProof\tzpid_proof\isabelle_tzpid,D:\TZPIDProof\tzpid_proof\isabelle_tzpid\TZPID_Bessel_External_Certificates.thy,TZPID_Bessel_External_Certificates,1,theory,theory,TZPID_Bessel_External_Certificates,no,theory TZPID_Bessel_External_Certificates
D:\TZPIDProof\tzpid_proof\isabelle_tzpid,D:\TZPIDProof\tzpid_proof\isabelle_tzpid\TZPID_Core.thy,TZPID_Core,1,theory,theory,TZPID_Core,no,theory TZPID_Core
D:\TZPIDProof\tzpid_proof\isabelle_tzpid,D:\TZPIDProof\tzpid_proof\isabelle_tzpid\TZPID_DerivationOrder.thy,TZPID_DerivationOrder,1,theory,theory,TZPID_DerivationOrder,no,theory TZPID_DerivationOrder
D:\TZPIDProof\tzpid_proof\isabelle_tzpid,D:\TZPIDProof\tzpid_proof\isabelle_tzpid\TZPID_Dynamics_Scaling_Model.thy,TZPID_Dynamics_Scaling_Model,1,theory,theory,TZPID_Dynamics_Scaling_Model,no,theory TZPID_Dynamics_Scaling_Model
D:\TZPIDProof\tzpid_proof\isabelle_tzpid,D:\TZPIDProof\tzpid_proof\isabelle_tzpid\TZPID_DynamicsScaling_Carriers.thy,TZPID_DynamicsScaling_Carriers,1,theory,theory,TZPID_DynamicsScaling_Carriers,no,theory TZPID_DynamicsScaling_Carriers
D:\TZPIDProof\tzpid_proof\isabelle_tzpid,D:\TZPIDProof\tzpid_proof\isabelle_tzpid\TZPID_DynamicsStability_Carriers.thy,TZPID_DynamicsStability_Carriers,1,theory,theory,TZPID_DynamicsStability_Carriers,no,theory TZPID_DynamicsStability_Carriers
D:\TZPIDProof\tzpid_proof\isabelle_tzpid,D:\TZPIDProof\tzpid_proof\isabelle_tzpid\TZPID_EdgeCase_Strengthening.thy,TZPID_EdgeCase_Strengthening,1,theory,theory,TZPID_EdgeCase_Strengthening,no,theory TZPID_EdgeCase_Strengthening
