rank,isabelle_name,claim_type,registration_predicate,kind,score,title,source,line,digest
1,cand_001_axiom_axiom_i_helical_spacetime_structure,axiom_claim,registered_axiom,Axiom,156,Axiom I (Helical Spacetime Structure).,D:\Tex\TEX_20260224_182530\TZP_OO_V1_S02_Structural_Axioms_of_TZP_Dynamics_v1_0.tex,17,7da713167f3075112d4b6031d9d5d0e5e8089f8b
2,cand_002_axiom_axiomatic_foundations_of_the_helical_holographi,axiom_claim,registered_axiom,Axiom,140,Axiomatic Foundations of the Helical--Holographic TZPQVT Framework,D:\Tex\TEX_20260224_182530\TZP_OO_V1_S02_Structural_Axioms_of_TZP_Dynamics_v1_0.tex,13,e799a0ea8bf0112e7f05ee205da535ae8954ee72
3,cand_003_axiom_axiom_ii_trawin_transition_hamiltonian,axiom_claim,registered_axiom,Axiom,137,Axiom II: Trawin Transition Hamiltonian,D:\Tex\TEX_20260224_182530\TZP_OO_V1_S02_Structural_Axioms_of_TZP_Dynamics_v1_0.tex,51,7c2d0295d6746922366b262089de226281f376ec
4,cand_004_axiom_axiom_i_helical_spacetime_embedding,axiom_claim,registered_axiom,Axiom,136,Axiom I: Helical Spacetime Embedding,D:\Tex\TEX_20260224_182530\TZP_OO_V1_S02_Structural_Axioms_of_TZP_Dynamics_v1_0.tex,15,0764c0de9acc427d4490b04edcfbc3349adc7c26
5,cand_005_theorem_lemma_trawinisticmanifold_sorry_theorem_trawini,theorem_claim,registered_theorem,Theorem,135,lemma trawinisticmanifold: sorry theorem trawinisticmanifold : Prop Theorem trawinisticmanifold :,D:\Zenodo\Trawin_Zero_Point_100_Primary.pdf,234,ad99953822ae4e4c25079c9450502b5bf0d3881d
6,cand_006_axiom_tzp_uniqueness,axiom_claim,registered_axiom,Axiom,133,TZP Uniqueness,D:\Tex\TEX_20260224_182530\TZP_OO_Volume1_Canonical_Master.tex,165,22c0eef2c7f502d00599585ff283b681767ae9fd
7,cand_007_axiom_axiom_iii_lindblad_master_equation,axiom_claim,registered_axiom,Axiom,132,Axiom III (Lindblad Master Equation).,D:\Tex\TEX_20260224_182530\TZP_OO_V1_S02_Structural_Axioms_of_TZP_Dynamics_v1_0.tex,148,f1fbd8a31a45bc6a3c6e85d31da494abbee457ae
8,cand_008_theorem_lemma_tzptopologicalcharge_sorry_theorem_tzptop,theorem_claim,registered_theorem,Theorem,132,lemma tzptopologicalcharge: sorry theorem tzptopologicalcharge : Theorem tzptopologicalcharge :,D:\Zenodo\Trawin_Zero_Point_100_Primary.pdf,2180,d8d9e2f9c13747202c80db62da3e8369621fa40c
9,cand_009_theorem_lemma_manifoldcurvature_sorry_theorem_manifoldc,theorem_claim,registered_theorem,Theorem,128,lemma manifoldcurvature: sorry theorem manifoldcurvature : Prop Theorem manifoldcurvature : Prop.,D:\Zenodo\Trawin_Zero_Point_100_Primary.pdf,1457,9c4b0eceb466ee0c49bf030a501f2d1fccecf82f
10,cand_010_theorem_lemma_tzpcurvaturesingularity_theorem_tzpcurvat,theorem_claim,registered_theorem,Theorem,127,lemma tzpcurvaturesingularity: theorem tzpcurvaturesingularity : Theorem tzpcurvaturesingularity :,D:\Zenodo\Trawin_Zero_Point_100_Primary.pdf,1931,8544c935f6836f46e3ea84755128b4ede3148859
11,cand_011_axiom_axiom_ii_trawin_transition_hamiltonian,axiom_claim,registered_axiom,Axiom,126,Axiom II: Trawin Transition Hamiltonian,D:\Tex\00_Engine_extractions\axiom.tex,43,e42d0582d0406c68aa27fa5a33abd66e6a14345b
12,cand_012_theorem_lemma_gyromagneticcoupling_sorry_theorem_gyroma,theorem_claim,registered_theorem,Theorem,126,lemma gyromagneticcoupling: sorry theorem gyromagneticcoupling : Theorem gyromagneticcoupling :,D:\Zenodo\Trawin_Zero_Point_100_Primary.pdf,3840,b0611d4069b0d80c2e744473c2aeafd04eca07cf
13,cand_013_theorem_lemma_trawinisticwindingnumber_theorem_trawinis,theorem_claim,registered_theorem,Theorem,126,lemma trawinisticwindingnumber: theorem trawinisticwindingnumber : Theorem trawinisticwindingnumber :,D:\Zenodo\Trawin_Zero_Point_100_Primary.pdf,1771,127437c0fa43949a065ee42dfd0d4c87010a4a44
14,cand_014_theorem_lemma_tzpvacuumenergydensity_theorem_tzpvacuume,theorem_claim,registered_theorem,Theorem,125,lemma tzpvacuumenergydensity: theorem tzpvacuumenergydensity : Theorem tzpvacuumenergydensity :,D:\Zenodo\Trawin_Zero_Point_100_Primary.pdf,2090,5ce9c99ffd217397790e66c0b4a9dab81f1e5d3a
15,cand_015_axiom_id_0550_the_trawin_zero_point_tzp_existence_a,axiom_claim,registered_axiom,Axiom,124,ID 0550: THE TRAWIN ZERO POINT (TZP) EXISTENCE AXIOM,D:\Tex\TEX_20260224_182530\CanonicalRegistryVol01_1_math_verify_run_5.tex,1795,c90d9aeca7f867e5b11477b8adbc05f12ac5a5b0
16,cand_016_axiom_structural_axioms_of_tzp_dynamics,axiom_claim,registered_axiom,Axiom,124,Structural Axioms of TZP Dynamics,D:\Tex\TEX_20260224_182530\TZP_OO_V1_S02_Structural_Axioms_of_TZP_Dynamics_v1_0.tex,6,8c8d450fde6032895cfdee9be695357bb640938b
17,cand_017_axiom_id_550_the_trawin_zero_point_tzp_existence_a,axiom_claim,registered_axiom,Axiom,124,[ID 550] THE TRAWIN ZERO POINT (TZP) EXISTENCE AXIOM,D:\Tex\CanonicalRegistryVol01.tex,2570,b9334f28d3c1d29e0eb97da9b78ddc78a1e9655a
18,cand_018_theorem_lemma_leastactiontzp_sorry_theorem_leastactiont,theorem_claim,registered_theorem,Theorem,124,lemma leastactiontzp: sorry theorem leastactiontzp : Prop := Theorem leastactiontzp : Prop.,D:\Zenodo\Trawin_Zero_Point_100_Primary.pdf,2848,8aeea4c8c8b8f2052b5a7bec97ddd3581764c3e5
19,cand_019_axiom_axiom_vii_helical_projection_to_daansphere,axiom_claim,registered_axiom,Axiom,122,Axiom VII (Helical Projection to DAANSphere).,D:\Tex\TEX_20260224_182530\TZP_OO_V1_S02_Structural_Axioms_of_TZP_Dynamics_v1_0.tex,334,ecc03c96f2aa8d384cc220e74f6b15c5dcf399fc
20,cand_020_definition_trawin_zero_point_tzp,definition_claim,registered_definition,Definition,122,Trawin Zero Point (TZP),D:\Tex\TEX_20260224_182530\TZP_OO_V1_S01_Definition_of_the_Trawin_Zero_Point_v1_0.tex,8,1aa2ecc00018473fec1d10bd23b6eaba79604220
21,cand_021_theorem_lemma_helicityscaleconstraint_theorem_helicitys,theorem_claim,registered_theorem,Theorem,122,lemma helicityscaleconstraint: theorem helicityscaleconstraint : Theorem helicityscaleconstraint :,D:\Zenodo\Trawin_Zero_Point_100_Primary.pdf,3592,e9c82d73e8e654259deb44ce47bf5df84aa9e358
22,cand_022_theorem_lemma_topologicalquantumstates_theorem_topologi,theorem_claim,registered_theorem,Theorem,121,lemma topologicalquantumstates: theorem topologicalquantumstates : Theorem topologicalquantumstates :,D:\Zenodo\Trawin_Zero_Point_100_Primary.pdf,5600,34ec5571daa3f255e27feab543aedf5bf82664ce
23,cand_023_theorem_lemma_tzposcillator_sorry_theorem_tzposcillator,theorem_claim,registered_theorem,Theorem,121,lemma tzposcillator: sorry theorem tzposcillator : Prop := by Theorem tzposcillator : Prop.,D:\Zenodo\Trawin_Zero_Point_100_Primary.pdf,4464,98a5806606c7f55fa2bdc17e994972897501becc
24,cand_024_theorem_lemma_tzpstability_sorry_theorem_tzpstability,theorem_claim,registered_theorem,Theorem,121,lemma tzpstability: sorry theorem tzpstability : Prop := by Theorem tzpstability : Prop.,D:\Zenodo\Trawin_Zero_Point_100_Primary.pdf,535,65687ebe8a9b4f7baf0bd5cbc870fc655ecef5e2
