rank,isabelle_name,claim_type,kind,score,title,source,line,candidate_digest,semantic_anchor_id,semantic_anchor_title,semantic_score,semantic_digest,obligation_role,semantic_tags,required_checks,dependency_degree,has_parsed_equation,obligation_digest
1,cand_001_axiom_axiom_i_helical_spacetime_structure,axiom_claim,Axiom,156,Axiom I (Helical Spacetime Structure).,D:\Tex\TEX_20260224_182530\TZP_OO_V1_S02_Structural_Axioms_of_TZP_Dynamics_v1_0.tex,17,7da713167f3075112d4b6031d9d5d0e5e8089f8b,ID0113,Helical Spacetime Embedding Axiom,1200,ad8b7404716fcc2037da73c8e22f18a2bcfc3ea3,Core_Axiom,trawin_operator;helical_geometry;holographic_duality;hamiltonian_dynamics;field_geometry;daansphere_encoding,core_spine_alignment;dependency_coverage;semantic_grounding,0,no,7279d5bee35c253811d72f0a7a4625a59f593ece
2,cand_002_axiom_axiomatic_foundations_of_the_helical_holographi,axiom_claim,Axiom,140,Axiomatic Foundations of the Helical--Holographic TZPQVT Framework,D:\Tex\TEX_20260224_182530\TZP_OO_V1_S02_Structural_Axioms_of_TZP_Dynamics_v1_0.tex,13,e799a0ea8bf0112e7f05ee205da535ae8954ee72,ID9579,Einstein–Rosen Topology Term: widehatH_ER,1200,22f66ec7159d01ddd8e46a25c70e1fd91d33ecc6,Core_Axiom,tzp_foundation;trawin_operator;helical_geometry;holographic_duality,core_spine_alignment;dependency_coverage;semantic_grounding,0,yes,b255c2f9832a010a2b4d55c36fa78dd6420ce4f6
3,cand_003_axiom_axiom_ii_trawin_transition_hamiltonian,axiom_claim,Axiom,137,Axiom II: Trawin Transition Hamiltonian,D:\Tex\TEX_20260224_182530\TZP_OO_V1_S02_Structural_Axioms_of_TZP_Dynamics_v1_0.tex,51,7c2d0295d6746922366b262089de226281f376ec,ID0030,TZP-Modified Hamiltonian Operator,1200,729d343917d788c4d29ec411e6dd4cf6dc7deea6,Core_Axiom,tzp_foundation;trawin_operator;helical_geometry;hamiltonian_dynamics;quantum_limit;thermodynamic,core_spine_alignment;dependency_coverage;scale_transition_check;semantic_grounding;thermodynamic_consistency,0,yes,46c9b29ddc07980038ddcfc5cd821d3ba15037b0
4,cand_004_axiom_axiom_i_helical_spacetime_embedding,axiom_claim,Axiom,136,Axiom I: Helical Spacetime Embedding,D:\Tex\TEX_20260224_182530\TZP_OO_V1_S02_Structural_Axioms_of_TZP_Dynamics_v1_0.tex,15,0764c0de9acc427d4490b04edcfbc3349adc7c26,ID0113,Helical Spacetime Embedding Axiom,1200,ad8b7404716fcc2037da73c8e22f18a2bcfc3ea3,Core_Axiom,helical_geometry;holographic_duality;field_geometry;daansphere_encoding,core_spine_alignment;dependency_coverage;semantic_grounding,0,no,5748e5a0b9efc089161561b9d496ae089ac4fdf7
5,cand_005_theorem_lemma_trawinisticmanifold_sorry_theorem_trawini,theorem_claim,Theorem,135,lemma trawinisticmanifold: sorry theorem trawinisticmanifold : Prop Theorem trawinisticmanifold :,D:\Zenodo\Trawin_Zero_Point_100_Primary.pdf,234,ad99953822ae4e4c25079c9450502b5bf0d3881d,ID0000,Existence and Uniqueness of the Trawin Zero Point,1000,67b690e7c70733b8eaadc582c69bcb598d574215,Needs_Semantic_Translation,tzp_foundation;trawin_operator;helical_geometry;holographic_duality;field_geometry;topological_invariant;macro_reduction,dependency_coverage;scale_transition_check;semantic_grounding,0,yes,d336693a7018af17e441080c139a75bca6b5293b
6,cand_006_axiom_tzp_uniqueness,axiom_claim,Axiom,133,TZP Uniqueness,D:\Tex\TEX_20260224_182530\TZP_OO_Volume1_Canonical_Master.tex,165,22c0eef2c7f502d00599585ff283b681767ae9fd,ID0000,Existence and Uniqueness of the Trawin Zero Point,1200,67b690e7c70733b8eaadc582c69bcb598d574215,Core_Axiom,tzp_foundation;trawin_operator;field_geometry;topological_invariant;macro_reduction,core_spine_alignment;dependency_coverage;scale_transition_check;semantic_grounding,0,yes,a9d384437e50f85bba18a94a333c415dca1aaca0
7,cand_007_axiom_axiom_iii_lindblad_master_equation,axiom_claim,Axiom,132,Axiom III (Lindblad Master Equation).,D:\Tex\TEX_20260224_182530\TZP_OO_V1_S02_Structural_Axioms_of_TZP_Dynamics_v1_0.tex,148,f1fbd8a31a45bc6a3c6e85d31da494abbee457ae,ID0066,Multipartite Entanglement FractalNodes,1200,9456822952f96bead3bf429b159a235165d16f7d,Core_Axiom,trawin_operator;helical_geometry;hamiltonian_dynamics;field_geometry;topological_invariant;quantum_limit;macro_reduction;thermodynamic,core_spine_alignment;dependency_coverage;scale_transition_check;semantic_grounding;thermodynamic_consistency,0,yes,4075b0e2fb99031b1ff4605c6d77cf6a8338d6d2
8,cand_008_theorem_lemma_tzptopologicalcharge_sorry_theorem_tzptop,theorem_claim,Theorem,132,lemma tzptopologicalcharge: sorry theorem tzptopologicalcharge : Theorem tzptopologicalcharge :,D:\Zenodo\Trawin_Zero_Point_100_Primary.pdf,2180,d8d9e2f9c13747202c80db62da3e8369621fa40c,ID0017,Trawinistic Connection,1000,86ca00f7b51e8cb518d9c909e3968709ac956997,Needs_Semantic_Translation,tzp_foundation;trawin_operator;helical_geometry;field_geometry;topological_invariant;macro_reduction,dependency_coverage;scale_transition_check;semantic_grounding,0,yes,ee1257dd89b4a120b9d4d44cd52f3287065e408c
9,cand_009_theorem_lemma_manifoldcurvature_sorry_theorem_manifoldc,theorem_claim,Theorem,128,lemma manifoldcurvature: sorry theorem manifoldcurvature : Prop Theorem manifoldcurvature : Prop.,D:\Zenodo\Trawin_Zero_Point_100_Primary.pdf,1457,9c4b0eceb466ee0c49bf030a501f2d1fccecf82f,ID0002,Trawinistic Manifold,1000,af4165852cb2a0192f7731a27e300b6b2c2a1754,Needs_Semantic_Translation,tzp_foundation;trawin_operator;helical_geometry;field_geometry;macro_reduction,dependency_coverage;scale_transition_check;semantic_grounding,0,no,dfe97485a760aecf0ab57e8f784d0f3aa3fb60dd
10,cand_010_theorem_lemma_tzpcurvaturesingularity_theorem_tzpcurvat,theorem_claim,Theorem,127,lemma tzpcurvaturesingularity: theorem tzpcurvaturesingularity : Theorem tzpcurvaturesingularity :,D:\Zenodo\Trawin_Zero_Point_100_Primary.pdf,1931,8544c935f6836f46e3ea84755128b4ede3148859,ID0016,Manifold Curvature (TZP Condition),1000,e3e4ec7e52eb1099cdd02774ce38b0e85a4086c8,Needs_Semantic_Translation,tzp_foundation;trawin_operator;field_geometry;topological_invariant;macro_reduction,dependency_coverage;scale_transition_check;semantic_grounding,0,yes,cc94b0c06a2407679a5c1d2be78d5be8f984ebfa
11,cand_011_axiom_axiom_ii_trawin_transition_hamiltonian,axiom_claim,Axiom,126,Axiom II: Trawin Transition Hamiltonian,D:\Tex\00_Engine_extractions\axiom.tex,43,e42d0582d0406c68aa27fa5a33abd66e6a14345b,ID0030,TZP-Modified Hamiltonian Operator,1200,729d343917d788c4d29ec411e6dd4cf6dc7deea6,Core_Axiom,tzp_foundation;trawin_operator;hamiltonian_dynamics;quantum_limit;thermodynamic,core_spine_alignment;dependency_coverage;scale_transition_check;semantic_grounding;thermodynamic_consistency,0,yes,3b1e0509c7cf146233fa9c3083cd572f9a3a7cc9
12,cand_012_theorem_lemma_gyromagneticcoupling_sorry_theorem_gyroma,theorem_claim,Theorem,126,lemma gyromagneticcoupling: sorry theorem gyromagneticcoupling : Theorem gyromagneticcoupling :,D:\Zenodo\Trawin_Zero_Point_100_Primary.pdf,3840,b0611d4069b0d80c2e744473c2aeafd04eca07cf,ID0044,(μ ∝ M R^2Ω) Universal Scaling Law,1000,a6a39bae1f079faada059d3f3b67f5efc5933dd3,Needs_Semantic_Translation,trawin_operator;topological_invariant;quantum_limit;macro_reduction;daansphere_encoding;gyromagnetic,dependency_coverage;scale_transition_check;semantic_grounding,0,yes,d90e2df4865b607bdc05123ac7a54fde6f96f204
13,cand_013_theorem_lemma_trawinisticwindingnumber_theorem_trawinis,theorem_claim,Theorem,126,lemma trawinisticwindingnumber: theorem trawinisticwindingnumber : Theorem trawinisticwindingnumber :,D:\Zenodo\Trawin_Zero_Point_100_Primary.pdf,1771,127437c0fa43949a065ee42dfd0d4c87010a4a44,ID0020,Trawinistic Winding Number,1200,123843a0cd77f080f9778b6050788663c5c729fe,Needs_Semantic_Translation,trawin_operator;helical_geometry;field_geometry;topological_invariant;quantum_limit;macro_reduction,dependency_coverage;scale_transition_check;semantic_grounding,0,yes,5ab0aa7c57d191232c42b225d3e97518718f605f
14,cand_014_theorem_lemma_tzpvacuumenergydensity_theorem_tzpvacuume,theorem_claim,Theorem,125,lemma tzpvacuumenergydensity: theorem tzpvacuumenergydensity : Theorem tzpvacuumenergydensity :,D:\Zenodo\Trawin_Zero_Point_100_Primary.pdf,2090,5ce9c99ffd217397790e66c0b4a9dab81f1e5d3a,ID0006,Trawin Base Unit,1000,a41de5e9b9a7d50e0de84fa74f0f48942579901a,Needs_Semantic_Translation,tzp_foundation;trawin_operator;helical_geometry;field_geometry;topological_invariant;macro_reduction,dependency_coverage;scale_transition_check;semantic_grounding,0,yes,59ff63456c8c4e81d39cee552b4f97bb05b1ab65
15,cand_015_axiom_id_0550_the_trawin_zero_point_tzp_existence_a,axiom_claim,Axiom,124,ID 0550: THE TRAWIN ZERO POINT (TZP) EXISTENCE AXIOM,D:\Tex\TEX_20260224_182530\CanonicalRegistryVol01_1_math_verify_run_5.tex,1795,c90d9aeca7f867e5b11477b8adbc05f12ac5a5b0,ID0000,Existence and Uniqueness of the Trawin Zero Point,1200,67b690e7c70733b8eaadc582c69bcb598d574215,Core_Axiom,tzp_foundation;trawin_operator;field_geometry;macro_reduction,core_spine_alignment;dependency_coverage;scale_transition_check;semantic_grounding,0,yes,5d62a82d50f1ffe9fdb51a7fe9a4dd62dada82f6
16,cand_016_axiom_structural_axioms_of_tzp_dynamics,axiom_claim,Axiom,124,Structural Axioms of TZP Dynamics,D:\Tex\TEX_20260224_182530\TZP_OO_V1_S02_Structural_Axioms_of_TZP_Dynamics_v1_0.tex,6,8c8d450fde6032895cfdee9be695357bb640938b,ID9999,Violation of Flat Universe Cosmology: Ω_k Neq 0,24,b9c22f15903583d7952590cbcd3b5dcd876cd393,Core_Axiom,tzp_foundation;trawin_operator;helical_geometry;holographic_duality;hamiltonian_dynamics;field_geometry;topological_invariant;quantum_limit;macro_reduction;daansphere_encoding;gyromagnetic;thermodynamic,core_spine_alignment;dependency_coverage;scale_transition_check;semantic_grounding;thermodynamic_consistency,0,yes,c710d3e682ab29232accdcc49bd527fbf3c6e864
17,cand_017_axiom_id_550_the_trawin_zero_point_tzp_existence_a,axiom_claim,Axiom,124,[ID 550] THE TRAWIN ZERO POINT (TZP) EXISTENCE AXIOM,D:\Tex\CanonicalRegistryVol01.tex,2570,b9334f28d3c1d29e0eb97da9b78ddc78a1e9655a,ID0000,Existence and Uniqueness of the Trawin Zero Point,1200,67b690e7c70733b8eaadc582c69bcb598d574215,Core_Axiom,tzp_foundation;trawin_operator;field_geometry;macro_reduction,core_spine_alignment;dependency_coverage;scale_transition_check;semantic_grounding,0,yes,e082e9a3bf5fa19a34b31d1ad5c95b6ff841224e
18,cand_018_theorem_lemma_leastactiontzp_sorry_theorem_leastactiont,theorem_claim,Theorem,124,lemma leastactiontzp: sorry theorem leastactiontzp : Prop := Theorem leastactiontzp : Prop.,D:\Zenodo\Trawin_Zero_Point_100_Primary.pdf,2848,8aeea4c8c8b8f2052b5a7bec97ddd3581764c3e5,ID0032,Action Functional on Trawinistic Manifolds,1000,a0a8c8eb7bb9c294ec2f491b13e32f087065e60e,Needs_Semantic_Translation,tzp_foundation;trawin_operator;holographic_duality;field_geometry;macro_reduction,dependency_coverage;scale_transition_check;semantic_grounding,0,no,0863d1d5614d13c775e5cb90209d4ae487d6305b
19,cand_019_axiom_axiom_vii_helical_projection_to_daansphere,axiom_claim,Axiom,122,Axiom VII (Helical Projection to DAANSphere).,D:\Tex\TEX_20260224_182530\TZP_OO_V1_S02_Structural_Axioms_of_TZP_Dynamics_v1_0.tex,334,ecc03c96f2aa8d384cc220e74f6b15c5dcf399fc,ID9564,Helical Projection Functor,1200,3638100e1783fc47cd94902f8f50a02a78671bf0,Core_Axiom,tzp_foundation;trawin_operator;helical_geometry;daansphere_encoding;gyromagnetic,core_spine_alignment;dependency_coverage;semantic_grounding,0,yes,33999cbb2eb87660e8ca3b63134fa17a2d00d829
20,cand_020_definition_trawin_zero_point_tzp,definition_claim,Definition,122,Trawin Zero Point (TZP),D:\Tex\TEX_20260224_182530\TZP_OO_V1_S01_Definition_of_the_Trawin_Zero_Point_v1_0.tex,8,1aa2ecc00018473fec1d10bd23b6eaba79604220,ID9999,Violation of Flat Universe Cosmology: Ω_k Neq 0,51,b9c22f15903583d7952590cbcd3b5dcd876cd393,Core_Definition,tzp_foundation;trawin_operator;helical_geometry;holographic_duality;hamiltonian_dynamics;field_geometry;topological_invariant;quantum_limit;macro_reduction;daansphere_encoding;gyromagnetic;thermodynamic,core_spine_alignment;dependency_coverage;scale_transition_check;semantic_grounding;thermodynamic_consistency,0,yes,35a6a84292ca4e5956a8d3ad879d3c85349b13f7
21,cand_021_theorem_lemma_helicityscaleconstraint_theorem_helicitys,theorem_claim,Theorem,122,lemma helicityscaleconstraint: theorem helicityscaleconstraint : Theorem helicityscaleconstraint :,D:\Zenodo\Trawin_Zero_Point_100_Primary.pdf,3592,e9c82d73e8e654259deb44ce47bf5df84aa9e358,ID0041,Topological Helicity Quantisation,1000,37c6b375ccadd2e54b3a1711e4c513d861ccff3d,Needs_Semantic_Translation,tzp_foundation;trawin_operator;helical_geometry;holographic_duality;topological_invariant;macro_reduction;gyromagnetic,dependency_coverage;scale_transition_check;semantic_grounding,0,no,fd8b6fd5f5924c3e6632488943a9b94ed3c2437a
22,cand_022_theorem_lemma_topologicalquantumstates_theorem_topologi,theorem_claim,Theorem,121,lemma topologicalquantumstates: theorem topologicalquantumstates : Theorem topologicalquantumstates :,D:\Zenodo\Trawin_Zero_Point_100_Primary.pdf,5600,34ec5571daa3f255e27feab543aedf5bf82664ce,ID0065,Entanglement Structure,1000,72012ad3a9cde87d45d9b427280cb494b6902f4a,Needs_Semantic_Translation,trawin_operator;helical_geometry;field_geometry;topological_invariant;quantum_limit;macro_reduction,dependency_coverage;scale_transition_check;semantic_grounding,0,yes,315f71b98321c4c00b20be7663ffdc38f7896669
23,cand_023_theorem_lemma_tzposcillator_sorry_theorem_tzposcillator,theorem_claim,Theorem,121,lemma tzposcillator: sorry theorem tzposcillator : Prop := by Theorem tzposcillator : Prop.,D:\Zenodo\Trawin_Zero_Point_100_Primary.pdf,4464,98a5806606c7f55fa2bdc17e994972897501becc,ID0030,TZP-Modified Hamiltonian Operator,1000,729d343917d788c4d29ec411e6dd4cf6dc7deea6,Needs_Semantic_Translation,tzp_foundation;trawin_operator;holographic_duality;hamiltonian_dynamics;field_geometry;quantum_limit;macro_reduction;thermodynamic,dependency_coverage;scale_transition_check;semantic_grounding;thermodynamic_consistency,0,yes,784f15a3f8849589ec43a6d8412b2989aa0c5e88
24,cand_024_theorem_lemma_tzpstability_sorry_theorem_tzpstability,theorem_claim,Theorem,121,lemma tzpstability: sorry theorem tzpstability : Prop := by Theorem tzpstability : Prop.,D:\Zenodo\Trawin_Zero_Point_100_Primary.pdf,535,65687ebe8a9b4f7baf0bd5cbc870fc655ecef5e2,ID0000,Existence and Uniqueness of the Trawin Zero Point,1000,67b690e7c70733b8eaadc582c69bcb598d574215,Needs_Semantic_Translation,tzp_foundation;trawin_operator;helical_geometry;field_geometry;topological_invariant;macro_reduction;daansphere_encoding,dependency_coverage;scale_transition_check;semantic_grounding,0,yes,8e143c0d9d4e50915bd7430a780763a26c5b9e39
25,cand_025_definition_trawin_zero_point_quantum_vortex_system_tzpqvs,definition_claim,Definition,120,Trawin Zero Point Quantum Vortex System (\TZPQVS),D:\Tex\All_tex\00_Canon_00_TRAWIN_definition.tex,42,3105b482909446b7218a720613c33e15e2ba3c4d,ID9999,Violation of Flat Universe Cosmology: Ω_k Neq 0,44,b9c22f15903583d7952590cbcd3b5dcd876cd393,Core_Definition,tzp_foundation;trawin_operator;helical_geometry;holographic_duality;hamiltonian_dynamics;field_geometry;topological_invariant;quantum_limit;macro_reduction;daansphere_encoding;gyromagnetic;thermodynamic,core_spine_alignment;dependency_coverage;scale_transition_check;semantic_grounding;thermodynamic_consistency,0,yes,7a244a50692ceaf5d43afebe9a5e4bb73452dbea
26,cand_026_theorem_lemma_quantuminformationunits_theorem_quantumin,theorem_claim,Theorem,120,lemma quantuminformationunits: theorem quantuminformationunits : Theorem quantuminformationunits :,D:\Zenodo\Trawin_Zero_Point_100_Primary.pdf,5833,c9ef803c41ce52ba084cdd14b7f48f20567c9cf9,ID0065,Entanglement Structure,1000,72012ad3a9cde87d45d9b427280cb494b6902f4a,Needs_Semantic_Translation,trawin_operator;field_geometry;topological_invariant;quantum_limit;macro_reduction;daansphere_encoding,dependency_coverage;scale_transition_check;semantic_grounding,0,yes,207ce50b90c4c5a32b391a3b509130939a75919d
27,cand_027_theorem_lemma_causalloopinvariant_sorry_theorem_causall,theorem_claim,Theorem,119,lemma causalloopinvariant: sorry theorem causalloopinvariant : Theorem causalloopinvariant :,D:\Zenodo\Trawin_Zero_Point_100_Primary.pdf,1034,76b4e043d2d98b3627d81c6abf08b876eea4af20,ID0002,Trawinistic Manifold,1000,af4165852cb2a0192f7731a27e300b6b2c2a1754,Needs_Semantic_Translation,tzp_foundation;trawin_operator;helical_geometry;field_geometry;topological_invariant;quantum_limit;macro_reduction,dependency_coverage;scale_transition_check;semantic_grounding,0,no,b15fff5818595335ac1dc3f3ef67646bb561c528
28,cand_028_theorem_lemma_fieldequationstrawinistic_theorem_fieldeq,theorem_claim,Theorem,119,lemma fieldequationstrawinistic: theorem fieldequationstrawinistic Theorem fieldequationstrawinistic,D:\Zenodo\Trawin_Zero_Point_100_Primary.pdf,2934,f5a8956f438be177b30a1caeb78c87f7e077e172,ID0017,Trawinistic Connection,1000,86ca00f7b51e8cb518d9c909e3968709ac956997,Needs_Semantic_Translation,tzp_foundation;trawin_operator;field_geometry;quantum_limit;macro_reduction,dependency_coverage;scale_transition_check;semantic_grounding,0,yes,9a148bdf2aa9546f0eb15265bedde625f6bf1fda
29,cand_029_theorem_lemma_stochasticdriftmagnitude_theorem_stochast,theorem_claim,Theorem,119,lemma stochasticdriftmagnitude: theorem stochasticdriftmagnitude : Theorem stochasticdriftmagnitude :,D:\Zenodo\Trawin_Zero_Point_100_Primary.pdf,955,8548f92b7afdf3477c2dee6e399ed3dfead730fa,ID0004,Metric Degeneracy Condition,1000,d4d237ed2614079b65542488a706d994a9dcec78,Needs_Semantic_Translation,tzp_foundation;trawin_operator;field_geometry;topological_invariant;macro_reduction,dependency_coverage;scale_transition_check;semantic_grounding,0,no,4ca9484113175b851349bec95bd2bc214923bf2f
30,cand_030_theorem_lemma_trawinbaseunit_sorry_theorem_trawinbaseun,theorem_claim,Theorem,119,lemma trawinbaseunit: sorry theorem trawinbaseunit : Prop := Theorem trawinbaseunit : Prop.,D:\Zenodo\Trawin_Zero_Point_100_Primary.pdf,620,d4fc331fc4ab203b28281056c8dfb27082710b9e,ID0002,Trawinistic Manifold,1000,af4165852cb2a0192f7731a27e300b6b2c2a1754,Needs_Semantic_Translation,tzp_foundation;trawin_operator;helical_geometry;field_geometry;topological_invariant;macro_reduction,dependency_coverage;scale_transition_check;semantic_grounding,0,no,1687501eb47fc1ec21509dee90ad05a98c7dbaef
31,cand_031_theorem_lemma_spectraldensityindex_sorry_theorem_spectr,theorem_claim,Theorem,117,lemma spectraldensityindex: sorry theorem spectraldensityindex : Theorem spectraldensityindex :,D:\Zenodo\Trawin_Zero_Point_100_Primary.pdf,1376,9695a591663c8ee687b2058c28ce6e4f58fff391,ID0006,Trawin Base Unit,1000,a41de5e9b9a7d50e0de84fa74f0f48942579901a,Needs_Semantic_Translation,tzp_foundation;trawin_operator;field_geometry;topological_invariant;macro_reduction,dependency_coverage;scale_transition_check;semantic_grounding,0,yes,3fdf0d7cef7169899d3cea866600c4c7456a1a7e
