isabelle_sid,source_id,kind,label,source,line,digest
1,A1,Axiom,ID0113: Helical Spacetime Embedding Axiom,TZPID_ALL_IDS_CANONICAL_EQUATION_MASTER_with_export.csv#ID0113,115,98fc2dbf5dd295895efb7dab61a2ea83b8c3ec3a
2,A2,Axiom,ID0136: Celestial Gyromagnetic Motion Axiom,TZPID_ALL_IDS_CANONICAL_EQUATION_MASTER_with_export.csv#ID0136,138,9055693143fe91bd493b960f90fce4e9b162ed48
3,A3,Axiom,ID0228: Hyperspherical Zero-Point Vacuum Axiom,TZPID_ALL_IDS_CANONICAL_EQUATION_MASTER_with_export.csv#ID0228,230,3f670abb95b629de68da4116dcda911d19d7475a
4,A4,Axiom,ID0539: THE Pi-Kissing Manifold AXIOM,TZPID_ALL_IDS_CANONICAL_EQUATION_MASTER_with_export.csv#ID0539,541,01651f7043cb494fbe0c581cefb0e373b60e3f64
5,A5,Axiom,ID0550: The Trawin Zero Point (Tzp) Existence Axiom,TZPID_ALL_IDS_CANONICAL_EQUATION_MASTER_with_export.csv#ID0550,552,af437191dc48042a7af9612be29a726db1dcbef5
6,A6,Axiom,ID0646: Energy Conservation Transcendence Axiom,TZPID_ALL_IDS_CANONICAL_EQUATION_MASTER_with_export.csv#ID0646,648,b671e5a0104ad8176a0e67404a2c1cb28e9e7afa
7,A7,Axiom,ID0697: Celestial Gyromagnetic Motion Axiom,TZPID_ALL_IDS_CANONICAL_EQUATION_MASTER_with_export.csv#ID0697,699,e5d8dc89531ebee67001f04fc0e0d5add0064aed
8,A8,Axiom,ID0698: Celestial Gyromagnetic Motion Axiom,TZPID_ALL_IDS_CANONICAL_EQUATION_MASTER_with_export.csv#ID0698,700,791f6fec93c572d2ee81bd8ff5b7909b42321e36
9,A9,Axiom,ID0975: Energy Conservation Transcendence Axiom,TZPID_ALL_IDS_CANONICAL_EQUATION_MASTER_with_export.csv#ID0975,976,dde1395598eb104a57a7d75a1f1ebecef98ff56a
10,A10,Axiom,ID1417: Gyromagnetic Genesis Axiom (Local Field Coupling),TZPID_ALL_IDS_CANONICAL_EQUATION_MASTER_with_export.csv#ID1417,1415,648ebc0dc3e1d511a0b2493b6bb02dddf75949bb
11,A11,Axiom,ID1430: THE π-Kissing Manifold AXIOM,TZPID_ALL_IDS_CANONICAL_EQUATION_MASTER_with_export.csv#ID1430,1428,d2409286c2747f3cb4c38dd53670978256f583c2
12,A12,Axiom,ID1432: The Trawin Zero Point (Tzp) Existence Axiom,TZPID_ALL_IDS_CANONICAL_EQUATION_MASTER_with_export.csv#ID1432,1430,55ad88598a8ad690bbe1f0e7d2119a911b7adeac
13,A13,Axiom,ID1478: Tzpqvt Mathematical Compendium,TZPID_ALL_IDS_CANONICAL_EQUATION_MASTER_with_export.csv#ID1478,1476,0d0905ed4e87e9bb89a8c0031e3c11e871ae8c03
14,A14,Axiom,ID1629: Axiom Theorem Graph,TZPID_ALL_IDS_CANONICAL_EQUATION_MASTER_with_export.csv#ID1629,1627,42324e0fdd7e3a27baaac7d48d168ea624fde87d
15,A15,Axiom,ID1636: Axiom,TZPID_ALL_IDS_CANONICAL_EQUATION_MASTER_with_export.csv#ID1636,1634,f16a88576e15bc50080a57c8f25dc1c1c81e0e35
16,A16,Axiom,ID1800: The Canonical Axioms of the Trawin Zero Point,TZPID_ALL_IDS_CANONICAL_EQUATION_MASTER_with_export.csv#ID1800,1798,0e8b6c37fa8c401d1a892d7cb5e6f3ccf1f49648
17,A17,Axiom,ID1914: EID_0249 Helicity Coupling Source,TZPID_ALL_IDS_CANONICAL_EQUATION_MASTER_with_export.csv#ID1914,1912,4b885caca71f115488bb826e4c40863a844ce0fa
18,A18,Axiom,ID1926: EID_0551 Topological Geometry Source,TZPID_ALL_IDS_CANONICAL_EQUATION_MASTER_with_export.csv#ID1926,1924,d8b28fd402bd54576398698295b5919d0ab8c6ce
19,A19,Axiom,ID3702: Scale Invariant Relation,TZPID_ALL_IDS_CANONICAL_EQUATION_MASTER_with_export.csv#ID3702,3327,0c079a94d762ce651d693136a2ceaefd4b240f67
20,A20,Axiom,ID4065: Scale Invariant Relation,TZPID_ALL_IDS_CANONICAL_EQUATION_MASTER_with_export.csv#ID4065,3682,98f0836d83cd4f476d85e34cec472345c7e80544
21,A21,Axiom,ID4407: Stress-Energy Tensor,TZPID_ALL_IDS_CANONICAL_EQUATION_MASTER_with_export.csv#ID4407,4024,124a47b1661657577d22f27316904c3392d32d0c
22,A22,Axiom,ID5157: Scale Invariant Relation,TZPID_ALL_IDS_CANONICAL_EQUATION_MASTER_with_export.csv#ID5157,4772,43142edd21f981025e730b600fd0745ea20e8666
23,A23,Axiom,ID5160: Scale Invariant Relation,TZPID_ALL_IDS_CANONICAL_EQUATION_MASTER_with_export.csv#ID5160,4775,4386069ddd0727a0bd6e537509fae344dc75ec6b
24,A24,Axiom,ID8474: GYROMAGNETIC GENESIS AXIOM Canonical Statutory Formula: (DL)/(Dt),TZPID_ALL_IDS_CANONICAL_EQUATION_MASTER_with_export.csv#ID8474,7961,7478bb6bea6f57293531a2f3763cf28527bc7963
25,A25,Axiom,ID8515: GEOMETRIC ENFORCEMENT AXIOM Canonical Statutory Formula: χ_alg xrightarrowπ…,TZPID_ALL_IDS_CANONICAL_EQUATION_MASTER_with_export.csv#ID8515,8002,c39cf6d974972cea7643346660b2349bcd8ad9bc
26,A26,Axiom,ID8545: BIOLOGICAL RECONCILIATION HYPOTHESIS Canonical Statutory Formula,TZPID_ALL_IDS_CANONICAL_EQUATION_MASTER_with_export.csv#ID8545,8032,b74a65c72461ff1507ee3e4ea03cb23dc7969bc3
27,A27,Axiom,ID8802: HELICAL SPACETIME EMBEDDING AXIOM Canonical Statutory Formula: γ(θ),TZPID_ALL_IDS_CANONICAL_EQUATION_MASTER_with_export.csv#ID8802,8289,9fa54fcc30e0d27ddbbccf09dd985316380249c8
28,A28,Axiom,ID8826: UNIVERSAL ELSASSER CRITICALITY (AXIOM 3) Canonical Statutory Formula,TZPID_ALL_IDS_CANONICAL_EQUATION_MASTER_with_export.csv#ID8826,8313,4ac23a6e76e9f72fe4bbf30052f13091d3e925a3
29,A29,Axiom,ID8827: TOPOLOGICAL QUANTIZATION AXIOM (AXIOM 4) Canonical Statutory Formula: H / (M…,TZPID_ALL_IDS_CANONICAL_EQUATION_MASTER_with_export.csv#ID8827,8314,a4b0470cc3bdc3c40a6ad240a1c2f3a93bb1ba78
30,A30,Axiom,ID9014: Relation: plim_τ→∞γ(τ),TZPID_ALL_IDS_CANONICAL_EQUATION_MASTER_with_export.csv#ID9014,8501,f6a39d3414eab9e5371e66585c484625ff189fdb
31,A31,Axiom,ID9015: Definition of plimτ→∞γ(τ),TZPID_ALL_IDS_CANONICAL_EQUATION_MASTER_with_export.csv#ID9015,8502,97297cdbd37c0364076ad2adedc655eb9d6f7d14
32,A32,Axiom,ID9016: Relation: :M→Mφ:M→ M:M→M,TZPID_ALL_IDS_CANONICAL_EQUATION_MASTER_with_export.csv#ID9016,8503,3ae1048d1aaf4b7e5ff1c38c66bd73d32dd39b77
33,A33,Axiom,"ID9017: Relation: ∫_Γ√(|g|), dellu_T…",TZPID_ALL_IDS_CANONICAL_EQUATION_MASTER_with_export.csv#ID9017,8504,372024d2afd111fbe9f15e0520bc17b971d649d7
34,A34,Axiom,ID9126: Relation: B+ρeE)dVL,TZPID_ALL_IDS_CANONICAL_EQUATION_MASTER_with_export.csv#ID9126,8613,4d8211633338c551ecc5b29853812aed5d27dfae
35,A35,Axiom,ID9336: Definition of lim𝑑→0 Comp(𝑑),TZPID_ALL_IDS_CANONICAL_EQUATION_MASTER_with_export.csv#ID9336,8823,31997e698831c175fde8daa2455ee411a53ad86f
36,A36,Axiom,ID9351: Definition of (Γ),TZPID_ALL_IDS_CANONICAL_EQUATION_MASTER_with_export.csv#ID9351,8838,ed1c20b3dcec30b2f3d6189ae82e617e49da236a
37,A37,Axiom,ID9457: Definition of 𝜔vort,TZPID_ALL_IDS_CANONICAL_EQUATION_MASTER_with_export.csv#ID9457,8944,69a050d92562c5b6d42147817f8ae55e06c145c3
38,A38,Axiom,ID9458: Definition of MTZP : Jac(𝑝),TZPID_ALL_IDS_CANONICAL_EQUATION_MASTER_with_export.csv#ID9458,8945,14c8341a5f2d076ab8c9bfe4226b4977482cb2eb
39,A39,Axiom,ID9539: Chemical–Quantum Functoriality,TZPID_ALL_IDS_CANONICAL_EQUATION_MASTER_with_export.csv#ID9539,9026,543a1855bf39f9059ca2fe6170c246ffb10f8757
40,A40,Axiom,ID9540: Axiom I: Helical Spacetime Embedding,TZPID_ALL_IDS_CANONICAL_EQUATION_MASTER_with_export.csv#ID9540,9027,aa99a753715d5d31e64bf9b9ef66295c20345cb8
41,A41,Axiom,"ID9541: Optimization Principles: l(S^1 × R, B",TZPID_ALL_IDS_CANONICAL_EQUATION_MASTER_with_export.csv#ID9541,9028,cb758abf9a55b626392e4e67c573adc612e6b419
42,A42,Axiom,ID9545: Chemical–Quantum Functoriality: η_U → T : U Rightarrow T,TZPID_ALL_IDS_CANONICAL_EQUATION_MASTER_with_export.csv#ID9545,9032,7af4b5f24e78d462b1cca3d585788bc3979e4e7e
43,A43,Axiom,ID9548: Axiom III: Master Equation for RNAtexorpdfstring(to)->DNA: γ_k > 0,TZPID_ALL_IDS_CANONICAL_EQUATION_MASTER_with_export.csv#ID9548,9035,cc3e60aa9f85c8c533b601a5e0df50ab43e9e279
44,A44,Axiom,ID9550: Axiom III: Master Equation for RNAtexorpdfstring(to)->DNA: L_ribose &,TZPID_ALL_IDS_CANONICAL_EQUATION_MASTER_with_export.csv#ID9550,9037,6dc03fecad961c351697a119660e37c0743fdf34
45,A45,Axiom,ID9551: Axiom III: Master Equation for RNAtexorpdfstring(to)->DNA: L_ribose &,TZPID_ALL_IDS_CANONICAL_EQUATION_MASTER_with_export.csv#ID9551,9038,0bfce3bddbdade1c44ba9a36af3964d314f99d7f
46,A46,Axiom,ID9553: Toroidal–Fibrational DNA Geometry: H_DNA,TZPID_ALL_IDS_CANONICAL_EQUATION_MASTER_with_export.csv#ID9553,9040,b226c9e4fdb9e16f0bcbd4f44ebb3f666bf49352
47,A47,Axiom,ID9554: Optimization Principles: M_helix Cong M_holo,TZPID_ALL_IDS_CANONICAL_EQUATION_MASTER_with_export.csv#ID9554,9041,2cececfb0e873b0d01753bfcaae2c90cd24a5f38
48,A48,Axiom,ID9559: Helical Zero-Point Coupling and Critical Frequency: ω_c,TZPID_ALL_IDS_CANONICAL_EQUATION_MASTER_with_export.csv#ID9559,9046,af3f90ee0ff5369177a4f5949a717bbabe1a1dd2
49,A49,Axiom,ID9560: Helical Zero-Point Coupling and Critical Frequency: ω_c ≈ 8.8 × 10^16 Hz,TZPID_ALL_IDS_CANONICAL_EQUATION_MASTER_with_export.csv#ID9560,9047,58f31182ea32d8585dbc3b7e37e409c0408f3bc6
50,A50,Axiom,ID9561: Helical Zero-Point Coupling and Critical Frequency: P ≈ 3.4× 10^-9 M,TZPID_ALL_IDS_CANONICAL_EQUATION_MASTER_with_export.csv#ID9561,9048,329c70fc20da0a2993b7ec25a8a0e58d1ad8094e
51,A51,Axiom,ID9563: Toroidal–Fibrational DNA Geometry: P ≈ SI3.4nanometer.,TZPID_ALL_IDS_CANONICAL_EQUATION_MASTER_with_export.csv#ID9563,9050,947772e3ac4f41496fc855d59406d172da729a09
52,A52,Axiom,ID9564: Helical Projection Functor,TZPID_ALL_IDS_CANONICAL_EQUATION_MASTER_with_export.csv#ID9564,9051,84f7b3d8379b600a3c3ceb467d655bf8d290637c
53,A53,Axiom,ID9565: Toroidal–Fibrational DNA Geometry: π : T^2 × S^3 → S^3,TZPID_ALL_IDS_CANONICAL_EQUATION_MASTER_with_export.csv#ID9565,9052,fd325819364c9aeca5eb843b484d306f4f715dc3
54,A54,Axiom,ID9571: Axiom III: Master Equation for RNAtexorpdfstring(to)->DNA: ρ_ss,TZPID_ALL_IDS_CANONICAL_EQUATION_MASTER_with_export.csv#ID9571,9058,61432e4a061e6e3b95f5bea21ca241f53b132f36
55,A55,Axiom,ID9576: Axiom I: Helical Spacetime Embedding: φ,TZPID_ALL_IDS_CANONICAL_EQUATION_MASTER_with_export.csv#ID9576,9063,9d3ddca4a1c951852c95bab1eb848a9e0614e0ce
56,A56,Axiom,ID9581: Axiom II: Trawin Transition Hamiltonian: widehatH_Trawin,TZPID_ALL_IDS_CANONICAL_EQUATION_MASTER_with_export.csv#ID9581,9068,e90f33aaf3426ea2295aa31237b95392af126862
57,A57,Axiom,I,axiom_pdf_extracted.txt,8,530e2be18c6ea81be717b34b906d618183ab6c57
58,A58,Axiom,II,axiom_pdf_extracted.txt,31,45fb85f4ff71b36e528ee952b397dbc749395769
59,A59,Axiom,III,axiom_pdf_extracted.txt,61,426552c9b1cb6136a45515ce4a3cab52f85c5489
60,A60,Axiom,IV,axiom_pdf_extracted.txt,87,0af41c77561309ed4075e6918011c4bc7ffa6e60
61,A61,Axiom,V,axiom_pdf_extracted.txt,98,16749b7788cc72228dfc2df41c51c8fdf86dfc41
62,A62,Axiom,VI,axiom_pdf_extracted.txt,114,80abe5821d08daf91d14c2f3f06e8d047de8a53f
63,A63,Axiom,VII,axiom_pdf_extracted.txt,132,d3801977d13fd9a2b55e947db7014e1e3c43ee60
64,A64,Axiom,VIII,axiom_pdf_extracted.txt,139,7458a81cf092d1695f3cba76fbab19e7b2983b45
65,A65,Axiom,IX,axiom_pdf_extracted.txt,148,15ec00682b9cbadb1d7b255808adf1ba9428804e
66,A66,Axiom,A66,axiom_theorem_extraction\extraction_summary.md,1,8ef9ca17eca08ac324396c09f7f5c068bddde9ff
