scenario,rho_vac,pressure,pressure_derivative,pressure_gap
unit_critical_density,0.0,1.0,-2.0,1.0
unit_critical_density,0.001,0.998001,-1.998,0.998001
unit_critical_density,0.002,0.996004,-1.996,0.996004
unit_critical_density,0.003,0.994009,-1.994,0.994009
unit_critical_density,0.004,0.992016,-1.992,0.992016
unit_critical_density,0.005,0.990025,-1.99,0.990025
unit_critical_density,0.006,0.988036,-1.988,0.988036
unit_critical_density,0.007,0.986049,-1.986,0.986049
unit_critical_density,0.008,0.9840639999999999,-1.984,0.9840639999999999
unit_critical_density,0.009000000000000001,0.982081,-1.982,0.982081
unit_critical_density,0.01,0.9801,-1.98,0.9801
unit_critical_density,0.011,0.978121,-1.978,0.978121
unit_critical_density,0.012,0.976144,-1.976,0.976144
unit_critical_density,0.013000000000000001,0.974169,-1.974,0.974169
unit_critical_density,0.014,0.972196,-1.972,0.972196
unit_critical_density,0.015,0.970225,-1.97,0.970225
unit_critical_density,0.016,0.968256,-1.968,0.968256
unit_critical_density,0.017,0.966289,-1.966,0.966289
unit_critical_density,0.018000000000000002,0.964324,-1.964,0.964324
unit_critical_density,0.019,0.962361,-1.962,0.962361
unit_critical_density,0.02,0.9603999999999999,-1.96,0.9603999999999999
unit_critical_density,0.021,0.958441,-1.958,0.958441
unit_critical_density,0.022,0.956484,-1.956,0.956484
unit_critical_density,0.023,0.954529,-1.954,0.954529
unit_critical_density,0.024,0.952576,-1.952,0.952576
unit_critical_density,0.025,0.9506249999999999,-1.95,0.9506249999999999
unit_critical_density,0.026000000000000002,0.948676,-1.948,0.948676
unit_critical_density,0.027,0.9467289999999999,-1.946,0.9467289999999999
unit_critical_density,0.028,0.944784,-1.944,0.944784
unit_critical_density,0.029,0.9428409999999999,-1.942,0.9428409999999999
unit_critical_density,0.03,0.9409,-1.94,0.9409
unit_critical_density,0.031,0.9389609999999999,-1.938,0.9389609999999999
unit_critical_density,0.032,0.937024,-1.936,0.937024
unit_critical_density,0.033,0.935089,-1.934,0.935089
unit_critical_density,0.034,0.933156,-1.932,0.933156
unit_critical_density,0.035,0.931225,-1.93,0.931225
unit_critical_density,0.036000000000000004,0.9292959999999999,-1.928,0.9292959999999999
unit_critical_density,0.037,0.9273689999999999,-1.926,0.9273689999999999
unit_critical_density,0.038,0.9254439999999999,-1.924,0.9254439999999999
unit_critical_density,0.039,0.9235209999999999,-1.922,0.9235209999999999
unit_critical_density,0.04,0.9216,-1.92,0.9216
unit_critical_density,0.041,0.919681,-1.918,0.919681
unit_critical_density,0.042,0.9177639999999999,-1.916,0.9177639999999999
unit_critical_density,0.043000000000000003,0.9158489999999999,-1.914,0.9158489999999999
unit_critical_density,0.044,0.913936,-1.912,0.913936
unit_critical_density,0.045,0.912025,-1.91,0.912025
unit_critical_density,0.046,0.9101159999999999,-1.908,0.9101159999999999
unit_critical_density,0.047,0.9082089999999999,-1.906,0.9082089999999999
unit_critical_density,0.048,0.9063039999999999,-1.904,0.9063039999999999
unit_critical_density,0.049,0.9044009999999999,-1.902,0.9044009999999999
unit_critical_density,0.05,0.9025,-1.9,0.9025
unit_critical_density,0.051000000000000004,0.9006009999999999,-1.898,0.9006009999999999
unit_critical_density,0.052000000000000005,0.898704,-1.896,0.898704
unit_critical_density,0.053,0.8968089999999999,-1.894,0.8968089999999999
unit_critical_density,0.054,0.8949159999999999,-1.892,0.8949159999999999
unit_critical_density,0.055,0.893025,-1.89,0.893025
unit_critical_density,0.056,0.8911359999999999,-1.888,0.8911359999999999
unit_critical_density,0.057,0.889249,-1.886,0.889249
unit_critical_density,0.058,0.8873639999999999,-1.884,0.8873639999999999
unit_critical_density,0.059000000000000004,0.8854809999999999,-1.882,0.8854809999999999
unit_critical_density,0.06,0.8835999999999999,-1.88,0.8835999999999999
unit_critical_density,0.061,0.8817210000000001,-1.8780000000000001,0.8817210000000001
unit_critical_density,0.062,0.8798439999999998,-1.876,0.8798439999999998
unit_critical_density,0.063,0.8779690000000001,-1.874,0.8779690000000001
unit_critical_density,0.064,0.8760959999999999,-1.8719999999999999,0.8760959999999999
unit_critical_density,0.065,0.8742250000000001,-1.87,0.8742250000000001
unit_critical_density,0.066,0.8723559999999999,-1.8679999999999999,0.8723559999999999
unit_critical_density,0.067,0.8704890000000001,-1.866,0.8704890000000001
unit_critical_density,0.068,0.8686239999999998,-1.8639999999999999,0.8686239999999998
unit_critical_density,0.069,0.8667610000000001,-1.862,0.8667610000000001
unit_critical_density,0.07,0.8648999999999999,-1.8599999999999999,0.8648999999999999
unit_critical_density,0.07100000000000001,0.8630410000000001,-1.858,0.8630410000000001
unit_critical_density,0.07200000000000001,0.8611839999999998,-1.8559999999999999,0.8611839999999998
unit_critical_density,0.073,0.8593290000000001,-1.854,0.8593290000000001
unit_critical_density,0.074,0.8574760000000001,-1.852,0.8574760000000001
unit_critical_density,0.075,0.8556250000000001,-1.85,0.8556250000000001
unit_critical_density,0.076,0.8537760000000001,-1.848,0.8537760000000001
unit_critical_density,0.077,0.851929,-1.846,0.851929
unit_critical_density,0.078,0.8500840000000001,-1.844,0.8500840000000001
unit_critical_density,0.079,0.848241,-1.842,0.848241
unit_critical_density,0.08,0.8464,-1.84,0.8464
unit_critical_density,0.081,0.8445610000000001,-1.838,0.8445610000000001
unit_critical_density,0.082,0.842724,-1.836,0.842724
unit_critical_density,0.083,0.8408890000000001,-1.834,0.8408890000000001
unit_critical_density,0.084,0.839056,-1.832,0.839056
unit_critical_density,0.085,0.8372250000000001,-1.83,0.8372250000000001
unit_critical_density,0.08600000000000001,0.835396,-1.828,0.835396
unit_critical_density,0.08700000000000001,0.8335690000000001,-1.826,0.8335690000000001
unit_critical_density,0.088,0.831744,-1.824,0.831744
unit_critical_density,0.089,0.829921,-1.822,0.829921
unit_critical_density,0.09,0.8281000000000001,-1.82,0.8281000000000001
unit_critical_density,0.091,0.826281,-1.818,0.826281
unit_critical_density,0.092,0.8244640000000001,-1.816,0.8244640000000001
unit_critical_density,0.093,0.8226490000000001,-1.814,0.8226490000000001
unit_critical_density,0.094,0.820836,-1.812,0.820836
unit_critical_density,0.095,0.819025,-1.81,0.819025
unit_critical_density,0.096,0.817216,-1.808,0.817216
