scenario,quantity,value,expected,residual
balanced_qubit_violation,density_trace,1.0,1.0,0.0
balanced_qubit_violation,born_probability0,0.5,in_unit_interval,0.0
balanced_qubit_violation,born_probability1,0.5,in_unit_interval,0.0
balanced_qubit_violation,conservation_residual,0.0,0.0,0.0
balanced_qubit_violation,chsh_abs_s,2.5,2 < |S| <= 2sqrt(2),0.0
balanced_qubit_violation,discrete_shell_mass,1.0,1.0,0.0
biased_qubit_shell,density_trace,1.0,1.0,0.0
biased_qubit_shell,born_probability0,0.2,in_unit_interval,0.0
biased_qubit_shell,born_probability1,0.8,in_unit_interval,0.0
biased_qubit_shell,conservation_residual,0.0,0.0,0.0
biased_qubit_shell,chsh_abs_s,2.2,2 < |S| <= 2sqrt(2),0.0
biased_qubit_shell,discrete_shell_mass,0.7000000000000001,0.7000000000000001,0.0
near_tsirelson_window,density_trace,1.0,1.0,0.0
near_tsirelson_window,born_probability0,0.9,in_unit_interval,0.0
near_tsirelson_window,born_probability1,0.1,in_unit_interval,0.0
near_tsirelson_window,conservation_residual,0.0,0.0,0.0
near_tsirelson_window,chsh_abs_s,2.8,2 < |S| <= 2sqrt(2),0.0
near_tsirelson_window,discrete_shell_mass,3.0,3.0,0.0
