id,source_file,start_line,end_line,heading,title,canonical_equation,uuid
ID10793,d:\tzpidNEW\getting_closer.md,8,20,Getting Closer,Getting Closer Eq 01: hyperspherical resonance disharmonic Bessel fold entropy-producing ha...,"\boxed{ \text{hyperspherical resonance} \rightarrow \text{disharmonic Bessel fold} \rightarrow \text{entropy-producing half-mode drop} \rightarrow \text{temporal accumulation} \rightarrow \text{curvature, time-arrow, and gravitational charge} }",24cd7968-8142-5909-84cd-cf5a4001bc93
ID10794,d:\tzpidNEW\getting_closer.md,30,37,1. Start with your pasted Bessel equation,Getting Closer Eq 02: x^2{d^2y{dx^2 + x{dy{dx + (x^2-n^2)y =0,x^2\frac{d^2y}{dx^2} + x\frac{dy}{dx} + (x^2-n^2)y =0.,d9b86a07-6bd8-5163-b48f-54dbbfee8f91
ID10795,d:\tzpidNEW\getting_closer.md,41,45,1. Start with your pasted Bessel equation,Getting Closer Eq 03: x^2y''+xy'+(x^2-^2)y=0,\boxed{ x^2y''+xy'+(x^2-\nu^2)y=0 },08e5b83c-2d6e-55bf-92f8-2e18d7a47eb1
ID10796,d:\tzpidNEW\getting_closer.md,49,51,1. Start with your pasted Bessel equation,Getting Closer Eq 04: y(x)=A J_(x)+B Y_(x),y(x)=A J_\nu(x)+B Y_\nu(x).,393d1e73-7434-572f-9996-f9ba87dbb691
ID10797,d:\tzpidNEW\getting_closer.md,55,60,1. Start with your pasted Bessel equation,"Getting Closer Eq 05: (r,,t) = R_(r)Y_{ m()e^{-i t","\Phi(r,\Omega,t) = R_\ell(r)Y_{\ell\mathbf m}(\Omega)e^{-i\omega t}.",ac522724-9d5f-5413-9339-938bdce9a040
ID10798,d:\tzpidNEW\getting_closer.md,64,71,1. Start with your pasted Bessel equation,Getting Closer Eq 06: r^2R_'' + (d-1)rR_' + (k^2r^2-(+d-2))R_ =0,r^2R_\ell'' + (d-1)rR_\ell' + \left(k^2r^2-\ell(\ell+d-2)\right)R_\ell =0.,b706209c-3d09-5a79-8188-7adf8c288a33
ID10799,d:\tzpidNEW\getting_closer.md,75,79,1. Start with your pasted Bessel equation,"Getting Closer Eq 07: x=kr, R_(r)=r^{-(d-2)/2y(x)","x=kr, \qquad R_\ell(r)=r^{-(d-2)/2}y(x).",0c5d06c3-efd8-5053-85ff-905303e9218d
ID10800,d:\tzpidNEW\getting_closer.md,83,88,1. Start with your pasted Bessel equation,Getting Closer Eq 08: x^2y''+xy'+ (x^2-_d^2)y=0,\boxed{ x^2y''+xy'+ \left(x^2-\nu_d^2\right)y=0 },476db65a-aef4-5017-a16c-db57e18a3bd6
ID10801,d:\tzpidNEW\getting_closer.md,92,96,1. Start with your pasted Bessel equation,Getting Closer Eq 09: _d=+{d-2{2,\boxed{ \nu_d=\ell+\frac{d-2}{2}. },214e2174-32cc-5859-9a8a-0208b408be8d
ID10802,d:\tzpidNEW\getting_closer.md,100,104,1. Start with your pasted Bessel equation,Getting Closer Eq 10: _4=+1,\boxed{ \nu_4=\ell+1. },5ea21a25-d182-5daf-8691-4edd5b0e7e2a
ID10803,d:\tzpidNEW\getting_closer.md,108,112,1. Start with your pasted Bessel equation,Getting Closer Eq 11: R_(r)={1{rJ_{+1(kr),\boxed{ R_\ell(r)=\frac{1}{r}J_{\ell+1}(kr) },2940fbc9-4b31-5996-bf49-c789c7a78937
ID10804,d:\tzpidNEW\getting_closer.md,116,120,1. Start with your pasted Bessel equation,Getting Closer Eq 12: J_{+1(kR)=0,\boxed{ J_{\ell+1}(kR)=0 },7ce1e93d-f891-5cff-bd86-c309adedcfde
ID10805,d:\tzpidNEW\getting_closer.md,124,128,1. Start with your pasted Bessel equation,"Getting Closer Eq 13: k_{ q={j_{+1,q{R,","\boxed{ k_{\ell q}=\frac{j_{\ell+1,q}}{R}, }",db84f1f0-1976-5655-a6a0-fcf4db62d45f
ID10806,d:\tzpidNEW\getting_closer.md,140,145,2. Disharmonic fold,"Getting Closer Eq 14: _{ q=v_s k_{ q = v_s{j_{,q{R","\omega_{\ell q}=v_s k_{\ell q} = v_s\frac{j_{\nu,q}}{R}.",1b2649ea-9e22-5c51-962a-8d96dccad09e
ID10807,d:\tzpidNEW\getting_closer.md,151,158,2. Disharmonic fold,Getting Closer Eq 15: {F_{1/2: J_(x) J_{-12(x+ x)e^{i,\boxed{ \mathfrak{F}_{1/2}: J_\nu(x) \longrightarrow J_{\nu-\frac12}(x+\delta x)e^{i\pi}. },fbb98466-a52c-5812-b52d-e567b4d48cc2
ID10808,d:\tzpidNEW\getting_closer.md,162,173,2. Disharmonic fold,Getting Closer Eq 16: _{ fold = = A J_(kr)e^{-i t A J_{-12((k+ k)r) e^{-i(+)t,\boxed{ \Phi_{\rm fold} = = A J_\nu(kr)e^{-i\omega t} \eta A J_{\nu-\frac12}((k+\delta k)r) e^{-i(\omega+\delta\omega)t}. },68e62dca-1352-51ba-9fb5-2d1ed72f0385
ID10809,d:\tzpidNEW\getting_closer.md,183,185,3. The half-Bessel drop,"Getting Closer Eq 17: k_{ q={j_{,q{R","k_{\nu q}=\frac{j_{\nu,q}}{R}.",738f8a38-b030-509a-89d7-a73abfd99dfd
ID10810,d:\tzpidNEW\getting_closer.md,189,193,3. The half-Bessel drop,Getting Closer Eq 18: -12,\boxed{ \nu\rightarrow\nu-\frac12. },5a126cf3-647b-5975-a984-cee693f202fa
ID10811,d:\tzpidNEW\getting_closer.md,197,199,3. The half-Bessel drop,"Getting Closer Eq 19: k_{ q={j_{,q{R","k_{\nu q}=\frac{j_{\nu,q}}{R}",857ad62f-e1f7-513f-b848-a12211a3293d
ID10812,d:\tzpidNEW\getting_closer.md,203,208,3. The half-Bessel drop,"Getting Closer Eq 20: k_{-12,q = {j_{-12,q{R","k_{\nu-\frac12,q} = \frac{j_{\nu-\frac12,q}}{R}.",b39bd94c-6b4d-577f-b374-df83ddf596f4
ID10813,d:\tzpidNEW\getting_closer.md,212,222,3. The half-Bessel drop,"Getting Closer Eq 21: E^{(1/2)_{ q = v_s ( {j_{,q-j_{-12,q{R )","\boxed{ \Delta E^{(1/2)}_{\nu q} = \hbar v_s \left( \frac{j_{\nu,q}-j_{\nu-\frac12,q}}{R} \right). }",802e1e0d-554d-50c7-b196-f3affc3e1b09
ID10814,d:\tzpidNEW\getting_closer.md,226,228,3. The half-Bessel drop,"Getting Closer Eq 22: d=4, =0, =1","d=4,\qquad \ell=0,\qquad \nu=1.",a00bc66a-75a2-5108-9e55-aad75e7d165e
ID10815,d:\tzpidNEW\getting_closer.md,232,234,3. The half-Bessel drop,"Getting Closer Eq 23: j_{1,1 3.83170597,","j_{1,1}\approx 3.83170597,",ad6cd3db-42e9-535c-83ed-2c304030dbd5
ID10816,d:\tzpidNEW\getting_closer.md,238,240,3. The half-Bessel drop,"Getting Closer Eq 24: J_{1/2(x) { x{{x,","J_{1/2}(x)\propto \frac{\sin x}{\sqrt{x}},",ee28e23b-99aa-5945-bba1-7f87fcc8ce5b
ID10817,d:\tzpidNEW\getting_closer.md,244,246,3. The half-Bessel drop,"Getting Closer Eq 25: j_{1/2,1= 3.14159265","j_{1/2,1}=\pi\approx 3.14159265.",721b4e41-b756-522d-98b0-ca1fe2d432ab
ID10818,d:\tzpidNEW\getting_closer.md,250,259,3. The half-Bessel drop,"Getting Closer Eq 26: _{B,1/2 = {j_{1,1-j_{1/2,1{j_{1,1 0.180106","\boxed{ \delta_{B,1/2} = \frac{j_{1,1}-j_{1/2,1}}{j_{1,1}} \approx 0.180106. }",93aa9c50-eed5-5dcd-aa95-5d28cf975fc2
ID10819,d:\tzpidNEW\getting_closer.md,271,280,4. Entropy correction: the fold creates time-direction,"Getting Closer Eq 27: S_{1/2 = k_B ( {_{-12,q{_{,q ),","\Delta S_{1/2} = k_B \ln \left( \frac{\Omega_{\nu-\frac12,q}}{\Omega_{\nu,q}} \right),",0c26854c-3131-5e92-86ff-e356d0c3c64e
ID10820,d:\tzpidNEW\getting_closer.md,286,302,4. Entropy correction: the fold creates time-direction,Getting Closer Eq 28: _{^{(1/2) = _P^2 ( __ - g_{ ) ( { S_{1/2{k_B ),\boxed{ \Sigma_{\mu\nu}^{(1/2)} = \ell_P^2 \left( \nabla_\mu\nabla_\nu - g_{\mu\nu}\Box \right) \left( \frac{\Delta S_{1/2}}{k_B} \right). },c3c81d4a-f347-5334-a467-cfdfc8be5d6d
