"pillar","score","id","title","canonical_equation"
"A. Spherical-enclosure acoustics/harmonics","7","ID7732","How This Ties into Your TZPQVS Superconducting Spherical Enc","Y_{\ell m}(\theta,\phi)"
"A. Spherical-enclosure acoustics/harmonics","7","ID7733","How This Ties into Your TZPQVS Superconducting Spherical Enc","j_\ell(kr)"
"A. Spherical-enclosure acoustics/harmonics","7","ID7734","How This Ties into Your TZPQVS Superconducting Spherical Enc","J_m"
"A. Spherical-enclosure acoustics/harmonics","7","ID7735","How This Ties into Your TZPQVS Superconducting Spherical Enc","J_m"
"A. Spherical-enclosure acoustics/harmonics","7","ID7736","How This Ties into Your TZPQVS Superconducting Spherical Enc","\cos(m\theta)"
"A. Spherical-enclosure acoustics/harmonics","7","ID7737","How This Ties into Your TZPQVS Superconducting Spherical Enc","j_\ell(kr)"
"A. Spherical-enclosure acoustics/harmonics","7","ID7738","How This Ties into Your TZPQVS Superconducting Spherical Enc","Y_{\ell m}"
"A. Spherical-enclosure acoustics/harmonics","7","ID7739","How This Ties into Your TZPQVS Superconducting Spherical Enc","(\ell,m)"
"A. Spherical-enclosure acoustics/harmonics","7","ID7740","How This Ties into Your TZPQVS Superconducting Spherical Enc","m=6"
"A. Spherical-enclosure acoustics/harmonics","5","ID6781","Mode Decomposition in 3D Spherical Coordinates (The Math Bac","j_\ell(kr)"
"A. Spherical-enclosure acoustics/harmonics","5","ID6783","Mode Decomposition in 3D Spherical Coordinates (The Math Bac","Y_\ell^m(\hat n)"
"A. Spherical-enclosure acoustics/harmonics","5","ID6813","S³ (Hypersphere) Eigenmodes — Discreteness, Global Interfere","\kappa_n"
"A. Spherical-enclosure acoustics/harmonics","5","ID6814","S³ (Hypersphere) Eigenmodes — Discreteness, Global Interfere","\chi\in[0,\pi]"
"A. Spherical-enclosure acoustics/harmonics","5","ID6815","S³ (Hypersphere) Eigenmodes — Discreteness, Global Interfere","\Psi_{n,\ell,m}(\chi,\theta,\phi) = \Pi_{n\ell}(\chi)\, Y_\e"
"A. Spherical-enclosure acoustics/harmonics","5","ID6816","S³ (Hypersphere) Eigenmodes — Discreteness, Global Interfere","\Pi_{n\ell}(\chi)"
"A. Spherical-enclosure acoustics/harmonics","5","ID6817","S³ (Hypersphere) Eigenmodes — Discreteness, Global Interfere","\sin((n+1)\chi)/\sin\chi"
"A. Spherical-enclosure acoustics/harmonics","5","ID6818","S³ (Hypersphere) Eigenmodes — Discreteness, Global Interfere","k_n^2 \sim (n+1)^2 / R^2"
"A. Spherical-enclosure acoustics/harmonics","5","ID6819","S³ (Hypersphere) Eigenmodes — Discreteness, Global Interfere","Y_\ell^m"
