row,id,title,segment_index,class,length,segment
1,ID0000,Existence and Uniqueness of the Trawin Zero Point,1,operator_latex,35,"\lim_{\tau\to\infty}\gamma(\tau)=p,"
2,ID0001,Tzp Trawin Zero Point,1,logical_latex,47,"\forall \Gamma \subset M,\; \Gamma \sim \Lambda"
2,ID0001,Tzp Trawin Zero Point,2,relation_latex,25,\Lambda(0)=\Lambda(1/2)=p
3,ID0002,Trawinistic Manifold,1,relation_latex,130,"(M,g)\ \text{is Trawinistic} \quad \Longleftrightarrow \quad \det g\vert_{p}=0 \ \text{and}\ \det g(x)\neq 0 \ \text{for}\ x\neq p"
3,ID0002,Trawinistic Manifold,2,symbolic_latex,84,"g^{-1}(x)\ \text{exists for}\ x\neq p, \qquad g^{-1}\vert_{p}\ \text{does not exist}"
4,ID0003,Dimensional Ambiguity at TZP,1,logical_latex,29,"\dim_{p}(M) \in \{n-1,n,n+1\}"
4,ID0003,Dimensional Ambiguity at TZP,2,symbolic_latex,64,"\Delta_{\mathrm{branch}} : \Lambda \longrightarrow \{n-1,n,n+1\}"
5,ID0004,Metric Degeneracy Condition,1,relation_latex,17,\det g\vert_{p}=0
5,ID0004,Metric Degeneracy Condition,2,symbolic_latex,84,"g^{-1}\vert_{p}\ \text{does not exist}, \qquad \det g(x)\neq 0 \ \text{for}\ x\neq p"
6,ID0005,TZP Stability Under Symmetry-Preserving Diffeomorphisms,1,logical_latex,32,"\phi : M \to M, \qquad \phi(p)=p"
6,ID0005,TZP Stability Under Symmetry-Preserving Diffeomorphisms,2,relation_latex,21,\phi(\Lambda)=\Lambda
7,ID0006,Trawin Base Unit,1,elementary_latex,54,"u_{T} := \oint_{\Gamma} \sqrt{\lvert g \rvert}\, d\ell"
7,ID0006,Trawin Base Unit,2,relation_latex,33,\operatorname{Wind}_{p}(\Gamma)=1
8,ID0007,Temporal Displacement Factor,1,elementary_latex,27,\alpha_{T} = \frac{dt'}{dt}
8,ID0007,Temporal Displacement Factor,2,elementary_latex,62,\alpha_{T}^{\mathrm{TZP}} = \lim_{\gamma \to p} \frac{dt'}{dt}
9,ID0008,Non-Linearity Constant K_NL,1,elementary_latex,83,K_{\mathrm{NL}} = \frac{\lVert \nabla^{2}\Phi \rVert}{\lVert \nabla\Phi \rVert^{2}}
9,ID0008,Non-Linearity Constant K_NL,2,elementary_latex,119,K_{\mathrm{NL}}^{\mathrm{TZP}} = \lim_{x \to p} \frac{\lVert \nabla^{2}\Phi(x) \rVert}{\lVert \nabla\Phi(x) \rVert^{2}}
10,ID0009,Hyper-Dimensional Span,1,elementary_latex,73,"S_{\mathrm{HD}} := \int_{\mathcal U} \sqrt{\lvert \det h \rvert}\, d^{n}x"
10,ID0009,Hyper-Dimensional Span,2,logical_latex,52,"\mathcal U \ni p, \qquad \dim_{p}(M)\in\{n-1,n,n+1\}"
11,ID0010,Stochastic Drift Magnitude,1,elementary_latex,109,\sigma_{\mathrm{SD}}^{2} = \lim_{\Delta t \to 0} \frac{1}{\Delta t} \left\langle (\Delta x)^{2} \right\rangle
11,ID0010,Stochastic Drift Magnitude,2,relation_latex,29,\Delta x = x(t+\Delta t)-x(t)
12,ID0011,Causal Loop Invariant,1,operator_latex,43,I_{\mathrm{CL}} = \oint_{\Gamma} A \cdot dx
12,ID0011,Causal Loop Invariant,2,relation_latex,41,dA = 0 \quad \text{on } M \setminus \{p\}
13,ID0012,Field Coherence Metric,1,elementary_latex,104,"C(\phi_{1},\phi_{2}) = \frac{\left|\langle \phi_{1},\phi_{2}\rangle\right|} {\|\phi_{1}\|\,\|\phi_{2}\|}"
13,ID0012,Field Coherence Metric,2,elementary_latex,42,"\|\phi\| = \sqrt{\langle \phi,\phi\rangle}"
14,ID0013,Null Space Projection,1,logical_latex,37,P_{\mathrm{null}} : T_{p}M \to T_{p}M
14,ID0013,Null Space Projection,2,logical_latex,118,"P_{\mathrm{null}}(v) = \begin{cases} v, & g(v,w)=0 \text{ for all } w \in T_{p}M,\\ 0, & \text{otherwise.} \end{cases}"
15,ID0014,Inter-Modal Transfer Rate,1,elementary_latex,107,"T_{\mathrm{IM}} = \frac{1}{u_{T}} \int_{\Sigma} \phi_{m_{1}}^{*}\, \mathcal{L}_{T}\, \phi_{m_{2}}\, d\Sigma"
15,ID0014,Inter-Modal Transfer Rate,2,relation_latex,31,\Sigma \cap \{p\} = \varnothing
16,ID0015,Spectral Density Index (TZP-Weighted),1,relation_latex,53,\eta(\omega) = \omega^{-\beta} e^{-\omega/\omega_{0}}
16,ID0015,Spectral Density Index (TZP-Weighted),2,relation_latex,69,"\omega_{0} = \omega_{0}(u_{T}), \qquad \beta = \beta(S_{\mathrm{HD}})"
17,ID0016,Manifold Curvature (TZP Condition),1,operator_latex,43,R_{T} = \lim_{x \to p}\bigl(R(x)+f(x)\bigr)
17,ID0016,Manifold Curvature (TZP Condition),2,logical_latex,66,R_{T} < \infty \quad \Longleftrightarrow \quad \Gamma \sim \Lambda
18,ID0017,Trawinistic Connection,1,relation_latex,52,\nabla^{\mathrm{T}} g = 0 \qquad \text{away from } p
18,ID0017,Trawinistic Connection,2,relation_latex,51,T(\nabla^{\mathrm{T}})=0 \qquad \text{away from } p
18,ID0017,Trawinistic Connection,3,logical_latex,148,"\nabla^{\mathrm{T}}\big\vert_{\det g \neq 0} = \nabla^{\mathrm{LC}}, \qquad \nabla^{\mathrm{T}} n = 0 \ \text{for}\ n \in \operatorname{Null}_{p}(M)"
19,ID0018,Trawinistic Laplacian,1,relation_latex,79,"\Delta_{\mathrm{T}}\phi = \nabla^{\mathrm{T}}_{a} \nabla_{\mathrm{T}}^{\,a}\phi"
19,ID0018,Trawinistic Laplacian,2,relation_latex,72,"\nabla_{\mathrm{T}}^{\,a} = g_{\mathrm{reg}}^{ab}\nabla^{\mathrm{T}}_{b}"
20,ID0019,Trawinistic D'Alembertian,1,relation_latex,97,\Box_{\mathrm{T}}\phi = g_{\mathrm{reg}}^{ab} \nabla^{\mathrm{T}}_{a} \nabla^{\mathrm{T}}_{b}\phi
20,ID0019,Trawinistic D'Alembertian,2,relation_latex,63,g_{\mathrm{reg}}^{ab} = \left(g^{-1}\right)_{\mathrm{reg}}^{ab}
21,ID0020,Trawinistic Winding Number,1,elementary_latex,59,w = \frac{1}{2\pi} \oint_{\Gamma} \nabla \theta \cdot d\ell
21,ID0020,Trawinistic Winding Number,2,logical_latex,28,w \in \tfrac{1}{2}\mathbb{Z}
22,ID0021,Trawin Characteristic Class,1,elementary_latex,74,"c_{T} = \left[\frac{1}{2\pi}F\right] \in H^{2}(M\setminus\{p\},\mathbb{Z})"
22,ID0021,Trawin Characteristic Class,2,relation_latex,35,\operatorname{hol}(\mathcal{A}) = w
23,ID0022,TZP Curvature Singularity,1,operator_latex,31,\lim_{x\to p} R_{T}(x) = \infty
23,ID0022,TZP Curvature Singularity,2,operator_latex,43,R_{T}(x)=\lim_{y\to x}\bigl(R(y)+f(y)\bigr)
24,ID0023,TZP Potential Term,1,elementary_latex,61,"V_{T}(x) = \lambda \exp\!\left( -\frac{d(x,p)}{u_{T}} \right)"
24,ID0023,TZP Potential Term,2,relation_latex,16,V_{T}(p)=\lambda
